long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,long,long,long,long,long,long,flags,long,str,flags,None,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
203,,,"Cime d'Utgarde",,,,,,,,,,,,,,0xFF01FE,77,80,80,79,80,575,0,3,0x1,-1,"UTGARDEPINNACLE",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
204,,,"Azjol-Nérub",,,,,,,,,,,,,,0xFF01FE,70,80,74,72,74,601,0,3,0x1,-1,"AZJOLNERUB",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
206,,,"L'Oculus",,,,,,,,,,,,,,0xFF01FE,77,80,80,79,80,578,0,3,0x1,-1,"THEOCULUS",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
207,,,"Les salles de Foudre",,,,,,,,,,,,,,0xFF01FE,77,80,80,79,80,602,0,3,0x1,-1,"HALLSOFLIGHTNING",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
208,,,"Les salles de Pierre",,,,,,,,,,,,,,0xFF01FE,75,80,78,77,79,599,0,3,0x1,-1,"HALLSOFSTONE",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
209,,,"L'épuration de Stratholme",,,,,,,,,,,,,,0xFF01FE,77,80,80,79,80,595,0,3,0x1,-1,"CAVERNSOFTIME",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
214,,,"Donjon de Drak'Tharon",,,,,,,,,,,,,,0xFF01FE,72,80,75,74,76,600,0,3,0x1,-1,"DRAKTHARON",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
216,,,"Gundrak",,,,,,,,,,,,,,0xFF01FE,74,80,78,76,78,604,0,3,0x1,-1,"GUNDRAK",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
218,,,"Ahn'kahet : l'Ancien royaume",,,,,,,,,,,,,,0xFF01FE,71,80,75,73,75,619,0,3,0x1,-1,"AHNKALET",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
220,,,"Fort pourpre",,,,,,,,,,,,,,0xFF01FE,73,80,76,75,77,608,0,3,0x1,-1,"THEVIOLETHOLD",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
225,,,"Le Nexus",,,,,,,,,,,,,,0xFF01FE,69,80,73,71,73,576,0,3,0x1,-1,"THENEXUS",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
245,,,"L'épreuve du champion",,,,,,,,,,,,,,0xFF01FE,80,80,80,79,80,650,0,3,0x1,-1,"ARGENTDUNGEON",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
251,,,"La Forge des âmes",,,,,,,,,,,,,,0xFF01FE,80,80,80,79,80,632,0,3,0x1,-1,"THEFORGEOFSOULS",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
253,,,"La fosse de Saron",,,,,,,,,,,,,,0xFF01FE,80,80,80,79,80,658,0,3,0x1,-1,"PITOFSARON",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
255,,,"Les salles des Reflets",,,,,,,,,,,,,,0xFF01FE,80,80,80,79,80,668,0,3,0x1,-1,"HALLSOFREFLECTION",0x2,,4,,,"",,,,,,,,,,,,,,0xFF01FC,
272,,,"Maraudon - Cristaux violets",,,,,,,,,,,,,,0xFF01FE,39,49,43,41,44,349,0,3,0x1,-1,"MARAUDON",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
273,,,"Maraudon - Les eaux pures",,,,,,,,,,,,,,0xFF01FE,43,53,47,45,48,349,0,3,0x1,-1,"MARAUDON",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
274,,,"Stratholme - Entrée de service",,,,,,,,,,,,,,0xFF01FE,55,65,60,0,0,329,0,3,0x1,-1,"STRATHOLME",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
276,,,"Profondeurs de Rochenoire - Ville haute",,,,,,,,,,,,,,0xFF01FE,51,61,55,53,56,230,0,3,0x1,-1,"BLACKROCKDEPTHS",0x0,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
285,,,"Le Cavalier sans tête",,,,,,,,,,,,,,0xFF01FE,78,82,80,78,82,189,0,15,0x1,-1,"HALLOWEEN",0x0,,11,,,"Vaincre le Cavalier sans tête avant qu'il brûle jusqu'au dernier village en Azeroth.",,,,,,,,,,,,,,0xFF01FE,
286,,,"Le seigneur du Givre Ahune",,,,,,,,,,,,,,0xFF01FE,78,82,80,78,82,547,0,15,0x1,-1,"SUMMER",0x1,,11,,,"Vaincre Ahune, le seigneur du Givre, avant qu'il se manifeste entièrement en Azeroth et qu'il mette fin à l'été à tout jamais.",,,,,,,,,,,,,,0xFF01FE,
287,,,"Coren Navrebière",,,,,,,,,,,,,,0xFF01FE,78,82,80,78,82,230,0,15,0x1,-1,"BREW",0x0,,11,,,"Vaincre le jaloux Coren Navrebière pour mettre un terme à ses incessantes attaques pendant la fête des Brasseurs.",,,,,,,,,,,,,,0xFF01FE,
288,,,"Cie de Chimie La Royale",,,,,,,,,,,,,,0xFF01FE,78,82,80,78,82,33,0,15,0x1,-1,"LOVE",0x0,,11,,,"Vaincre les sournois apothicaires de La Royale avant qu'ils ne libèrent leur nouvelle et épouvantable peste.",,,,,,,,,,,,,,0xFF01FE,
42,,,"Zul'Gurub",,,,,,,,,,,,,,0xFF01FE,56,83,60,57,63,309,0,0,0x2,-1,"ZulGurub",0x0,,6,,,"",,,,,,,,,,,,,,0xFF01FC,
44,,,"Sommet du pic Rochenoire",,,,,,,,,,,,,,0xFF01FE,56,83,60,57,63,229,0,0,0x2,-1,"BlackrockSpire",0x0,,6,,,"",,,,,,,,,,,,,,0xFF01FC,
46,,,"Repaire d'Onyxia",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,249,0,0,0x2,-1,"",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
48,,,"Cœur du magma",,,,,,,,,,,,,,0xFF01FE,60,83,60,60,63,409,0,0,0x2,-1,"MoltenCore",0x0,,6,,,"",,,,,,,,,,,,,,0xFF01FC,
50,,,"Repaire de l'Aile noire",,,,,,,,,,,,,,0xFF01FE,60,83,60,60,63,469,0,0,0x2,-1,"BlackwingLair",0x0,,6,,,"",,,,,,,,,,,,,,0xFF01FC,
159,,,"Naxxramas",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,533,0,0,0x2,-1,"NAXXRAMAS",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
160,,,"Ruines d'Ahn'Qiraj",,,,,,,,,,,,,,0xFF01FE,60,83,60,60,63,509,0,0,0x2,-1,"AQRuins",0x0,,6,,,"",,,,,,,,,,,,,,0xFF01FC,
161,,,"Temple d'Ahn'Qiraj",,,,,,,,,,,,,,0xFF01FE,60,83,60,60,63,531,0,0,0x2,-1,"AQTemple",0x0,,6,,,"",,,,,,,,,,,,,,0xFF01FC,
175,,,"Karazhan",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,532,0,0,0x2,-1,"Karazhan",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
176,,,"Le repaire de Magtheridon",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,544,0,0,0x2,-1,"HellfireCitadelRaid",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
177,,,"Le repaire de Gruul",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,565,0,0,0x2,-1,"GruulsLair",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
193,,,"Donjon de la Tempête",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,550,0,0,0x2,-1,"TempestKeep",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
194,,,"Caverne du sanctuaire du Serpent",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,548,0,0,0x2,-1,"SerpentshrineCavern",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
195,,,"Passé d'Hyjal",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,534,0,0,0x2,-1,"HyjalPast",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
196,,,"Temple noir",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,564,0,0,0x2,-1,"BlackTemple",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
197,,,"Zul'Aman",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,568,0,0,0x2,-1,"ZulAman",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
199,,,"Le Puits de soleil",,,,,,,,,,,,,,0xFF01FE,70,83,70,70,73,580,0,0,0x2,-1,"Sunwell",0x1,,7,,,"",,,,,,,,,,,,,,0xFF01FC,
223,,,"L'Œil de l'éternité",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,616,0,0,0x2,-1,"MALYGOS",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
224,,,"Le sanctum Obsidien",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,615,0,0,0x2,-1,"CHAMBEROFASPECTS",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
227,,,"Naxxramas",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,533,1,0,0x2,-1,"NAXXRAMAS",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
237,,,"L'Œil de l'éternité",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,616,1,0,0x2,-1,"MALYGOS",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
238,,,"Le sanctum Obsidien",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,615,1,0,0x2,-1,"CHAMBEROFASPECTS",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
239,,,"Caveau d'Archavon",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,624,0,0,0x2,-1,"VAULTOFARCHAVON",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
240,,,"Caveau d'Archavon",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,624,1,0,0x2,-1,"VAULTOFARCHAVON",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
243,,,"Ulduar",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,603,0,0,0x2,-1,"ULDUAR",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
244,,,"Ulduar",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,603,1,0,0x2,-1,"ULDUAR",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
246,,,"L'épreuve du croisé",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,649,0,0,0x2,-1,"ARGENTRAID",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
247,,,"L'épreuve du grand croisé",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,649,2,0,0x2,-1,"ARGENTRAID",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
248,,,"L'épreuve du croisé",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,649,1,0,0x2,-1,"ARGENTRAID",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
250,,,"L'épreuve du grand croisé",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,649,3,0,0x2,-1,"ARGENTRAID",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
257,,,"Repaire d'Onyxia",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,249,1,0,0x2,-1,"",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
279,,,"Citadelle de la Couronne de glace",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,631,0,0,0x2,-1,"ICECROWNCITADEL",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
280,,,"Citadelle de la Couronne de glace",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,631,1,0,0x2,-1,"ICECROWNCITADEL",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
293,,,"Le sanctum Rubis",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,724,0,0,0x2,-1,"RUBYSANCTUM",0x2,,8,,,"",,,,,,,,,,,,,,0xFF01FC,
294,,,"Le sanctum Rubis",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,724,1,0,0x2,-1,"RUBYSANCTUM",0x2,,9,,,"",,,,,,,,,,,,,,0xFF01FC,
295,,,"Forêt Mystérieuse",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,825,0,3,0x1,-1,"MYSTICFOREST",0x2,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
296,,,"Temple de la Terre",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,823,0,3,0x1,-1,"EARTHTEMPLE",0x2,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
297,,,"Temple du Temps",,,,,,,,,,,,,,0xFF01FE,80,83,80,80,83,850,0,3,0x1,-1,"TIMETEMPLE",0x2,,1,,,"",,,,,,,,,,,,,,0xFF01FC,
58,,,"Forêt d'Elwynn",,,,,,,,,,,,,,0xFF01FE,1,14,0,0,0,-1,0,0,0x4,1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
60,,,"Marche de l'Ouest",,,,,,,,,,,,,,0xFF01FE,8,24,0,0,0,-1,0,0,0x4,1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
62,,,"Bois de la pénombre",,,,,,,,,,,,,,0xFF01FE,18,34,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
64,,,"Dun Morogh",,,,,,,,,,,,,,0xFF01FE,1,14,0,0,0,-1,0,0,0x4,1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
66,,,"Loch Modan",,,,,,,,,,,,,,0xFF01FE,8,24,0,0,0,-1,0,0,0x4,1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
68,,,"Les Paluns",,,,,,,,,,,,,,0xFF01FE,18,34,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
70,,,"Vallée de Strangleronce",,,,,,,,,,,,,,0xFF01FE,28,50,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
72,,,"Terres foudroyées",,,,,,,,,,,,,,0xFF01FE,43,60,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
74,,,"Marais des Chagrins",,,,,,,,,,,,,,0xFF01FE,33,50,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
76,,,"Les Carmines",,,,,,,,,,,,,,0xFF01FE,13,30,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
78,,,"Steppes ardentes",,,,,,,,,,,,,,0xFF01FE,48,60,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
80,,,"Gorge des Vents brûlants",,,,,,,,,,,,,,0xFF01FE,43,60,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
82,,,"Terres ingrates",,,,,,,,,,,,,,0xFF01FE,33,50,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
84,,,"Hautes-terres d'Arathi",,,,,,,,,,,,,,0xFF01FE,28,44,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
86,,,"Contreforts de Hautebrande",,,,,,,,,,,,,,0xFF01FE,18,34,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
88,,,"Hinterlands",,,,,,,,,,,,,,0xFF01FE,38,54,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
90,,,"Maleterres de l'ouest",,,,,,,,,,,,,,0xFF01FE,48,60,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
92,,,"Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,53,63,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
94,,,"Clairières de Tirisfal",,,,,,,,,,,,,,0xFF01FE,1,14,0,0,0,-1,0,0,0x4,0,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
96,,,"Forêt des Pins argentés",,,,,,,,,,,,,,0xFF01FE,8,24,0,0,0,-1,0,0,0x4,0,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
98,,,"Montagnes d'Alterac",,,,,,,,,,,,,,0xFF01FE,28,44,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
100,,,"Durotar",,,,,,,,,,,,,,0xFF01FE,1,14,0,0,0,-1,0,0,0x4,0,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
102,,,"Mulgore",,,,,,,,,,,,,,0xFF01FE,1,14,0,0,0,-1,0,0,0x4,0,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
104,,,"Les Tarides",,,,,,,,,,,,,,0xFF01FE,8,30,0,0,0,-1,0,0,0x4,0,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
106,,,"Les Serres-Rocheuses",,,,,,,,,,,,,,0xFF01FE,13,32,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
108,,,"Mille Pointes",,,,,,,,,,,,,,0xFF01FE,23,40,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
110,,,"Désolace",,,,,,,,,,,,,,0xFF01FE,28,44,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
112,,,"Féralas",,,,,,,,,,,,,,0xFF01FE,38,54,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
114,,,"Marécage d'Âprefange",,,,,,,,,,,,,,0xFF01FE,33,50,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
116,,,"Tanaris",,,,,,,,,,,,,,0xFF01FE,38,54,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
118,,,"Cratère d'Un'Goro",,,,,,,,,,,,,,0xFF01FE,45,60,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
120,,,"Silithus",,,,,,,,,,,,,,0xFF01FE,53,60,0,0,0,-1,0,0,0x4,-1,"",0x0,,0,,,"",,,,,,,,,,,,,,0xFF01FC,
