long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,flags,flags,str,
26,249,0,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
323,249,1,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
27,269,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
127,269,1,,,"Le mode Héroïque requiert la clé du Temps.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
28,289,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"",
29,309,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x3F480,0x14,"RAID_DIFFICULTY_20PLAYER",
30,329,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"",
31,349,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"",
32,369,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
33,389,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"",
34,409,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x28,"RAID_DIFFICULTY_40PLAYER",
35,429,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"",
36,449,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
37,450,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
38,451,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
39,469,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x28,"RAID_DIFFICULTY_40PLAYER",
40,489,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
41,509,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x3F480,0x14,"RAID_DIFFICULTY_20PLAYER",
42,529,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
43,530,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
44,531,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x28,"RAID_DIFFICULTY_40PLAYER",
45,532,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
46,533,0,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
128,533,1,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
47,534,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
48,540,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
129,540,1,,,"Le mode Héroïque requiert la clé en flammes forgées.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
49,542,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
130,542,1,,,"Le mode Héroïque requiert la clé en flammes forgées.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
50,543,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
131,543,1,,,"Le mode Héroïque requiert la clé en flammes forgées.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
51,544,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
52,545,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
132,545,1,,,"Le mode Héroïque requiert la clé du réservoir.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
53,546,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
133,546,1,,,"Le mode Héroïque requiert la clé du réservoir.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
54,547,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
134,547,1,,,"Le mode Héroïque requiert la clé du réservoir.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
55,548,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
56,550,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
57,552,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
135,552,1,,,"Le mode Héroïque requiert la clé dimensionnelle.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
58,553,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
136,553,1,,,"Le mode Héroïque requiert la clé dimensionnelle.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x0,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
59,554,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
137,554,1,,,"Le mode Héroïque requiert la clé dimensionnelle.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x0,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
60,555,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
138,555,1,,,"Le mode Héroïque requiert la clé Auchenaï.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
61,556,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
139,556,1,,,"Le mode Héroïque requiert la clé Auchenaï.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
62,557,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
140,557,1,,,"Le mode Héroïque requiert la clé Auchenaï.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
63,558,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
141,558,1,,,"Le mode Héroïque requiert la clé Auchenaï.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
64,559,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
65,560,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
142,560,1,,,"Le mode Héroïque requiert la clé du Temps.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
66,562,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
67,564,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
68,565,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
69,566,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
70,568,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x3F480,0xA,"RAID_DIFFICULTY_10PLAYER",
71,571,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
72,572,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
73,573,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
74,574,0,,,"Vous devez être au moins de niveau 65 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
143,574,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
75,575,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
144,575,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
76,576,0,,,"Vous devez être au moins de niveau 66 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
145,576,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
77,578,0,,,"Vous devez être au moins de niveau 75 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
146,578,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
78,580,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
79,582,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
80,584,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
81,585,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
147,585,1,,,"Le mode Héroïque requiert d'avoir terminé la quête « L'increvable ».",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
82,586,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
83,587,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
84,588,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
85,589,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
86,590,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
87,591,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
88,592,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
89,593,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
90,594,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
91,595,0,,,"Vous devez être au moins de niveau 75 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
148,595,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
92,596,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
93,597,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
94,598,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x5,"",
149,598,1,,,"Le mode Héroïque requiert la clé solforgée.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x0,"",
95,599,0,,,"Vous devez être au moins de niveau 72 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
150,599,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
96,600,0,,,"Vous devez être au moins de niveau 69 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
151,600,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
97,601,0,,,"Vous devez être au moins de niveau 67 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
152,601,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
98,602,0,,,"Vous devez être au moins de niveau 75 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
153,602,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
99,603,0,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
154,603,1,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
100,604,0,,,"Vous devez être au moins de niveau 71 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
155,604,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
101,605,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
102,606,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
103,607,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
301,607,1,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
104,608,0,,,"Vous devez être au moins de niveau 70 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
156,608,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
105,609,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
106,610,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
107,612,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
108,613,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
109,614,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
110,615,0,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
157,615,1,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
111,616,0,,,"Vous devez être au moins de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
158,616,1,,,"Vous devez être au moins de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
112,617,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
113,618,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
114,619,0,,,"Vous devez être au moins de niveau 68 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
159,619,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
115,620,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
116,621,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
117,622,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
118,623,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
119,624,0,,,"Vous devez être au moins de niveau 80, avoir le contrôle de Joug-d'hiver et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
160,624,1,,,"Vous devez être au moins de niveau 80, avoir le contrôle de Joug-d'hiver et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
120,628,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
281,628,1,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
485,631,0,,,"Vous devez être au moins de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
486,631,1,,,"Vous devez être au moins de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
487,631,2,,,"Vous devez avoir vaincu le roi-liche en raid 10 joueurs avant de pouvoir tenter le mode héroïque à 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
488,631,3,,,"Vous devez avoir vaincu le roi-liche en raid 25 joueurs avant de pouvoir tenter le mode héroïque à 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
481,632,0,,,"Vous devez être au moins de niveau 75 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
482,632,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
121,641,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
122,642,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
123,647,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
124,649,0,,,"Vous devez être au moins de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
161,649,1,,,"Vous devez être au moins de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
221,649,2,,,"Vous devez être au moins de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER_HEROIC",
222,649,3,,,"Vous devez être au moins de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER_HEROIC",
125,650,0,,,"Vous devez être au moins de niveau 75 pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
162,650,1,,,"Vous devez être de niveau 80 pour accéder au mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
483,658,0,,,"Vous devez avoir terminé la quête « Les échos des âmes torturées » avant d'entrer dans la fosse de Saron.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
484,658,1,,,"Vous devez avoir terminé la quête « Les échos des âmes torturées » et être de niveau 80 avant d'entrer dans la fosse de Saron en mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
341,668,0,,,"Vous devez avoir terminé la quête « Libérés de la fosse » avant d'entrer dans les salles des Reflets.",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"DUNGEON_DIFFICULTY_5PLAYER",
342,668,1,,,"Vous devez avoir terminé la quête « Libérés de la fosse » et être de niveau 80 avant d'entrer dans les salles des Reflets en mode héroïque.",,,,,,,,,,,,,,0xFF01FE,0x15180,0x5,"DUNGEON_DIFFICULTY_5PLAYER_HEROIC",
642,712,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
641,713,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
701,718,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
744,723,0,,,"",,,,,,,,,,,,,,0xFF01FC,0x0,0x0,"",
750,724,0,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
751,724,1,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
752,724,2,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0xA,"RAID_DIFFICULTY_10PLAYER",
753,724,3,,,"Vous devez être de niveau 80 et faire partie d'un groupe de raid pour entrer.",,,,,,,,,,,,,,0xFF01FE,0x93A80,0x19,"RAID_DIFFICULTY_25PLAYER",
755,726,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x0,"",
756,761,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x0,"",
793,774,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x0,"",
834,807,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x0,"",
849,825,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"",
847,823,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"",
874,850,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x5,"",
757,853,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x0,"",
758,854,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x0,"",
1648,860,0,,,"",,,,,,,,,,,,,,0xFF01FE,0x0,0x0,"",
