long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
134,,,"%s vous regarde en toussant.",,,,,,,,,,,,,,0xFF01FE,
135,,,"Vous regardez %s en toussant.",,,,,,,,,,,,,,0xFF01FE,
136,,,"%s laisse échapper une quinte de toux.",,,,,,,,,,,,,,0xFF01FE,
137,,,"Vous laissez échapper une quinte de toux.",,,,,,,,,,,,,,0xFF01FE,
138,,,"%s se recroqueville de peur en voyant %s.",,,,,,,,,,,,,,0xFF01FE,
139,,,"%s se recroqueville de peur en vous voyant.",,,,,,,,,,,,,,0xFF01FE,
140,,,"Vous vous recroquevillez de peur en voyant %s.",,,,,,,,,,,,,,0xFF01FE,
141,,,"%s se recroqueville de peur.",,,,,,,,,,,,,,0xFF01FE,
142,,,"Vous vous recroquevillez de peur.",,,,,,,,,,,,,,0xFF01FE,
143,,,"%s se fait craquer les doigts en regardant fixement %s.",,,,,,,,,,,,,,0xFF01FE,
144,,,"%s se fait craquer les doigts en vous regardant fixement.",,,,,,,,,,,,,,0xFF01FE,
145,,,"Vous vous faites craquer les doigts en regardant fixement %s.",,,,,,,,,,,,,,0xFF01FE,
146,,,"%s se fait craquer les doigts.",,,,,,,,,,,,,,0xFF01FE,
147,,,"Vous vous faites craquer les doigts.",,,,,,,,,,,,,,0xFF01FE,
148,,,"%s se fait craquer les doigts en regardant fixement %s.",,,,,,,,,,,,,,0xFF01FE,
149,,,"%s se fait craquer les doigts en vous regardant fixement.",,,,,,,,,,,,,,0xFF01FE,
150,,,"%s se fait craquer les doigts.",,,,,,,,,,,,,,0xFF01FE,
151,,,"%s a un mouvement de recul devant %s.",,,,,,,,,,,,,,0xFF01FE,
152,,,"%s a un mouvement de recul devant vous.",,,,,,,,,,,,,,0xFF01FE,
153,,,"Vous avez un mouvement de recul devant %s.",,,,,,,,,,,,,,0xFF01FE,
154,,,"%s a un mouvement de recul effrayé.",,,,,,,,,,,,,,0xFF01FE,
155,,,"Vous avez un mouvement de recul effrayé.",,,,,,,,,,,,,,0xFF01FE,
156,,,"%s pleure sur l’épaule |2 %s.",,,,,,,,,,,,,,0xFF01FE,
157,,,"%s pleure sur votre épaule.",,,,,,,,,,,,,,0xFF01FE,
158,,,"Vous pleurez sur l’épaule |2 %s.",,,,,,,,,,,,,,0xFF01FE,
159,,,"%s pleure.",,,,,,,,,,,,,,0xFF01FE,
160,,,"Vous pleurez.",,,,,,,,,,,,,,0xFF01FE,
161,,,"%s exprime sa curiosité sur les intentions de %s.",,,,,,,,,,,,,,0xFF01FE,
162,,,"%s exprime sa curiosité sur vos intentions.",,,,,,,,,,,,,,0xFF01FE,
163,,,"Vous exprimez votre curiosité sur les intentions de %s.",,,,,,,,,,,,,,0xFF01FE,
164,,,"%s fait part de sa curiosité à tout le monde.",,,,,,,,,,,,,,0xFF01FE,
165,,,"Vous faites état de votre curiosité autour de vous.",,,,,,,,,,,,,,0xFF01FE,
166,,,"%s fait part de sa curiosité à tout le monde.",,,,,,,,,,,,,,0xFF01FE,
167,,,"%s fait la révérence à %s.",,,,,,,,,,,,,,0xFF01FE,
168,,,"%s vous fait la révérence.",,,,,,,,,,,,,,0xFF01FE,
169,,,"Vous faites la révérence à %s.",,,,,,,,,,,,,,0xFF01FE,
170,,,"%s fait une révérence.",,,,,,,,,,,,,,0xFF01FE,
171,,,"Vous faites une révérence.",,,,,,,,,,,,,,0xFF01FE,
172,,,"%s danse avec %s.",,,,,,,,,,,,,,0xFF01FE,
173,,,"%s danse avec vous.",,,,,,,,,,,,,,0xFF01FE,
174,,,"Vous dansez avec %s.",,,,,,,,,,,,,,0xFF01FE,
175,,,"%s se met à danser.",,,,,,,,,,,,,,0xFF01FE,
176,,,"Vous vous mettez à danser.",,,,,,,,,,,,,,0xFF01FE,
177,,,"%s lève son verre à %s. Santé !",,,,,,,,,,,,,,0xFF01FE,
178,,,"%s vous lève son verre. Santé !",,,,,,,,,,,,,,0xFF01FE,
179,,,"Vous levez votre verre à %s. Santé !",,,,,,,,,,,,,,0xFF01FE,
180,,,"%s lève son verre à la cantonade avant de le vider cul-sec. Santé !",,,,,,,,,,,,,,0xFF01FE,
181,,,"Vous levez votre verre à la cantonade avant de le vider cul-sec. Santé !",,,,,,,,,,,,,,0xFF01FE,
182,,,"%s regarde %s en bavant.",,,,,,,,,,,,,,0xFF01FE,
183,,,"%s vous regarde en bavant.",,,,,,,,,,,,,,0xFF01FE,
184,,,"Vous regardez %s en bavant.",,,,,,,,,,,,,,0xFF01FE,
185,,,"Un filet de bave coule des lèvres |2 %s.",,,,,,,,,,,,,,0xFF01FE,
186,,,"Un filet de bave coule de vos lèvres.",,,,,,,,,,,,,,0xFF01FE,
187,,,"%s commence à manger devant %s.",,,,,,,,,,,,,,0xFF01FE,
188,,,"%s commence à manger devant vous.",,,,,,,,,,,,,,0xFF01FE,
189,,,"Vous commencez à manger devant %s.",,,,,,,,,,,,,,0xFF01FE,
190,,,"%s commence à manger.",,,,,,,,,,,,,,0xFF01FE,
191,,,"Vous commencez à manger.",,,,,,,,,,,,,,0xFF01FE,
192,,,"%s regarde %s de haut en bas.",,,,,,,,,,,,,,0xFF01FE,
193,,,"%s vous regarde de haut en bas.",,,,,,,,,,,,,,0xFF01FE,
194,,,"Vous regardez %s de haut en bas.",,,,,,,,,,,,,,0xFF01FE,
195,,,"%s vous regarde en louchant.",,,,,,,,,,,,,,0xFF01FE,
196,,,"Vous louchez.",,,,,,,,,,,,,,0xFF01FE,
197,,,"%s se frotte contre %s et laisse échapper un pet sonore.",,,,,,,,,,,,,,0xFF01FE,
198,,,"%s se frotte contre vous et laisse échapper un pet sonore.",,,,,,,,,,,,,,0xFF01FE,
199,,,"Vous vous frottez contre %s et laissez échapper un pet sonore.",,,,,,,,,,,,,,0xFF01FE,
200,,,"%s laisse échapper un pet sonore.  Pouah… C’est quoi cette odeur ?",,,,,,,,,,,,,,0xFF01FE,
201,,,"Vous laissez échapper un pet sonore.  Pouah… C’est quoi cette odeur ?",,,,,,,,,,,,,,0xFF01FE,
202,,,"%s remue impatiemment en attendant %s.",,,,,,,,,,,,,,0xFF01FE,
203,,,"%s remue impatiemment en vous attendant.",,,,,,,,,,,,,,0xFF01FE,
204,,,"Vous remuez impatiemment en attendant %s.",,,,,,,,,,,,,,0xFF01FE,
205,,,"%s remue impatiemment.",,,,,,,,,,,,,,0xFF01FE,
206,,,"Vous remuez impatiemment.",,,,,,,,,,,,,,0xFF01FE,
207,,,"%s bande ses muscles devant %s. Ouaaah, balèze !",,,,,,,,,,,,,,0xFF01FE,
208,,,"%s bande ses muscles devant vous... Ouaaah, balèze !",,,,,,,,,,,,,,0xFF01FE,
209,,,"Vous bandez vos muscles devant %s. Ouaaah, balèze !",,,,,,,,,,,,,,0xFF01FE,
210,,,"%s bande ses muscles. Ouaaah, balèze !",,,,,,,,,,,,,,0xFF01FE,
211,,,"Vous bandez vos muscles. Ouaaah, balèze !",,,,,,,,,,,,,,0xFF01FE,
212,,,"%s bande ses muscles. Ouaaah, balèze !",,,,,,,,,,,,,,0xFF01FE,
213,,,"%s regarde %s en fronçant les sourcils.",,,,,,,,,,,,,,0xFF01FE,
214,,,"%s vous regarde en fronçant les sourcils.",,,,,,,,,,,,,,0xFF01FE,
215,,,"Vous regardez %s en fronçant les sourcils.",,,,,,,,,,,,,,0xFF01FE,
216,,,"%s fronce les sourcils.",,,,,,,,,,,,,,0xFF01FE,
217,,,"Vous froncez les sourcils.",,,,,,,,,,,,,,0xFF01FE,
218,,,"%s regarde %s en suffoquant.",,,,,,,,,,,,,,0xFF01FE,
219,,,"%s vous regarde en suffoquant.",,,,,,,,,,,,,,0xFF01FE,
220,,,"Vous regardez %s en suffoquant.",,,,,,,,,,,,,,0xFF01FE,
221,,,"%s suffoque.",,,,,,,,,,,,,,0xFF01FE,
222,,,"Vous suffoquez.",,,,,,,,,,,,,,0xFF01FE,
223,,,"%s regarde %s avec avidité.",,,,,,,,,,,,,,0xFF01FE,
224,,,"%s vous regarde avec avidité.",,,,,,,,,,,,,,0xFF01FE,
225,,,"Vous regardez %s avec avidité.",,,,,,,,,,,,,,0xFF01FE,
226,,,"%s regarde dans le vide.",,,,,,,,,,,,,,0xFF01FE,
227,,,"Vous regardez fixement au loin.",,,,,,,,,,,,,,0xFF01FE,
228,,,"%s pouffe de rire en regardant %s.",,,,,,,,,,,,,,0xFF01FE,
229,,,"%s pouffe de rire en vous regardant.",,,,,,,,,,,,,,0xFF01FE,
230,,,"Vous pouffez de rire en regardant %s.",,,,,,,,,,,,,,0xFF01FE,
231,,,"%s pouffe de rire.",,,,,,,,,,,,,,0xFF01FE,
232,,,"Vous pouffez de rire.",,,,,,,,,,,,,,0xFF01FE,
233,,,"%s fusille %s du regard.",,,,,,,,,,,,,,0xFF01FE,
234,,,"%s vous fusille du regard.",,,,,,,,,,,,,,0xFF01FE,
235,,,"Vous fusillez %s du regard.",,,,,,,,,,,,,,0xFF01FE,
236,,,"%s lance des regards furieux.",,,,,,,,,,,,,,0xFF01FE,
237,,,"Vous lancez des regards furieux.",,,,,,,,,,,,,,0xFF01FE,
238,,,"%s jubile de la malchance |2 %s. Niark niark.",,,,,,,,,,,,,,0xFF01FE,
239,,,"%s jubile de votre malchance. Niark niark.",,,,,,,,,,,,,,0xFF01FE,
240,,,"Vous jubilez de la malchance |2 %s. Niark niark.",,,,,,,,,,,,,,0xFF01FE,
241,,,"La malchance des autres fait jubiler %s. Niark niark.",,,,,,,,,,,,,,0xFF01FE,
242,,,"La malchance des autres vous fait jubiler. Niark niark.",,,,,,,,,,,,,,0xFF01FE,
243,,,"%s salue chaleureusement %s.",,,,,,,,,,,,,,0xFF01FE,
244,,,"%s vous salue chaleureusement.",,,,,,,,,,,,,,0xFF01FE,
245,,,"Vous saluez %s chaleureusement.",,,,,,,,,,,,,,0xFF01FE,
246,,,"%s salue tout le monde chaleureusement.",,,,,,,,,,,,,,0xFF01FE,
247,,,"Vous saluez tout le monde chaleureusement.",,,,,,,,,,,,,,0xFF01FE,
248,,,"%s adresse un rictus vicieux à %s.",,,,,,,,,,,,,,0xFF01FE,
249,,,"%s vous adresse un rictus vicieux.",,,,,,,,,,,,,,0xFF01FE,
250,,,"Vous adressez un rictus vicieux à %s.",,,,,,,,,,,,,,0xFF01FE,
251,,,"%s a un rictus vicieux.",,,,,,,,,,,,,,0xFF01FE,
252,,,"Vous arborez un rictus vicieux.",,,,,,,,,,,,,,0xFF01FE,
253,,,"%s grogne à la vue |2 %s.",,,,,,,,,,,,,,0xFF01FE,
254,,,"%s grogne en vous voyant.",,,,,,,,,,,,,,0xFF01FE,
255,,,"Vous grognez à la vue |2 %s.",,,,,,,,,,,,,,0xFF01FE,
256,,,"%s émet des grognements.",,,,,,,,,,,,,,0xFF01FE,
257,,,"Vous émettez des grognements.",,,,,,,,,,,,,,0xFF01FE,
258,,,"%s rampe devant %s comme un péon servile.",,,,,,,,,,,,,,0xFF01FE,
259,,,"%s rampe devant vous comme un péon servile.",,,,,,,,,,,,,,0xFF01FE,
260,,,"Vous rampez devant %s comme un péon servile.",,,,,,,,,,,,,,0xFF01FE,
261,,,"%s rampe par terre et se complaît dans la servilité.",,,,,,,,,,,,,,0xFF01FE,
262,,,"Vous rampez par terre en vous complaisant dans la servilité.",,,,,,,,,,,,,,0xFF01FE,
263,,,"%s jette un coup d'œil à %s et se poile un bon coup !",,,,,,,,,,,,,,0xFF01FE,
264,,,"%s vous jette un coup d'œil et se poile un bon coup !",,,,,,,,,,,,,,0xFF01FE,
265,,,"Vous jetez un coup d'œil à %s et vous vous poilez un bon coup !",,,,,,,,,,,,,,0xFF01FE,
266,,,"%s se poile ouvertement !",,,,,,,,,,,,,,0xFF01FE,
267,,,"Vous vous poilez ouvertement !",,,,,,,,,,,,,,0xFF01FE,
268,,,"%s salue %s.",,,,,,,,,,,,,,0xFF01FE,
269,,,"%s vous salue.",,,,,,,,,,,,,,0xFF01FE,
270,,,"Vous saluez %s.",,,,,,,,,,,,,,0xFF01FE,
271,,,"%s salue tous ceux qui l'entourent.",,,,,,,,,,,,,,0xFF01FE,
272,,,"Vous saluez tous ceux qui vous entourent.",,,,,,,,,,,,,,0xFF01FE,
273,,,"%s salue tous ceux qui l'entourent.",,,,,,,,,,,,,,0xFF01FE,
274,,,"%s est très content |2 %s !",,,,,,,,,,,,,,0xFF01FE,
275,,,"%s est très content de vous.",,,,,,,,,,,,,,0xFF01FE,
276,,,"Vous êtes très content |2 %s.",,,,,,,,,,,,,,0xFF01FE,
277,,,"%s est enchanté !",,,,,,,,,,,,,,0xFF01FE,
278,,,"Vous êtes enchanté !",,,,,,,,,,,,,,0xFF01FE,
279,,,"%s lance à %s un bonjour enthousiaste !",,,,,,,,,,,,,,0xFF01FE,
280,,,"%s vous lance un bonjour enthousiaste !",,,,,,,,,,,,,,0xFF01FE,
281,,,"Vous lancez à %s un bonjour enthousiaste !",,,,,,,,,,,,,,0xFF01FE,
282,,,"%s lance un bonjour enthousiaste à la cantonade !",,,,,,,,,,,,,,0xFF01FE,
283,,,"Vous lancez un bonjour enthousiaste à la cantonade !",,,,,,,,,,,,,,0xFF01FE,
284,,,"%s serre %s dans ses bras. Gros câlin !",,,,,,,,,,,,,,0xFF01FE,
285,,,"%s vous serre dans ses bras. Gros câlin !",,,,,,,,,,,,,,0xFF01FE,
286,,,"Vous serrez %s dans vos bras. Gros câlin !",,,,,,,,,,,,,,0xFF01FE,
287,,,"%s a bien besoin d'un gros câlin !",,,,,,,,,,,,,,0xFF01FE,
288,,,"Vous avez bien besoin d'un gros câlin !",,,,,,,,,,,,,,0xFF01FE,
289,,,"%s a faim. %s a peut-être quelque chose à manger…",,,,,,,,,,,,,,0xFF01FE,
290,,,"%s a faim. Vous avez peut-être quelque chose à manger…",,,,,,,,,,,,,,0xFF01FE,
291,,,"Vous avez faim. %s a peut-être quelque chose à manger…",,,,,,,,,,,,,,0xFF01FE,
292,,,"%s a grand-faim !",,,,,,,,,,,,,,0xFF01FE,
293,,,"Vous avez grand-faim !",,,,,,,,,,,,,,0xFF01FE,
294,,,"%s envoie un baiser à %s.",,,,,,,,,,,,,,0xFF01FE,
295,,,"%s vous envoie un baiser.",,,,,,,,,,,,,,0xFF01FE,
296,,,"Vous envoyez un baiser à %s.",,,,,,,,,,,,,,0xFF01FE,
297,,,"%s envoie un baiser dans le vent.",,,,,,,,,,,,,,0xFF01FE,
298,,,"Vous envoyez un baiser dans le vent.",,,,,,,,,,,,,,0xFF01FE,
299,,,"%s se met à genoux devant %s.",,,,,,,,,,,,,,0xFF01FE,
300,,,"%s se met à genoux devant vous.",,,,,,,,,,,,,,0xFF01FE,
301,,,"Vous vous mettez à genoux devant %s.",,,,,,,,,,,,,,0xFF01FE,
302,,,"%s se met à genoux.",,,,,,,,,,,,,,0xFF01FE,
303,,,"Vous vous mettez à genoux.",,,,,,,,,,,,,,0xFF01FE,
304,,,"%s se moque |2 %s.",,,,,,,,,,,,,,0xFF01FE,
305,,,"%s se moque de vous.",,,,,,,,,,,,,,0xFF01FE,
306,,,"Vous vous moquez |2 %s.",,,,,,,,,,,,,,0xFF01FE,
307,,,"%s rit.",,,,,,,,,,,,,,0xFF01FE,
308,,,"Vous riez.",,,,,,,,,,,,,,0xFF01FE,
309,,,"%s se couche devant %s.",,,,,,,,,,,,,,0xFF01FE,
310,,,"%s se couche devant vous.",,,,,,,,,,,,,,0xFF01FE,
311,,,"Vous vous couchez devant %s.",,,,,,,,,,,,,,0xFF01FE,
312,,,"%s se couche.",,,,,,,,,,,,,,0xFF01FE,
313,,,"Vous vous couchez.",,,,,,,,,,,,,,0xFF01FE,
314,,,"%s masse les épaules |2 %s.",,,,,,,,,,,,,,0xFF01FE,
