long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
470,,,"|cffffd100Astuce :|r Vous pouvez afficher de nombreuses choses, comme les quêtes de bas-niveau ou les vendeurs, en cliquant sur la loupe près de votre mini-carte.",,,,,,,,,,,,,,0xFF01FE,
230,,,"|cffffd100Astuce :|r Vous pouvez faire de nombreuses actions amusantes grâce au système des « emotes ». Par exemple, vous pouvez taper /danser pour danser.",,,,,,,,,,,,,,0xFF01FE,
387,,,"|cffffd100Astuce :|r Un employé de Blizzard ne vous demandera JAMAIS votre mot de passe.",,,,,,,,,,,,,,0xFF01FE,
389,,,"|cffffd100Astuce :|r Vous ne pouvez pas exercer plus de deux professions à la fois, mais vous pouvez apprendre toutes les compétences secondaires (pêche, cuisine et secourisme).",,,,,,,,,,,,,,0xFF01FE,
231,,,"|cffffd100Astuce :|r Le menu Interface <Echap> vous propose de nombreux moyens de modifier à votre convenance votre expérience du jeu.",,,,,,,,,,,,,,0xFF01FE,
232,,,"|cffffd100Astuce :|r Vous pouvez activer le lent déroulement du texte des quêtes dans le menu Interface.",,,,,,,,,,,,,,0xFF01FE,
233,,,"|cffffd100Astuce :|r Réfléchissez bien avant d'utiliser vos points de talent, car une fois vos talents choisis, il faut dépenser de l'or pour les désapprendre.",,,,,,,,,,,,,,0xFF01FE,
234,,,"|cffffd100Astuce :|r Une icône Courrier à côté de votre minicarte vous indique que vous avez un nouveau message. Rendez-vous à une boîte aux lettres pour le récupérer.",,,,,,,,,,,,,,0xFF01FE,
235,,,"|cffffd100Astuce :|r Vous pouvez ajouter des barres d'actions supplémentaires à votre interface de jeu à partir du menu Interface.",,,,,,,,,,,,,,0xFF01FE,
236,,,"|cffffd100Astuce :|r Si vous maintenez la touche Maj enfoncée tout en cliquant droit sur une cible pour prendre le butin, vous prendrez automatiquement tout le butin se trouvant sur la cible.",,,,,,,,,,,,,,0xFF01FE,
401,,,"|cffffd100Astuce :|r Votre personnage peut manger et boire simultanément.",,,,,,,,,,,,,,0xFF01FE,
237,,,"|cffffd100Astuce :|r Si vous avez aimé jouer avec quelqu'un de votre royaume, ajoutez-le à votre liste d'amis !",,,,,,,,,,,,,,0xFF01FE,
406,,,"|cffffd100Astuce :|r Utilisez l'outil Donjons pour voyager rapidement vers un donjon ou pour trouver des membres supplémentaires pour votre groupe de donjon.",,,,,,,,,,,,,,0xFF01FE,
239,,,"|cffffd100Astuce :|r Il existe différentes possibilités de partage du butin lorsque vous êtes en groupe. Le chef du groupe peut cliquer-droit sur son propre portrait pour changer d'option.",,,,,,,,,,,,,,0xFF01FE,
240,,,"|cffffd100Astuce :|r Si vous ne voulez plus qu’un joueur vous parle, vous pouvez décider de le /ignorer. Vous pourrez toujours changer d’avis par la suite.",,,,,,,,,,,,,,0xFF01FE,
241,,,"|cffffd100Astuce :|r Vous pouvez cibler les membres de votre groupe à l'aide des touches Fonction. F1 vous cible vous-même, F2 cible le deuxième membre du groupe.",,,,,,,,,,,,,,0xFF01FE,
242,,,"|cffffd100Astuce :|r Si vous êtes poli en groupe, vous aurez plus de chances d'être invité à nouveau !",,,,,,,,,,,,,,0xFF01FE,
341,,,"|cffffd100Astuce :|r Souvenez-vous que tout doit être apprécié avec modération (même World of Warcraft !)",,,,,,,,,,,,,,0xFF01FE,
243,,,"|cffffd100Astuce :|r Pour obtenir des informations supplémentaires sur une faction, cliquez sur son nom dans l’onglet de réputation.",,,,,,,,,,,,,,0xFF01FE,
244,,,"|cffffd100Astuce :|r Un monstre avec un dragon argenté autour de son portrait est un monstre rare qui détient un trésor de valeur supérieure à la moyenne.",,,,,,,,,,,,,,0xFF01FE,
245,,,"|cffffd100Astuce :|r Si vous passez votre souris au-dessus d'une fenêtre de discussion, elle devient visible et vous pouvez cliquer-droit sur l'onglet de la fenêtre pour avoir accès à différentes options.",,,,,,,,,,,,,,0xFF01FE,
411,,,"|cffffd100Astuce :|r Partager un compte avec quelqu'un d'autre peut compromettre sa sécurité.",,,,,,,,,,,,,,0xFF01FE,
246,,,"|cffffd100Astuce :|r Vous pouvez choisir d'afficher la durée des améliorations dont vous bénéficiez dans le menu Interface.",,,,,,,,,,,,,,0xFF01FE,
247,,,"|cffffd100Astuce :|r Dans le menu Interface, vous pouvez verrouiller votre barre d'actions afin d'éviter de déplacer accidentellement des sorts.",,,,,,,,,,,,,,0xFF01FE,
256,,,"|cffffd100Astuce :|r Vous pouvez définir quelles améliorations et affaiblissements afficher sur vous-même ou sur les autres joueurs pour obtenir les informations que vous souhaitez.",,,,,,,,,,,,,,0xFF01FE,
248,,,"|cffffd100Astuce :|r Vous pouvez lancer un sort sur vous-même sans désélectionner votre cible actuelle en maintenant enfoncée la touche <Alt> lorsque vous appuyez sur le raccourci.",,,,,,,,,,,,,,0xFF01FE,
398,,,"|cffffd100Astuce :|r Assurez-vous que tous les membres du groupe en sont à la même étape d’une quête d’escorte avant de déclencher la quête.",,,,,,,,,,,,,,0xFF01FE,
405,,,"|cffffd100Astuce :|r Vos chances de rencontrer des monstres errants sont réduites si vous restez sur les routes.",,,,,,,,,,,,,,0xFF01FE,
250,,,"|cffffd100Astuce :|r Tuer des gardes ne rapporte pas de points d'honneur.",,,,,,,,,,,,,,0xFF01FE,
254,,,"|cffffd100Astuce :|r <Alt>W vous permet de retirer et remettre votre interface pour faire des captures d'écran avec <Impr écran>.",,,,,,,,,,,,,,0xFF01FE,
251,,,"|cffffd100Astuce :|r Si vous tapez /macro, vous ouvrez l'interface permettant de créer des macros.",,,,,,,,,,,,,,0xFF01FE,
252,,,"|cffffd100Astuce :|r Les personnages-joueurs ennemis dont le nom est affiché en gris sont d'un niveau nettement inférieur au vôtre. Les tuer ne vous rapporte pas de points d'honneur.",,,,,,,,,,,,,,0xFF01FE,
253,,,"|cffffd100Astuce :|r Depuis l'IU de raid, vous pouvez tirer le nom d'un joueur vers le champ de jeu pour voir son statut ou tirer l'icône d'une classe pour voir tous les membres de cette classe.",,,,,,,,,,,,,,0xFF01FE,
261,,,"|cffffd100Astuce :|r Un point d'interrogation bleu au-dessus d'un donneur de quête indique que l'on peut répéter la quête.",,,,,,,,,,,,,,0xFF01FE,
262,,,"|cffffd100Astuce :|r Utilisez la touche de soutien (F) tout en ciblant un autre personnage-joueur et vous ciblerez le même adversaire que lui.",,,,,,,,,,,,,,0xFF01FE,
281,,,"|cffffd100Astuce :|r Si vous cliquez sur un objet vendu par un marchand tout en appuyant sur la touche Maj, vous pouvez choisir combien d'exemplaires de cet objet vous souhaitez acheter.",,,,,,,,,,,,,,0xFF01FE,
402,,,"|cffffd100Astuce :|r Participer à une bataille pendant la période d’appel aux armes du champ de bataille concerné augmente les gains d’honneur.",,,,,,,,,,,,,,0xFF01FE,
400,,,"|cffffd100Astuce :|r Si vous avez des difficultés pour pêcher dans une zone, essayez de mettre un appât sur votre canne à pêche.",,,,,,,,,,,,,,0xFF01FE,
380,,,"|cffffd100Astuce :|r Vous pouvez revoir les messages que vous aviez envoyés précédemment dans la fenêtre de discussion en appuyant sur <Alt> et la touche flèche vers le haut.",,,,,,,,,,,,,,0xFF01FE,
381,,,"|cffffd100Astuce :|r Cliquez sur une pile d’objets en appuyant sur la touche Maj pour la scinder en piles plus petites.",,,,,,,,,,,,,,0xFF01FE,
382,,,"|cffffd100Astuce :|r Appuyez simultanément sur les deux boutons de la souris pour faire courir votre personnage.",,,,,,,,,,,,,,0xFF01FE,
383,,,"|cffffd100Astuce :|r Quand vous répondez à un message (touche par défaut « R »), vous pouvez sélectionner avec la touche <TAB> parmi les personnages à qui vous avez répondu récemment.",,,,,,,,,,,,,,0xFF01FE,
388,,,"|cffffd100Astuce :|r Cliquez sur un nom d’objet entre crochets dans la fenêtre de discussion pour obtenir plus de détails sur cet objet.",,,,,,,,,,,,,,0xFF01FE,
390,,,"|cffffd100Astuce :|r Il est bien vu de parler à quelqu’un avant de l’inviter dans un groupe ou d’ouvrir une fenêtre d’échange.",,,,,,,,,,,,,,0xFF01FE,
392,,,"|cffffd100Astuce :|r Vos objets ne subissent pas de dégâts de durabilité si vous vous faites tuer par un personnage-joueur de la faction adverse.",,,,,,,,,,,,,,0xFF01FE,
393,,,"|cffffd100Astuce :|r Cliquez sur une quête dans votre journal en appuyant sur la touche <Maj> pour afficher le suivi de cette quête.",,,,,,,,,,,,,,0xFF01FE,
397,,,"|cffffd100Astuce :|r Les hôtels des ventes de chacune des villes principales de votre faction sont liés.",,,,,,,,,,,,,,0xFF01FE,
394,,,"|cffffd100Astuce :|r Les donneurs de quête proches qui attendent votre retour sont indiqués par des points d'interrogation jaunes sur votre minicarte.",,,,,,,,,,,,,,0xFF01FE,
399,,,"|cffffd100Astuce :|r Les quêtes que vous accomplissez quand vous êtes au niveau maximum vous rapportent de l’argent à la place de l’expérience.",,,,,,,,,,,,,,0xFF01FE,
403,,,"|cffffd100Astuce :|r Appuyez sur <Maj>-B pour ouvrir tous vos sacs d’un coup.",,,,,,,,,,,,,,0xFF01FE,
404,,,"|cffffd100Astuce :|r Lors de vos interactions avec d’autres personnages, souvenez-vous qu’un minimum de courtoisie peut ouvrir bien des portes !",,,,,,,,,,,,,,0xFF01FE,
407,,,"|cffffd100Astuce :|r Amenez vos amis en Azeroth, mais n’oubliez pas pour autant de les voir en dehors d’Azeroth.",,,,,,,,,,,,,,0xFF01FE,
409,,,"|cffffd100Astuce :|r Si vous videz régulièrement votre boîte à lettre, l’icône de courrier vous avertira en cas de nouveaux messages !",,,,,,,,,,,,,,0xFF01FE,
410,,,"|cffffd100Astuce :|r Ne donnez jamais les informations relatives à votre compte à un autre joueur.",,,,,,,,,,,,,,0xFF01FE,
419,,,"|cffffd100Astuce :|r Lorsqu’un monstre est blessé par un personnage qui n’appartient pas à votre groupe, sa barre de vie devient grise. Il ne vous rapportera ni butin ni expérience même si vous le tuez.",,,,,,,,,,,,,,0xFF01FE,
420,,,"|cffffd100Astuce :|r Activer l’option « Barre de sorts », dans les options d’interface de combat, vous permet de voir le sort que votre cible actuelle est en train de lancer.",,,,,,,,,,,,,,0xFF01FE,
422,,,"|cffffd100Astuce :|r Pour voir la carte, appuyez sur la touche « M » ou cliquez sur le bouton qui se trouve en haut à droite de la minicarte. La carte vous aide à localiser les endroits où vous pourrez achever une quête.",,,,,,,,,,,,,,0xFF01FE,
423,,,"|cffffd100Astuce :|r De nombreux donjons de haut niveau ont un mode Héroïque. Lorsqu’ils sont joués en mode Héroïque, ils sont adaptés à des personnages de niveau plus élevé, et disposent de butins améliorés.",,,,,,,,,,,,,,0xFF01FE,
424,,,"|cffffd100Astuce :|r Achetez de puissantes récompenses avec vos points d’honneur au Hall des champions (Alliance) ou au Hall des légendes (Horde).",,,,,,,,,,,,,,0xFF01FE,
425,,,"|cffffd100Astuce :|r Les points d’honneur gagnés un jour sont disponibles immédiatement. Pour voir de combien de points vous disposez, consultez l’interface JcJ.",,,,,,,,,,,,,,0xFF01FE,
412,,,"|cffffd100Astuce :|r Vous pouvez désactiver ces astuces dans le menu Interface.",,,,,,,,,,,,,,0xFF01FE,
426,,,"|cffffd100Astuce :|r Les pierres de rencontre servent à invoquer les membres du groupe qui ne sont pas sur place. Pour cela, il faut que deux personnages se trouvent près de la pierre.",,,,,,,,,,,,,,0xFF01FE,
427,,,"|cffffd100Astuce :|r La partie Contrôle parental du site de Gestion de compte vous propose des outils pour vous aider à gérer votre temps de jeu.",,,,,,,,,,,,,,0xFF01FE,
428,,,"|cffffd100Astuce :|r Les objets de quête qui se trouvent en banque ne peuvent être utilisés pour terminer une quête.",,,,,,,,,,,,,,0xFF01FE,
429,,,"|cffffd100Astuce :|r Une quête pour laquelle est indiqué un (Échec) dans le journal de quêtes peut être reprise auprès du personnage qui la proposait.",,,,,,,,,,,,,,0xFF01FE,
430,,,"|cffffd100Astuce :|r Le nombre qui apparaît à côté du nom d'une quête dans le journal indique le nombre de personnes de votre groupe qui l'ont aussi à accomplir.",,,,,,,,,,,,,,0xFF01FE,
431,,,"|cffffd100Astuce :|r Lorsque vous faites partie d'un groupe de raid, vous ne pouvez faire progresser que les quêtes marquées pour (Raid).",,,,,,,,,,,,,,0xFF01FE,
432,,,"|cffffd100Astuce :|r Il n'est pas possible d'annuler vos enchères à l'hôtel des ventes, placez-les avec prudence.",,,,,,,,,,,,,,0xFF01FE,
433,,,"|cffffd100Astuce :|r Pour entrer sur un canal de discussion, tapez /rejoindre [nom du canal]. Pour le quitter, tapez /partir [nom du canal].",,,,,,,,,,,,,,0xFF01FE,
434,,,"|cffffd100Astuce :|r Le courrier est conservé 30 jours au maximum avant de disparaître.",,,,,,,,,,,,,,0xFF01FE,
435,,,"|cffffd100Astuce :|r Lorsque vous recevez une clé, elle est placée dans le trousseau de clés qui se trouve à gauche de vos autres sacs.",,,,,,,,,,,,,,0xFF01FE,
437,,,"|cffffd100Astuce :|r Les gardes d'une ville peuvent souvent vous indiquer où trouver certains endroits importants de la ville.",,,,,,,,,,,,,,0xFF01FE,
438,,,"|cffffd100Astuce :|r Vous pouvez racheter les objets vendus récemment à un marchand grâce à l'onglet de rachat.",,,,,,,,,,,,,,0xFF01FE,
439,,,"|cffffd100Astuce :|r Le chef d'un groupe peut réinitialiser ses instances ou en modifier la difficulté grâce au menu disponible par clic droit sur son portrait.",,,,,,,,,,,,,,0xFF01FE,
440,,,"|cffffd100Astuce :|r N'importe quel aubergiste pourra toujours vous fournir une nouvelle pierre de foyer.",,,,,,,,,,,,,,0xFF01FE,
441,,,"|cffffd100Astuce :|r Vous pouvez afficher une petite carte de votre zone soit en appuyant sur Maj-M, soit en activant l'option à partir de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,
442,,,"|cffffd100Astuce :|r Les personnages-joueurs ne peuvent pas esquiver, parer ou bloquer les attaques qui arrivent de derrière eux.",,,,,,,,,,,,,,0xFF01FE,
444,,,"|cffffd100Astuce :|r Vous pouvez remplacer une gemme déjà sertie dans un objet en posant une nouvelle gemme par-dessus dans l'interface de sertissage.",,,,,,,,,,,,,,0xFF01FE,
445,,,"|cffffd100Astuce :|r Si vous cliquez droit sur un nom dans le journal de combat, une liste d'options s'affiche.",,,,,,,,,,,,,,0xFF01FE,
446,,,"|cffffd100Astuce :|r Vous ne pouvez avoir qu'un Elixir de bataille et un Elixir du Gardien actifs en même temps.",,,,,,,,,,,,,,0xFF01FE,
447,,,"|cffffd100Astuce :|r Quand vous passez votre souris au-dessus d'un objet, vous pouvez appuyer sur la touche Maj pour voir l'objet de ce type que vous avez équipé.",,,,,,,,,,,,,,0xFF01FE,
448,,,"|cffffd100Astuce :|r Vous pouvez posséder jusqu'à 10 personnages par royaume, dans la limite de 50 personnages tous royaumes confondus.",,,,,,,,,,,,,,0xFF01FE,
449,,,"|cffffd100Astuce :|r Vous pouvez réutiliser un texte que vous avez récemment écrit. Appuyez sur Entrée, puis appuyez sur la touche <Alt> et la flèche vers le haut pour faire défiler vos précédents messages.",,,,,,,,,,,,,,0xFF01FE,
464,,,"|cffffd100Astuce :|r Vous pouvez utiliser le calendrier pour visualiser les évènements saisonniers à venir ou pour organiser des évènements avec votre guilde ou vos amis.",,,,,,,,,,,,,,0xFF01FE,
465,,,"|cffffd100Astuce :|r Vous pouvez cliquer droit sur l'horloge pour paramétrer une alarme ou afficher un chronomètre.",,,,,,,,,,,,,,0xFF01FE,
450,,,"|cffffd100Astuce :|r Vos montures et vos familiers pacifiques se trouvent sur l’onglet « Familiers » de votre feuille de personnage.",,,,,,,,,,,,,,0xFF01FE,
451,,,"|cffffd100Astuce :|r Les monnaies, comme celles que l’on récupère sur les champs de bataille ou dans les donjons héroïques, sont conservées dans le panneau Monnaies.",,,,,,,,,,,,,,0xFF01FE,
452,,,"|cffffd100Astuce :|r Certains véhicules peuvent transporter plusieurs passagers.",,,,,,,,,,,,,,0xFF01FE,
466,,,"|cffffd100Astuce :|r Les personnages ayant pour profession la calligraphie peuvent créer des glyphes qui améliorent certains de vos sorts et techniques favoris.",,,,,,,,,,,,,,0xFF01FE,
467,,,"|cffffd100Astuce :|r Si vous souhaitez faire quelque chose de différent, tentez d'accomplir des hauts faits inhabituels.",,,,,,,,,,,,,,0xFF01FE,
468,,,"|cffffd100Astuce :|r Vous pouvez faire un lien dans vos messages de discussion vers des quêtes, des objets, des sorts et des hauts faits, en faisant Maj+clic gauche sur les éléments appropriés.",,,,,,,,,,,,,,0xFF01FE,
469,,,"|cffffd100Astuce :|r Vous pouvez suivre la progression de vos quêtes et de vos hauts faits en cours de réalisation.",,,,,,,,,,,,,,0xFF01FE,
453,,,"|cffffd100Astuce :|r Les montures volantes peuvent être utilisées en Outreterre lorsque vous avez le niveau approprié en Monte, et en Norfendre lorsque vous avez appris à voler par temps froid.",,,,,,,,,,,,,,0xFF01FE,
454,,,"|cffffd100Astuce :|r Accomplir certains hauts faits donne accès à des récompenses, des objets uniques non liés au combat.",,,,,,,,,,,,,,0xFF01FE,
455,,,"|cffffd100Astuce :|r Les objets possédant un bonus à la puissance des sorts augmentent à la fois les effets des sorts de dégâts et de soins.",,,,,,,,,,,,,,0xFF01FE,
456,,,"|cffffd100Astuce :|r Infliger des dégâts, soigner ou lancer des sorts peut générer de la menace envers une créature. La plupart des créatures attaquent le joueur ayant la plus forte menace envers elles.",,,,,,,,,,,,,,0xFF01FE,
457,,,"|cffffd100Astuce :|r Les créatures de quatre niveaux de plus que vous peuvent vous frapper avec un coup écrasant, qui inflige des dégâts supplémentaires.",,,,,,,,,,,,,,0xFF01FE,
458,,,"|cffffd100Astuce :|r Les statistiques enregistrent certains chiffres intéressants sur votre personnage, comme la quantité de nourriture ingurgitée ou le plus gros coup critique infligé.",,,,,,,,,,,,,,0xFF01FE,
459,,,"|cffffd100Astuce :|r Vous pouvez vous faire couper et colorer les cheveux dans les salons de coiffure situés dans plusieurs villes.",,,,,,,,,,,,,,0xFF01FE,
460,,,"|cffffd100Astuce :|r Parrainer un ami dans World of Warcraft vous permet à tous les deux d'obtenir de belles récompenses.",,,,,,,,,,,,,,0xFF01FE,
462,,,"|cffffd100Astuce :|r Vous pouvez paramétrer un portrait de focalisation en cliquant droit sur le portrait d'une unité. Vous pouvez déverrouiller le portrait de focalisation et le placer n'importe où sur votre écran.",,,,,,,,,,,,,,0xFF01FE,
461,,,"|cffffd100Astuce :|r Vous pouvez comparer vos hauts faits à ceux d'un autre joueur.",,,,,,,,,,,,,,0xFF01FE,
463,,,"|cffffd100Astuce :|r Vous pouvez paramétrer vos options pour lancer des sorts sur vous-même ou sur une cible focalisée dans les options d'interface de combat.",,,,,,,,,,,,,,0xFF01FE,
471,,,"|cffffd100Astuce :|r Un sanctuaire est une ville où les combats JcJ ne sont pas autorisés, comme Shattrath et Dalaran.",,,,,,,,,,,,,,0xFF01FE,
472,,,"|cffffd100Astuce :|r Améliorer votre réputation auprès de diverses factions vous permet d'accéder à de nouvelles quêtes et récompenses.",,,,,,,,,,,,,,0xFF01FE,
473,,,"|cffffd100Astuce :|r Le calendrier vous apprend quand vos raids sont remis à zéro.",,,,,,,,,,,,,,0xFF01FE,
474,,,"|cffffd100Astuce :|r Les créatures ne peuvent pas infliger de coups critiques avec les sorts, contrairement aux joueurs.",,,,,,,,,,,,,,0xFF01FE,
475,,,"|cffffd100Astuce :|r Les créatures peuvent esquiver les attaques dans le dos, mais pas les joueurs. Ni les créatures, ni les joueurs ne peuvent parer les attaques dans le dos.",,,,,,,,,,,,,,0xFF01FE,
479,,,"|cffffd100Astuce :|r Vous pouvez activer le Gestionnaire d'équipement dans l'écran d'interface pour échanger rapidement des tenues et des armes que vous utilisez souvent.",,,,,,,,,,,,,,0xFF01FE,
480,,,"|cffffd100Astuce :|r Quand vous atteignez le niveau 40, votre maître de classe peut vous apprendre la double spécialisation des talents. Elle vous permet de changer rapidement vos talents, vos glyphes et vos barres d'actions entre deux configurations que vous utilisez souvent.",,,,,,,,,,,,,,0xFF01FE,
481,,,"|cffffd100Astuce :|r Vous pouvez activer l'option Portraits d'ennemis en arène pour afficher les portraits des membres de l'équipe ennemie dans les matchs d'arène.",,,,,,,,,,,,,,0xFF01FE,
482,,,"|cffffd100Astuce :|r Dans les options d'affichage de l'interface, vous pouvez activer l'Aperçu des modifications de talents. Si vous activez cette option, vous pourrez essayer différentes façons de dépenser vos points de talent avant de sauvegarder vos modifications.",,,,,,,,,,,,,,0xFF01FE,
483,,,"|cffffd100Astuce :|r Si vous appuyez sur « Alt » lorsque le curseur est sur un emplacement d’objet dans votre feuille de personnage, vous verrez apparaître une liste d’objets dont vous pouvez vous équiper à cet emplacement.",,,,,,,,,,,,,,0xFF01FE,
489,,,"|cffffd100Astuce :|r Si la barre de sorts d’un ennemi est entourée d’une icône de bouclier, vous ne pouvez pas interrompre ce sort à l’aide de vos capacités.",,,,,,,,,,,,,,0xFF01FE,
490,,,"|cffffd100Astuce :|r Votre guilde peut prévoir des Évènements de guilde à l’aide du calendrier en jeu. Vous pouvez choisir de vous y inscrire plutôt que d’attendre une invitation.",,,,,,,,,,,,,,0xFF01FE,
491,,,"|cffffd100Astuce :|r Lorsque la fonctionnalité de remplissage automatique suggère des noms de personnages, appuyez sur Tab. ou Maj. + Tab. pour sélectionner un nom dans la liste.",,,,,,,,,,,,,,0xFF01FE,
500,,,"|cffffd100Astuce :|r Vérifiez toujours que vous êtes sur un site officiel de Blizzard lorsque vous indiquez vos informations de compte.",,,,,,,,,,,,,,0xFF01FE,
501,,,"|cffffd100Astuce :|r Les emails envoyés par Blizzard proviennent toujours d'une adresse se terminant par blizzard.com ou battle.net.",,,,,,,,,,,,,,0xFF01FE,
502,,,"|cffffd100Astuce :|r Vous pouvez télécharger des programmes gratuits qui analysent régulièrement votre machine à la recherche de logiciels malveillants, y compris les « keyloggers ».",,,,,,,,,,,,,,0xFF01FE,
503,,,"|cffffd100Astuce :|r Pour accéder à des fonctionnalités avancées, fusionnez votre compte World of Warcraft et votre compte Blizzard Battle.net.",,,,,,,,,,,,,,0xFF01FE,
504,,,"|cffffd100Astuce :|r Utiliser un Blizzard Authenticator ou un Battle.net Mobile Authenticator vous aidera à protéger votre compte World of Warcraft des vols.",,,,,,,,,,,,,,0xFF01FE,
505,,,"|cffffd100Astuce :|r Pour éviter qu'on vous vole votre compte, ne vous connectez pas à World of Warcraft depuis un ordinateur public. Ces ordinateurs peuvent être infectés par des logiciels malveillants.",,,,,,,,,,,,,,0xFF01FE,
506,,,"|cffffd100Astuce :|r Méfiez-vous des sites non officiels proposant des services payants sur World of Warcraft. Ces sites peuvent contenir des logiciels malveillants entraînant le vol de votre compte.",,,,,,,,,,,,,,0xFF01FE,
507,,,"|cffffd100Astuce :|r Pour éviter qu'on vous vole votre compte, n'utilisez pas d'add-ons ou de fonctionnalités sur votre navigateur qui utilisent des scripts en tâche de fond.",,,,,,,,,,,,,,0xFF01FE,
508,,,"|cffffd100Astuce :|r Les lieux de quêtes et les donneurs de quêtes sont visibles sur votre carte.",,,,,,,,,,,,,,0xFF01FE,
509,,,"|cffffd100Astuce :|r Vous pouvez obtenir des récompenses lorsque vous terminez des donjons aléatoires en utilisant l'outil Donjons. Vous pouvez vous associer avec des amis ou utiliser l'outil Donjons pour trouver un groupe.",,,,,,,,,,,,,,0xFF01FE,
