long,long,long,str,
133292,771,2,"рыбной ловле",
133313,771,3,"рыбную ловлю",
133334,771,4,"рыбной ловлей",
133355,771,5,"рыбной ловле",
943,771,6,"Ваш навык рыбной ловли",
91377,771,7,"Ваш навык рыбной ловли должен",
944,772,6,"Ваш навык кулинарии",
91365,772,7,"Ваш навык кулинарии должен",
133270,773,1,"первой помощи",
133291,773,2,"первой помощи",
133312,773,3,"первую помощь",
133333,773,4,"первой помощью",
133354,773,5,"первой помощи",
945,773,6,"Ваш навык оказания первой помощи",
91372,773,7,"Ваш навык оказания первой помощи должен",
946,774,6,"Ваш навык выживания",
91349,774,7,"Ваш навык выживания должен",
947,775,6,"Ваш навык плавания",
91373,775,7,"Ваш навык плавания должен",
948,776,6,"Ваш навык рукопашного боя",
91376,776,7,"Ваш навык рукопашного боя должен",
949,777,6,"физического урона",
1929,778,1,"Огня",
1930,778,2,"Огню",
1931,778,3,"Огня",
1932,778,4,"Огнём",
1933,778,5,"Огне",
950,778,6,"урона от огня",
1969,779,1,"Льда",
1970,779,2,"Льду",
1971,779,3,"Льда",
1972,779,4,"Льдом",
1973,779,5,"Льде",
951,779,6,"урона от магии льда",
952,780,6,"урона от тайной магии",
118552,780,7,"тайной магии",
953,781,6,"урона от сил природы",
13583,782,1,"Тени",
29165,782,2,"Тени",
44747,782,3,"Тень",
60329,782,4,"Тенью",
75911,782,5,"Тени",
954,782,6,"урона от темной магии",
955,783,6,"урона от светлой магии",
956,784,6,"неизвестного урона",
957,785,1,"маны",
91177,785,2,"Мане",
91178,785,3,"Ману",
91179,785,4,"Маной",
91180,785,5,"Мане",
145975,785,6,"маны",
958,786,1,"ярости",
91181,786,2,"Ярости",
91182,786,3,"Ярость",
91183,786,4,"Яростью",
91184,786,5,"Ярости",
145976,786,6,"ярости",
959,787,1,"энергии",
91185,787,2,"Энергию",
91186,787,3,"Энергию",
91187,787,4,"Энергией",
91188,787,5,"Энергии",
145977,787,6,"энергии",
960,788,1,"настроения",
91189,788,2,"Настроению",
91190,788,3,"Настроение",
91191,788,4,"Настроением",
91192,788,5,"Настроении",
145978,788,6,"настроения",
961,789,1,"рун",
145979,789,6,"рун",
962,790,1,"счетчика маноотбора Солнечного Странника",
993,790,2,"счетчику маноотбора Солнечного Странника",
1024,790,3,"счетчик маноотбора Солнечного Странника",
1055,790,4,"счетчиком маноотбора Солнечного Странника",
1086,790,5,"счетчике маноотбора Солнечного Странника",
963,791,1,"Хранителя Колодца Соланиана",
994,791,2,"Хранителю Колодца Соланиану",
1025,791,3,"Хранителя Колодца Соланиана",
1056,791,4,"хранителем Колодца Соланианом",
1087,791,5,"Хранителе Колодца Соланиане",
964,792,1,"порченого духа тайной магии",
995,792,2,"порченому духу тайной магии",
1026,792,3,"порченого духа тайной магии",
1057,792,4,"порченым духом тайной магии",
1088,792,5,"порченом духе тайной магии",
965,793,1,"Детеныша прыголапа",
996,793,2,"Детенышу прыголапа",
1027,793,3,"Детеныша прыголапа",
1058,793,4,"Детенышем прыголапа",
1089,793,5,"Детеныше прыголапа",
966,794,1,"Змея Маны",
997,794,2,"змею Маны",
1028,794,3,"змея Маны",
1059,794,4,"змеем Маны",
1090,794,5,"змее Маны",
967,795,1,"зверопастыря",
998,795,2,"зверопастырю",
1029,795,3,"зверопастыря",
1060,795,4,"зверопастырем",
1091,795,5,"зверопастыре",
968,796,1,"Шары Солнечное Крыло",
999,796,2,"Шаре Солнечному Крылу",
1030,796,3,"Шару Солнечное Крыло",
1061,796,4,"Шарой Солнечным Крылом",
1092,796,5,"Шаре Солнечном Крыле",
969,797,1,"одичавшего зверопастыря",
1000,797,2,"одичавшему зверопастырю",
1031,797,3,"одичавшего зверопастыря",
1062,797,4,"одичавшии зверопастырем",
1093,797,5,"одичавшем зверопастыре",
970,798,1,"магистрессы Эрионы",
1001,798,2,"магистрессе Эрионе",
1032,798,3,"Магистрессу Эриону",
1063,798,4,"магистрессой Эрионой",
1094,798,5,"Магистрессе Эрионе",
971,799,1,"следопыта Кариэл",
1002,799,2,"следопыту Кариэлу",
1033,799,3,"следопыта Кариэла",
1064,799,4,"следопытом Кариэлом",
1095,799,5,"следопыте Кариэле",
972,800,1,"Фелендрена Изгоя",
1003,800,2,"Фелендрену Изгою",
1034,800,3,"Фелендрена Изгоя",
1065,800,4,"Фелендреном Изгоем",
1096,800,5,"Фелендрене Изгое",
973,801,1,"стража из клана Солнечный Странник",
1004,801,2,"стражу из клана Солнечный Странник",
1035,801,3,"стража из клана Солнечный Странник",
1066,801,4,"стражем из клана Солнечный Странник",
1097,801,5,"страже из клана Солнечный Странник",
974,802,1,"Ясмин Тели-Лариен",
1005,802,2,"Ясмин Тели-Лариен",
1036,802,3,"Ясмин Тели-Лариен",
1067,802,4,"Ясмин Тели-Лариен",
1098,802,5,"Ясмине Тели-Лариен",
975,803,1,"Рыси-прыголапа",
1006,803,2,"Рыси-прыголапу",
1037,803,3,"Рысь-прыголапа",
1068,803,4,"Рысью-прыголапом",
1099,803,5,"Рыси-прыголапе",
976,804,1,"Джулии Удара Солнца",
1007,804,2,"Джулии Удару Солнца",
1038,804,3,"Джулию Удар Солнца",
1069,804,4,"Джулией Ударом Солнца",
1100,804,5,"Джулии Ударе Солнца",
977,805,1,"Марсиллы Рассветной Звезды",
1008,805,2,"Марсилле Рассветной Звезде",
1039,805,3,"Марсиллу Рассветную Звезду",
1070,805,4,"Марсиллой Рассветной Звездой",
1101,805,5,"Марсилле Рассветной Звезде",
978,806,1,"Раэлис Рассветной Звезды",
1009,806,2,"Раэлис Утренней Звезде",
1040,806,3,"Раэлис Рассветную Звезду",
1071,806,4,"Раэлис Рассветной Звездой",
1102,806,5,"Раэлис Рассветной Звезде",
979,807,1,"Джестениса Удара Солнца",
1010,807,2,"Джестенису Удару Солнца",
1041,807,3,"Джестениса Удар Солнца",
1072,807,4,"Джестенисом Ударом Солнца",
1103,807,5,"Джестенисе Ударе Солнца",
980,808,1,"смотрительницы Арины",
1011,808,2,"смотрительнице Арине",
1042,808,3,"смотрительницу Арину",
1073,808,4,"смотрительницей Ариной",
1104,808,5,"смотрительнице Арине",
981,809,1,"Джейн",
1012,809,2,"Джейн",
1043,809,3,"Джейн",
1074,809,4,"Джейн",
1105,809,5,"Джейн",
982,810,1,"Джессела",
1013,810,2,"Джесселу",
1044,810,3,"Джессела",
1075,810,4,"Джесселом",
1106,810,5,"Джесселе",
983,811,1,"Новы",
1014,811,2,"Нове",
1045,811,3,"Нову",
1076,811,4,"Новой",
1107,811,5,"Нове",
984,812,1,"Джейнтесс Тельрин",
1015,812,2,"Джейнтесс Тельрин",
1046,812,3,"Джейнтесс Тельрин",
1077,812,4,"Джейнтесс Тельрин",
1108,812,5,"Джейнтесс Тельрин",
985,813,1,"духа тайной магии",
1016,813,2,"духу тайной магии",
1047,813,3,"духа тайной магии",
1078,813,4,"духом тайной магии",
1109,813,5,"духе тайной магии",
986,814,1,"Чародея Итанаса",
1017,814,2,"Чародею Итанасу",
1048,814,3,"Чародея Итанаса",
1079,814,4,"Чародеем Итанасом",
1110,814,5,"Чародее Итанасе",
987,815,1,"Чародея Хелиона",
1018,815,2,"Чародею Хелиону",
1049,815,3,"Чародея Хелиона",
1080,815,4,"Чародеем Хелионом",
1111,815,5,"Чародее Хелионе",
988,816,1,"Фараден Тельрин",
1019,816,2,"Фараден Тельрин",
1050,816,3,"Фараден Тельрин",
1081,816,4,"Фараден Тельрин",
1112,816,5,"Фараден Тельрин",
989,817,1,"егеря Саллина",
1020,817,2,"егерю Саллине",
1051,817,3,"егеря Саллину",
1082,817,4,"егерем Саллиной",
1113,817,5,"егере Саллине",
990,818,1,"Лантана Перилона",
1021,818,2,"Лантану Перилону",
1052,818,3,"Лантана Перилона",
1083,818,4,"Лантаном Перилоном",
1114,818,5,"Лантане Перилоне",
991,819,1,"Гонца Аларион",
1022,819,2,"Гонцу Аларион",
1053,819,3,"Гонца Аларион",
1084,819,4,"Гонцом Аларион",
1115,819,5,"Гонце Аларион",
992,820,1,"заклинателя Тели-Лариена",
1023,820,2,"заклинателю Тели-Лариену",
1054,820,3,"заклинателя Тели-Лариена",
1085,820,4,"заклинателем Тели-Лариеном",
1116,820,5,"заклинателе Тели-Лариене",
1117,821,1,"воина",
1162,821,2,"воину",
1207,821,3,"воина",
1252,821,4,"воином",
1297,821,5,"воине",
1756,821,6,"воин",
1795,821,7,"воины",
118967,821,8,"воинов",
1118,822,1,"паладина",
1163,822,2,"паладину",
1208,822,3,"паладина",
1253,822,4,"паладином",
1298,822,5,"паладине",
1757,822,6,"паладин",
1796,822,7,"паладины",
118972,822,8,"паладинов",
1119,823,1,"охотника",
1164,823,2,"охотнику",
1209,823,3,"охотника",
1254,823,4,"охотником",
1299,823,5,"охотнике",
1758,823,6,"охотник",
1797,823,7,"охотники",
118968,823,8,"охотников",
1120,824,1,"разбойника",
1165,824,2,"разбойнику",
1210,824,3,"разбойника",
1255,824,4,"разбойником",
1300,824,5,"разбойнике",
1759,824,6,"разбойник",
1798,824,7,"разбойники",
118973,824,8,"разбойников",
1121,825,1,"жреца",
1166,825,2,"жрецу",
1211,825,3,"жреца",
1256,825,4,"жрецом",
1301,825,5,"жреце",
1760,825,6,"жрец",
1799,825,7,"жрецы",
118969,825,8,"жрецов",
1122,826,1,"шамана",
1167,826,2,"шаману",
1212,826,3,"шамана",
1257,826,4,"шаманом",
1302,826,5,"шамане",
1761,826,6,"шаман",
1800,826,7,"шаманы",
118971,826,8,"шаманов",
1123,827,1,"мага",
1168,827,2,"магу",
1213,827,3,"мага",
1258,827,4,"магом",
1303,827,5,"маге",
1762,827,6,"маг",
1801,827,7,"маги",
118966,827,8,"магов",
1124,828,1,"Чернокнижника",
1169,828,2,"Чернокнижнику",
1214,828,3,"Чернокнижника",
1259,828,4,"Чернокнижником",
1304,828,5,"Чернокнижнике",
1763,828,6,"чернокнижник",
1802,828,7,"чернокнижники",
118965,828,8,"чернокнижников",
1125,829,1,"друида",
1170,829,2,"друиду",
1215,829,3,"друида",
1260,829,4,"друидом",
1305,829,5,"друиде",
1764,829,6,"друид",
1803,829,7,"друиды",
118974,829,8,"друидов",
1126,830,1,"воительницы",
1171,830,2,"воительнице",
1216,830,3,"воительницу",
1261,830,4,"воительницей",
1306,830,5,"воительнице",
1765,830,6,"воительница",
1804,830,7,"воительницы",
1127,831,1,"охотницы",
1172,831,2,"охотнице",
1217,831,3,"охотницу",
1262,831,4,"охотницей",
1307,831,5,"охотнице",
1766,831,6,"охотница",
1805,831,7,"охотницы",
129829,831,8,"охотниц",
1128,832,1,"разбойницы",
1173,832,2,"разбойнице",
1218,832,3,"разбойницу",
1263,832,4,"разбойницей",
1308,832,5,"разбойнице",
1767,832,6,"разбойница",
1806,832,7,"разбойницы",
128967,832,8,"разбойниц",
1129,833,1,"жрицы",
1174,833,2,"жрице",
1219,833,3,"жрицу",
1264,833,4,"жрицей",
1309,833,5,"жрице",
1768,833,6,"жрица",
1807,833,7,"жрицы",
129735,833,8,"жриц",
1130,834,1,"шаманки",
1175,834,2,"шаманке",
1220,834,3,"шаманку",
1265,834,4,"шаманкой",
1310,834,5,"шаманке",
1769,834,6,"шаманка",
1808,834,7,"шаманки",
129832,834,8,"шаманок",
1131,835,1,"волшебницы",
1176,835,2,"волшебнице",
1221,835,3,"волшебницу",
1266,835,4,"волшебницей",
1311,835,5,"волшебнице",
1770,835,6,"волшебница",
1809,835,7,"волшебницы",
1132,836,1,"чернокнижницы",
1177,836,2,"чернокнижнице",
1222,836,3,"чернокнижницу",
1267,836,4,"чернокнижницей",
1312,836,5,"чернокнижнице",
1771,836,6,"чернокнижница",
1810,836,7,"чернокнижницы",
129826,836,8,"чернокнижниц",
1133,837,1,"друидессы",
1178,837,2,"друидессе",
1223,837,3,"друидессу",
1268,837,4,"друидессой",
1313,837,5,"друидессе",
1134,838,1,"лесного тролля",
1179,838,2,"лесному троллю",
1224,838,3,"лесного тролля",
1269,838,4,"лесным троллем",
1314,838,5,"лесном тролле",
1772,838,6,"лесной тролль",
1811,838,7,"лесные тролли",
1135,839,1,"человека",
1180,839,2,"человеку",
1225,839,3,"человека",
1270,839,4,"человеком",
1315,839,5,"человеке",
1773,839,6,"человек",
1812,839,7,"люди",
129787,839,8,"людей",
1136,840,1,"орка",
1181,840,2,"орку",
1226,840,3,"орка",
1271,840,4,"орком",
1316,840,5,"орке",
1774,840,6,"орк",
1813,840,7,"орки",
129817,840,8,"орков",
1137,841,1,"дворфа",
1182,841,2,"дворфу",
1227,841,3,"дворфа",
1272,841,4,"дворфом",
1317,841,5,"дворфе",
1775,841,6,"дворф",
1814,841,7,"дворфы",
129796,841,8,"дворфов",
1138,842,1,"ночного эльфа",
1183,842,2,"ночному эльфу",
1228,842,3,"ночного эльфа",
1273,842,4,"ночным эльфом",
1318,842,5,"ночном эльфе",
1776,842,6,"ночной эльф",
1815,842,7,"ночные эльфы",
129790,842,8,"ночных эльфов",
1139,843,1,"нежити",
1184,843,2,"нежити",
1229,843,3,"нежить",
1274,843,4,"нежитью",
1319,843,5,"нежити",
1777,843,6,"нежить",
1816,843,7,"нежить",
129822,843,8,"нежити",
1140,844,1,"таурена",
1185,844,2,"таурену",
1230,844,3,"таурена",
1275,844,4,"тауреном",
1320,844,5,"таурене",
1778,844,6,"таурен",
1817,844,7,"таурены",
129823,844,8,"тауренов",
1141,845,1,"гнома",
1186,845,2,"гному",
1231,845,3,"гнома",
1276,845,4,"гномом",
1321,845,5,"гноме",
1779,845,6,"гном",
1818,845,7,"гномы",
129802,845,8,"гномов",
1142,846,1,"тролля",
1187,846,2,"троллю",
1232,846,3,"тролля",
1277,846,4,"троллем",
1322,846,5,"тролле",
1780,846,6,"тролль",
1819,846,7,"тролли",
129819,846,8,"троллей",
1143,847,1,"гоблина",
1188,847,2,"гоблину",
1233,847,3,"гоблина",
1278,847,4,"гоблином",
1323,847,5,"гоблине",
1781,847,6,"гоблин",
1820,847,7,"гоблины",
1144,848,1,"эльфа крови",
1189,848,2,"эльфу крови",
1234,848,3,"эльфа крови",
1279,848,4,"эльфом крови",
1324,848,5,"эльфе крови",
1782,848,6,"эльф крови",
1821,848,7,"эльфы крови",
129813,848,8,"эльфов крови",
1145,849,1,"дренея",
1190,849,2,"дренею",
1235,849,3,"дренея",
1280,849,4,"дренеем",
1325,849,5,"дренее",
1783,849,6,"дреней",
1822,849,7,"дренеи",
129805,849,8,"дренеев",
1146,850,1,"орка Скверны",
1191,850,2,"орку Скверны",
1236,850,3,"орка Скверны",
1281,850,4,"орком Скверны",
1326,850,5,"орке Скверны",
1784,850,6,"орк Скверны",
1823,850,7,"орки Скверны",
1147,851,1,"наги",
1192,851,2,"наге",
1237,851,3,"нагу",
1282,851,4,"нагой",
1327,851,5,"наге",
1785,851,6,"нага",
1824,851,7,"наги",
1148,852,1,"падшего",
1193,852,2,"падшему",
1238,852,3,"падшего",
1283,852,4,"падшим",
1328,852,5,"падшем",
1786,852,6,"падший",
1825,852,7,"падшие",
1149,853,1,"Скелета",
1194,853,2,"Скелету",
1239,853,3,"Скелета",
1284,853,4,"Скелетом",
1329,853,5,"Скелете",
1787,853,6,"скелет",
1826,853,7,"скелеты",
1150,854,1,"лесной троллихи",
1195,854,2,"лесной троллихе",
1240,854,3,"лесную троллиху",
1285,854,4,"лесной троллихой",
1330,854,5,"лесной троллихе",
1151,855,1,"орчихи",
1196,855,2,"орчихе",
1241,855,3,"орчиху",
1286,855,4,"орчихой",
1331,855,5,"орчихе",
1788,855,6,"орчиха",
1827,855,7,"орчихи",
1152,856,1,"дворфийки",
1197,856,2,"дворфийке",
1242,856,3,"дворфийку",
1287,856,4,"дворфийкой",
1332,856,5,"дворфийке",
1789,856,6,"дворфийка",
1828,856,7,"дворфийки",
129799,856,8,"дворфиек",
1153,857,1,"ночной эльфийки",
1198,857,2,"ночной эльфийке",
1243,857,3,"ночную эльфийку",
1288,857,4,"ночной эльфийкой",
1333,857,5,"ночной эльфийке",
1790,857,6,"ночная эльфийка",
1829,857,7,"ночные эльфийки",
129793,857,8,"ночных эльфиек",
1154,858,1,"тауренки",
1199,858,2,"тауренке",
1244,858,3,"тауренку",
1289,858,4,"тауренкой",
1334,858,5,"тауренке",
1155,859,1,"гномессы",
1200,859,2,"гномессе",
1245,859,3,"гномессу",
1290,859,4,"гномессой",
1335,859,5,"гномессе",
1156,860,1,"троллихи",
1201,860,2,"троллихе",
1246,860,3,"троллиху",
1291,860,4,"троллихой",
1336,860,5,"троллихе",
1157,861,1,"гоблинихи",
1202,861,2,"гоблинихе",
1247,861,3,"гоблиниху",
1292,861,4,"гоблинихой",
1337,861,5,"гоблинихе",
1158,862,1,"эльфийки крови",
1203,862,2,"эльфийке крови",
1248,862,3,"эльфийку крови",
1293,862,4,"эльфийкой крови",
1338,862,5,"эльфийке крови",
1791,862,6,"эльфийка крови",
1830,862,7,"эльфийки крови",
129815,862,8,"эльфиек крови",
1159,863,1,"дренейки",
1204,863,2,"дренейке",
1249,863,3,"дренейку",
1294,863,4,"дренейкой",
1339,863,5,"дренейке",
129809,863,6,"дренейки",
129810,863,7,"дренеек",
1160,864,1,"орчихи Скверны",
1205,864,2,"орчихе Скверны",
1250,864,3,"орчиху Скверны",
1295,864,4,"орчихой Скверны",
1340,864,5,"орчихе Скверны",
1792,864,6,"орчиха Скверны",
1831,864,7,"орчихи Скверны",
1161,865,1,"падшей",
1206,865,2,"падшей",
1251,865,3,"падшую",
1296,865,4,"падшей",
1341,865,5,"падшей",
1793,865,6,"падшая",
1832,865,7,"падшие",
1342,866,6,": сопротивление",
1343,867,6,": атака блокирована",
1344,868,6,": критический урон",
1345,869,6,": удар пришелся вскользь",
1346,870,6,": сокрушительный удар",
1347,871,6,": атака поглощена",
1348,872,6,": атака отражена",
1349,873,6,": сопротивление",
1350,874,6,": атака блокирована",
1351,875,6,": критический урон",
1352,876,6,": удар пришелся вскользь",
1353,877,6,": сокрушительный удар",
1354,878,6,": атака поглощена",
1355,879,6,": атака отражена",
1356,880,6,": прервано",
1357,881,6,": недостаточно ярости",
1358,882,6,": недостаточно энергии",
1359,883,6,": вне зоны действия",
1360,884,6,"Конфигурация общего чата",
1361,885,6,"Конфигурация журнала боя",
1362,886,6,"Ваш навык взлома",
91347,886,7,"Ваш навык взлома должен",
1363,887,1,"красного",
1369,887,6,"красные",
1375,887,7,"красных",
1364,888,1,"синего",
1370,888,6,"синие",
1376,888,7,"синих",
1365,889,1,"желтого",
1371,889,6,"желтые",
1377,889,7,"желтых",
1366,890,1,"пурпурного",
1372,890,6,"пурпурные",
1378,890,7,"пурпурных",
1367,891,1,"зеленого",
1373,891,6,"зеленые",
1379,891,7,"зеленых",
1368,892,1,"оранжевого",
1374,892,6,"оранжевые",
1380,892,7,"оранжевых",
1381,893,6,"Ваш навык владения двуручным дробящим оружием",
91351,893,7,"Ваш навык владения двуручным дробящим оружием должен",
1382,894,6,"Ваш навык владения дробящим оружием",
91355,894,7,"Ваш навык владения дробящим оружием должен",
1383,895,1,"Джестениса Солнцесвета",
1384,895,2,"Джестенису Солнцесвету",
1385,895,3,"Джестениса Солнцесвета",
1386,895,4,"Джестенисом Солнцесветом",
1387,895,5,"Джестенисе Солнцесвете",
1388,896,1,"Джулии Солнцесвет",
1389,896,2,"Джулии Солнцесвет",
1390,896,3,"Джулию Солнцесвет",
1391,896,4,"Джулией Солнцесвет",
1392,896,5,"Джулии Солнцесвет",
1393,897,1,"заклинателя Тель’Лариена",
1394,897,2,"заклинателю Тель’Лариену",
1395,897,3,"заклинателя Тель’Лариена",
1396,897,4,"заклинателем Тель’Лариеном",
1397,897,5,"заклинателе Тель’Лариене",
1398,898,1,"лазутчика Кариэла",
1399,898,2,"лазутчику Кариэлу",
1400,898,3,"лазутчика Кариэла",
1401,898,4,"лазутчиком Кариэлом",
1402,898,5,"лазутчике Кариэле",
1403,899,1,"магистрессы Эроны",
1404,899,2,"магистрессе Эроне",
1405,899,3,"магистрессу Эрону",
1406,899,4,"магистрессой Эроной",
1407,899,5,"магистрессе Эроне",
1408,900,1,"Марсиллы Утренней Звезды",
1409,900,2,"Марсилле Утренней Звезде",
1410,900,3,"Марсиллу Утреннюю Звезду",
1411,900,4,"Марсиллой Утренней Звездой",
1412,900,5,"Марсилле Утренней Звезде",
1413,901,1,"оскверненного духа тайной магии",
1414,901,2,"оскверненному духу тайной магии",
1415,901,3,"оскверненного духа тайной магии",
1416,901,4,"оскверненным духом тайной магии",
1417,901,5,"оскверненном духе тайной магии",
1418,902,1,"Раэлис Утренней Звезды",
1419,902,2,"Раэлис Утренней Звезде",
1420,902,3,"Раэлис Утреннюю Звезду",
1421,902,4,"Раэлис Утренней Звездой",
1422,902,5,"Раэлис Утренней Звезде",
1423,903,1,"Сестры Арины",
1424,903,2,"Сестре Арине",
1425,903,3,"Сестру Арину",
1426,903,4,"Сестрой Ариной",
1427,903,5,"Сестре Арине",
1428,904,1,"следопыта Саллины",
1429,904,2,"следопыту Саллине",
1430,904,3,"следопыта Саллину",
1431,904,4,"следопытом Саллиной",
1432,904,5,"следопыте Саллине",
1433,905,1,"Стража острова Солнечного Скитальца",
1434,905,2,"Стражу острова Солнечного Скитальца",
1435,905,3,"Стража острова Солнечного Скитальца",
1436,905,4,"Стражем острова Солнечного Скитальца",
1437,905,5,"Страже острова Солнечного Скитальца",
1438,906,1,"Шеры Солнечного Крыла",
1439,906,2,"Шере Солнечному Крылу",
1440,906,3,"Шеру Солнечное Крыло",
1441,906,4,"Шерой Солнечным Крылом",
1442,906,5,"Шере Солнечном Крыле",
1443,907,1,"Ясмин Тель’лариен",
1444,907,2,"Ясмин Тель’лариен",
1445,907,3,"Ясмин Тель’лариен",
1446,907,4,"Ясмин Тель’лариен",
1447,907,5,"Ясмин Тель’лариен",
1448,908,6,"- блокировано",
1449,909,6,": нет цели",
1450,910,6,": еще не готово",
1451,911,1,"воина",
1496,911,2,"воину",
1541,911,3,"воина",
1586,911,4,"воином",
1631,911,5,"воине",
1452,912,1,"паладина",
1497,912,2,"паладину",
1542,912,3,"паладина",
1587,912,4,"паладином",
1632,912,5,"паладине",
1453,913,1,"охотника",
1498,913,2,"охотнику",
1543,913,3,"охотника",
1588,913,4,"охотником",
1633,913,5,"охотнике",
1454,914,1,"разбойника",
1499,914,2,"разбойнику",
1544,914,3,"разбойника",
1589,914,4,"разбойником",
1634,914,5,"разбойнике",
1455,915,1,"жреца",
1500,915,2,"жрецу",
1545,915,3,"жреца",
1590,915,4,"жрецом",
1635,915,5,"жреце",
1456,916,1,"шамана",
1501,916,2,"шаману",
1546,916,3,"шамана",
1591,916,4,"шаманом",
1636,916,5,"шамане",
1457,917,1,"мага",
1502,917,2,"магу",
1547,917,3,"мага",
1592,917,4,"магом",
1637,917,5,"маге",
1458,918,1,"чернокнижника",
1503,918,2,"чернокнижнику",
1548,918,3,"чернокнижника",
1593,918,4,"чернокнижником",
1638,918,5,"чернокнижнике",
1459,919,1,"друида",
1504,919,2,"друиду",
1549,919,3,"друида",
1594,919,4,"друидом",
1639,919,5,"друиде",
1460,920,1,"воительницы",
1505,920,2,"воительнице",
1550,920,3,"воительницу",
1595,920,4,"воительницей",
1640,920,5,"воительнице",
1461,921,1,"охотницы",
1506,921,2,"охотнице",
1551,921,3,"охотницу",
1596,921,4,"охотницей",
1641,921,5,"охотнице",
129830,921,8,"охотниц",
1462,922,1,"разбойницы",
1507,922,2,"разбойнице",
1552,922,3,"разбойницу",
1597,922,4,"разбойницей",
1642,922,5,"разбойнице",
129827,922,8,"разбойниц",
