long,long,long,long,long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,long,long,long,
111,60,17,0,0,0,0,0,0,,,"Nombre total de morts",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
123,73,30,122,3,3,529,3,529,,,"Attaquer 3 bases dans une même bataille pour le bassin d'Arathi.",,,,,,,,,,,,,,0xFF01FE,10,0,0,0,1,
140,105,1,489,0,0,0,0,0,,,"Victoires dans le goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
147,112,26,1,0,0,0,0,0,,,"Morts par noyade",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
148,113,26,0,0,0,0,0,0,,,"Morts de fatigue",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
149,114,26,2,0,0,0,0,0,,,"Morts des suites d'une chute",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
150,115,26,5,0,0,0,0,0,,,"Morts par le feu ou la lave",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
162,197,13,0,0,0,0,0,0,,,"Dégâts totaux infligés",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
164,281,7,171,0,0,0,0,0,,,"",,,,,,,,,,,,,,0xFF01FF,0,0,0,0,1,
166,154,1,529,1,0,0,0,0,,,"Victoire dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
167,16,7,162,400,0,0,0,0,,,"400 en compétence Mains nues",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
168,121,40,185,2,0,0,0,0,,,"Devenir un compagnon cuisinier",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
169,321,18,5,0,0,0,0,0,,,"Instances à 5",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
176,155,1,529,100,0,0,0,0,,,"100 victoires dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
177,166,1,489,1,0,0,0,0,,,"Victoire dans le goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
189,477,0,23953,1,0,0,0,0,,,"Prince Keleseth",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
195,478,0,26731,1,0,0,0,0,,,"Grand magus Telestra",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
199,482,0,26630,1,0,0,0,0,,,"Trollétripe",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
203,487,0,27654,1,0,0,0,0,,,"Drakos l'Interrogateur",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
209,488,0,26693,1,0,0,0,0,,,"Skadi le Brutal",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
211,479,0,26529,1,0,0,0,0,,,"Grancrochet",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
215,485,0,27975,1,0,0,0,0,,,"Damoiselle de peine",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
218,486,0,28586,1,0,0,0,0,,,"Général Bjarngrim",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
221,167,1,489,100,0,0,0,0,,,"100 victoires dans le goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
222,208,1,566,1,0,0,0,0,,,"Victoire dans l'Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
223,209,1,566,100,0,0,0,0,,,"100 victoires dans l'Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
224,218,1,30,1,0,0,0,0,,,"Victoire dans la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
225,219,1,30,100,0,0,0,0,,,"100 victoires dans la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
226,230,8,1167,0,0,0,0,0,,,"Maîtrise de la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
230,503,9,0,50,0,0,0,0,,,"Achever 50 quêtes",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
231,504,9,0,100,0,0,0,0,,,"Achever 100 quêtes",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
232,505,9,0,250,0,0,0,0,,,"Achever 250 quêtes",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
233,506,9,0,500,0,0,0,0,,,"Achever 500 quêtes",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
234,507,9,0,1000,0,0,0,0,,,"Achever 1 000 quêtes",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
236,508,9,0,1500,0,0,0,0,,,"Achever 1 500 quêtes",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
285,547,27,12499,1,0,0,0,0,,,"Retour à Angrathar - Alliance",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
306,397,37,0,1,0,0,0,0,,,"Gagner un match d'arène du championnat",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
307,398,37,0,100,0,0,0,0,,,"Gagner 100 matchs d'arène du championnat",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
308,158,30,122,50,0,0,0,0,,,"Prendre 50 drapeaux au bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
318,429,36,17182,1,0,0,0,0,,,"Sulfuras, Main de Ragnaros",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
325,426,36,32838,1,0,0,0,0,,,"Glaive de guerre d'Azzinoth (main gauche)",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
328,416,27,8743,1,0,0,0,0,,,"Seigneur scarabée",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
329,399,39,2,1550,0,0,0,0,,,"Cote de 1550",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
330,402,39,3,1550,0,0,0,0,,,"Cote de 1550",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
331,406,39,5,1550,0,0,0,0,,,"Cote de 1550",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
332,400,39,2,1750,0,0,0,0,,,"Cote de 1750",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
333,403,39,3,1750,0,0,0,0,,,"Cote de 1750",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
334,407,39,5,1750,0,0,0,0,,,"Cote de 1750",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
335,401,39,2,2000,0,0,0,0,,,"Cote de 2000",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
336,405,39,3,2000,0,0,0,0,,,"Cote de 2000",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
337,404,39,5,2000,0,0,0,0,,,"Cote de 2000",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
347,561,27,11892,1,0,0,0,0,,,"Assassinat de Harold Lane",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
349,411,36,20371,1,0,0,0,0,,,"Oeuf de murloc bleu",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
350,412,36,33079,1,0,0,0,0,,,"Costume de murloc",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
351,562,0,15956,1,0,0,0,0,,,"Anub'Rekhan",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
357,564,0,16028,1,0,0,0,0,,,"Le Recousu",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
365,566,0,15954,1,0,0,0,0,,,"Noth le Porte-peste",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
372,568,0,16061,1,0,0,0,0,,,"Instructeur Razuvious",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
379,572,0,15989,1,0,0,0,0,,,"Saphiron",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
381,574,0,15990,1,0,0,0,0,,,"Kel'Thuzad",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
382,575,0,15990,1,0,0,0,0,,,"Kel'Thuzad",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
383,576,8,562,0,0,0,0,0,,,"Le quartier des Arachnides",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
389,577,8,563,0,0,0,0,0,,,"Le quartier des Arachnides",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
406,306,27,8193,1,0,0,0,0,,,"Gagner le concours de pêche de Baie-du-Butin",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
409,255,0,23682,1,0,0,0,0,,,"Cavalier sans tête",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
414,157,30,123,50,0,0,0,0,,,"Défendre 50 bases",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
416,199,30,42,1,0,0,0,0,,,"Capturer le drapeau",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
417,200,30,44,50,0,0,0,0,,,"Ramener le drapeau 50 fois",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
418,212,30,183,1,0,0,0,0,,,"Capturer le drapeau",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
419,221,30,63,50,0,0,0,0,,,"Prendre 50 cimetières",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
420,222,30,64,50,0,0,0,0,,,"50 tours défendues",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
421,582,30,63,1,3,30,3,30,,,"Attaquer un cimetière",,,,,,,,,,,,,,0xFF01FE,12,0,0,0,1,
426,583,30,122,2,3,529,3,529,,,"Attaquer 2 bases",,,,,,,,,,,,,,0xFF01FE,12,0,0,0,1,
431,584,31,3421,5,3,529,3,529,,,"Tuer 5 personnages dans la forge",,,,,,,,,,,,,,0xFF01FE,12,0,0,0,1,
436,393,30,64,0,0,0,0,0,,,"Tours défendues dans la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
437,394,30,61,0,0,0,0,0,,,"Tours capturées dans la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
438,585,30,183,0,0,0,0,0,,,"Captures de drapeaux dans l'Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
439,395,30,42,0,0,0,0,0,,,"Drapeaux capturés dans le goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
440,586,30,44,0,0,0,0,0,,,"Drapeaux protégés dans le goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
441,587,31,3870,5,3,566,3,566,,,"Tuer 5 personnages à la Tour des elfes de sang",,,,,,,,,,,,,,0xFF01FE,12,0,0,0,1,
447,595,39,3,0,0,0,0,0,,,"Plus haute cote personnelle en équipe de 3",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
448,374,38,2,0,0,0,0,0,,,"",,,,,,,,,,,,,,0xFF01FF,0,0,0,0,1,
449,590,38,3,0,0,0,0,0,,,"Plus haute cote d'équipe de 3",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
450,589,38,5,0,0,0,0,0,,,"Plus haute cote d'équipe de 5",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
451,370,39,2,0,0,0,0,0,,,"Plus haute cote personnelle en équipe de 2",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
452,596,39,5,0,0,0,0,0,,,"Plus haute cote personnelle en équipe de 5",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
455,594,20,448,0,0,0,0,0,,,"Morts par Lardeur",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
456,58,20,11946,0,0,0,0,0,,,"Tué par Drek'Thar",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
472,605,36,21100,1,0,0,0,0,,,"Recevoir une pièce des ancêtres",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
473,606,36,21100,5,0,0,0,0,,,"Recevoir 5 pièces des ancêtres",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
474,607,36,21100,10,0,0,0,0,,,"Recevoir 10 pièces des ancêtres",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
475,608,36,21100,25,0,0,0,0,,,"Recevoir 25 pièces des ancêtres",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
476,609,36,21100,50,0,0,0,0,,,"Recevoir 50 pièces des ancêtres",,,,,,,,,,,,,,0xFF01FE,1,0,0,0,1,
477,263,0,25740,1,0,0,0,0,,,"Ahune",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
478,273,27,8762,1,0,0,0,0,,,"Metzen sauvé",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
480,610,0,4949,1,0,0,0,0,,,"Thrall",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
481,611,0,3057,1,0,0,0,0,,,"Cairne Sabot-de-sang",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
482,612,0,10181,1,0,0,0,0,,,"Dame Sylvanas Coursevent",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
483,613,0,16802,1,0,0,0,0,,,"Lor'themar Theron",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
484,614,8,610,0,0,0,0,0,,,"Mort au chef de guerre !",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
489,616,0,2784,1,0,0,0,0,,,"Roi Magni Barbe-de-bronze",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
490,617,0,7999,1,0,0,0,0,,,"Grande prêtresse Tyrande Murmevent",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
491,618,0,17468,1,0,0,0,0,,,"Prophète Velen",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
492,619,8,615,0,0,0,0,0,,,"La prise de Hurlevent",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
496,626,36,21541,1,0,0,0,0,,,"Habit de fête noir",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
502,627,43,117,1,0,0,0,0,,,"Passe des Frigères",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
520,622,0,28859,1,0,0,0,0,,,"Malygos",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
521,623,0,28859,1,0,0,0,0,,,"Malygos",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
523,625,0,28860,1,0,0,0,0,,,"Sartharion le Gardien d'Onyx",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
524,628,0,639,1,0,0,0,0,,,"Edwin VanCleef",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
525,629,0,11520,1,0,0,0,0,,,"Taragaman l'Affameur",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
526,630,0,3654,1,0,0,0,0,,,"Mutanus le Dévoreur",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
527,631,0,4275,1,0,0,0,0,,,"Archimage Arugal",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
528,632,0,4829,1,0,0,0,0,,,"Aku'mai",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
529,633,0,1716,1,0,0,0,0,,,"Bazil Thredd",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
530,634,0,7800,1,0,0,0,0,,,"Mekgénieur Thermojoncteur",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
531,635,0,4421,1,0,0,0,0,,,"Charlga Trancheflanc",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
532,636,0,7358,1,0,0,0,0,,,"Amnennar le Porte-froid",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
537,637,0,4543,1,0,0,0,0,,,"Mage de sang Thalnos",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
538,638,0,2748,1,0,0,0,0,,,"Archaedas",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
539,639,0,7267,1,0,0,0,0,,,"Chef Ukorz Scalpessable",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
540,640,0,12201,1,0,0,0,0,,,"Princesse Theradras",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
541,641,0,5709,1,0,0,0,0,,,"Ombre d'Eranikus",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
542,642,0,9019,1,0,0,0,0,,,"Empereur Dagran Thaurissan",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
544,643,0,9568,1,0,0,0,0,,,"Seigneur Wyrmthalak",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
545,644,0,11492,1,0,0,0,0,,,"Alzzin le Modeleur",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
548,645,0,10508,1,0,0,0,0,,,"Ras Murmegivre",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
550,646,0,10813,1,0,0,0,0,,,"Balnazzar",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
552,647,0,17308,1,0,0,0,0,,,"Omor l'Intouché",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
555,648,0,17377,1,0,0,0,0,,,"Keli'dan le Briseur",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
556,649,0,17942,1,0,0,0,0,,,"Bourbierreux",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
557,650,0,17882,1,0,0,0,0,,,"La Traqueuse noire",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
558,651,0,18344,1,0,0,0,0,,,"Prince-nexus Shaffar",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
559,652,0,18096,1,0,0,0,0,,,"Chasseur d'époques",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
560,653,0,18473,1,0,0,0,0,,,"Roi-serre Ikiss",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
561,654,0,18708,1,0,0,0,0,,,"Marmon",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
562,655,0,17881,1,0,0,0,0,,,"Aeonus",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
563,656,0,17798,1,0,0,0,0,,,"Seigneur de guerre Kalithresh",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
564,657,0,16808,1,0,0,0,0,,,"Chef de guerre Kargath Lamepoing",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
565,658,0,19220,1,0,0,0,0,,,"Pathaleon le Calculateur",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
566,659,0,17977,1,0,0,0,0,,,"Brise-dimension",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
567,660,0,20912,1,0,0,0,0,,,"Messager Cieuriss",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
568,661,0,24664,1,0,0,0,0,,,"Kael'thas Haut-soleil",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
569,662,36,13584,1,0,0,0,0,,,"Pierre de Diablo",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
570,663,36,13583,1,0,0,0,0,,,"Collier de panda",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
571,664,36,13582,1,0,0,0,0,,,"Laisse de zergling",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
572,665,36,25535,1,0,0,0,0,,,"Collier de dragonnet du Néant",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
573,666,0,18373,1,0,0,0,0,,,"Exarque Maladaar",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
592,683,36,39286,1,0,0,0,0,,,"Collier de Frigy",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
594,685,0,11583,1,0,0,0,0,,,"Nefarian",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
595,686,0,11502,1,0,0,0,0,,,"Ragnaros",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
596,687,0,15727,1,0,0,0,0,,,"C'Thun",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
597,688,0,14834,1,0,0,0,0,,,"Hakkar",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
598,689,0,15339,1,0,0,0,0,,,"Ossirian l'Intouché",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
599,690,0,15690,1,0,0,0,0,,,"Prince Malchezaar",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
600,691,0,23863,1,0,0,0,0,,,"Zul'jin",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
601,692,0,19044,1,0,0,0,0,,,"Gruul le Tue-dragon",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
602,693,0,17257,1,0,0,0,0,,,"Magtheridon",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
603,694,0,21212,1,0,0,0,0,,,"Dame Vashj",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
604,695,0,17968,1,0,0,0,0,,,"Archimonde",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
605,696,0,19622,1,0,0,0,0,,,"Kael'thas Haut-soleil",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
606,697,0,22917,1,0,0,0,0,,,"Illidan Hurlorage",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
607,698,0,25315,1,0,0,0,0,,,"Kil'jaeden",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
608,699,32,562,1,0,0,0,0,,,"Arène des Tranchantes",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
611,165,1,529,1,3,529,3,529,,,"Grand chelem au bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
612,122,40,185,3,0,0,0,0,,,"Devenir un expert cuisinier",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
613,123,40,185,4,0,0,0,0,,,"Devenir un artisan cuisinier",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
614,124,40,185,5,0,0,0,0,,,"Devenir un maître cuisinier",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
615,125,40,185,6,0,0,0,0,,,"Devenir un grand maître cuisinier",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
616,116,40,171,2,0,0,0,0,,,"Alchimie",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
641,705,7,44,400,0,0,0,0,,,"Haches",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
645,714,8,708,0,0,0,0,0,,,"Héros du clan Loup-de-givre",,,,,,,,,,,,,,0xFF01FE,0,0,0,0,1,
707,433,44,14,0,0,0,0,0,,,"Connétable",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
708,434,44,13,0,0,0,0,0,,,"Grand maréchal",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
709,473,44,12,0,0,0,0,0,,,"Maréchal",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
710,435,44,11,0,0,0,0,0,,,"Commandant",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
711,436,44,10,0,0,0,0,0,,,"Lieutenant-commandant",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
712,437,44,9,0,0,0,0,0,,,"Chevalier-champion",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
713,438,44,8,0,0,0,0,0,,,"Chevalier-capitaine",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
714,472,44,7,0,0,0,0,0,,,"Chevalier-lieutenant",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
721,439,44,6,0,0,0,0,0,,,"Chevalier",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
722,440,44,5,0,0,0,0,0,,,"Sergent-major",,,,,,,,,,,,,,0xFF01FE,2,0,0,0,1,
