long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,flags,long,flags,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
629,-1,-1,0,,,"Gouffre de Ragefeu",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Taragaman l'Affameur.",,,,,,,,,,,,,,0xFF01FE,14808,0xA,1,0x0,1983,,,"",,,,,,,,,,,,,,0xFF01EC,1,0,
647,-1,-1,0,,,"Remparts des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Omor l'Intouché.",,,,,,,,,,,,,,0xFF01FE,14805,0xA,1,0x0,3680,,,"",,,,,,,,,,,,,,0xFF01EE,1,0,
728,-1,-1,0,,,"Exploration de Durotar",,,,,,,,,,,,,,0xFF01FE,,,"Explorer Durotar et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14778,0xA,1,0x0,3532,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
763,0,-1,0,,,"Le croisé ardent",,,,,,,,,,,,,,0xFF01FE,,,"Être exalté auprès de toutes les factions relatives aux donjons de The Burning Crusade.",,,,,,,,,,,,,,0xFF01FE,14865,0x14,1,0x0,2365,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
776,-1,-1,0,,,"Exploration de la forêt d'Elwynn",,,,,,,,,,,,,,0xFF01FE,,,"Explorer la forêt d'Elwynn et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14777,0xA,1,0x0,3536,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
796,-1,-1,0,,,"Résurrections par des prêtres",,,,,,,,,,,,,,0xFF01FE,,,"Résurrections par des prêtres",,,,,,,,,,,,,,0xFF01FE,127,0x0,1,0x9,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
837,-1,-1,0,,,"Matchs d'arènes gagnés",,,,,,,,,,,,,,0xFF01FE,,,"Matchs d'arènes gagnés",,,,,,,,,,,,,,0xFF01FE,152,0x0,1,0x9,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
839,-1,-1,0,,,"Participations à des champs de bataille",,,,,,,,,,,,,,0xFF01FE,,,"Participations à des champs de bataille",,,,,,,,,,,,,,0xFF01FE,153,0x0,1,0x9,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
862,-1,-1,0,,,"Exploration de la péninsule des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,,,"Explorer la péninsule des Flammes infernales et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14779,0xA,1,0x0,3554,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
913,-1,-1,0,,,"Honorer ses Anciens",,,,,,,,,,,,,,0xFF01FE,,,"Accomplir les hauts faits de la fête lunaire listés ci-dessous.",,,,,,,,,,,,,,0xFF01FE,155,0x1E,1,0x0,3698,,,"Titre : ancien",,,,,,,,,,,,,,0xFF01FE,0,0,
927,-1,-1,0,,,"Objets épiques équipés dans des emplacements d'objets",,,,,,,,,,,,,,0xFF01FE,,,"Objets épiques équipés dans des emplacements d'objets",,,,,,,,,,,,,,0xFF01FE,191,0x0,1,0x21,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
932,-1,-1,0,,,"Nombre d'entrées dans des donjons à 5",,,,,,,,,,,,,,0xFF01FE,,,"Nombre d'entrées dans des donjons à 5",,,,,,,,,,,,,,0xFF01FE,14807,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
939,-1,-1,0,,,"Paradis perdu",,,,,,,,,,,,,,0xFF01FE,,,"Achever toutes les quêtes d'Hemet Nesingwary en Outreterre, y compris « Le plus gros des gibiers ».",,,,,,,,,,,,,,0xFF01FE,14862,0xA,1,0x0,2165,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
940,-1,-1,0,,,"Les vertes collines de Strangleronce",,,,,,,,,,,,,,0xFF01FE,,,"Achever toutes les quêtes d'Hemet Nesingwary dans la vallée de Strangleronce, y compris « Les vertes collines de Strangleronce » et « La chasse au gros gibier ».",,,,,,,,,,,,,,0xFF01FE,14861,0xA,1,0x0,916,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
946,-1,-1,0,,,"L'Aube d'argent",,,,,,,,,,,,,,0xFF01FE,,,"Être exalté auprès de l'Aube d'argent.",,,,,,,,,,,,,,0xFF01FE,14864,0xF,1,0x0,1608,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
947,-1,-1,0,,,"La Croisade d'argent",,,,,,,,,,,,,,0xFF01FE,,,"Être exalté auprès de la Croisade d'argent.",,,,,,,,,,,,,,0xFF01FE,14866,0xF,1,0x0,1672,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
972,-1,-1,0,,,"Un bonbon ou une blague !",,,,,,,,,,,,,,0xFF01FE,,,"Piocher une poignée de bonbons dans l'un des seaux de bonbons se trouvant dans les auberges.",,,,,,,,,,,,,,0xFF01FE,158,0xA,1,0x0,2652,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1042,-1,-1,0,,,"Nombre de câlins",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de câlins",,,,,,,,,,,,,,0xFF01FE,131,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1057,-1,-1,0,,,"Morts en 2c2",,,,,,,,,,,,,,0xFF01FE,,,"Morts en 2c2",,,,,,,,,,,,,,0xFF01FE,123,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1068,-1,542,0,,,"Morts de Keli'dan le Briseur (la Fournaise du sang)",,,,,,,,,,,,,,0xFF01FE,,,"Morts de Keli'dan le Briseur (la Fournaise du sang)",,,,,,,,,,,,,,0xFF01FE,14822,0x5,1,0x1,541,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1091,-1,36,0,,,"Morts d'Edwin VanCleef (Les Mortemines)",,,,,,,,,,,,,,0xFF01FE,,,"Morts d'Edwin VanCleef (Les Mortemines)",,,,,,,,,,,,,,0xFF01FE,14821,0x5,1,0x1,2692,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1149,-1,-1,0,,,"Respécialisations de talents",,,,,,,,,,,,,,0xFF01FE,,,"Respécialisations de talents",,,,,,,,,,,,,,0xFF01FE,130,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1184,1,-1,0,,,"Bière étrange",,,,,,,,,,,,,,0xFF01FE,,,"Boire les bières de la fête des Brasseurs listées ci-dessous.",,,,,,,,,,,,,,0xFF01FE,162,0xA,1,0x0,1780,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1197,-1,-1,0,,,"Nombre total de victimes",,,,,,,,,,,,,,0xFF01FE,,,"Nombre total de victimes",,,,,,,,,,,,,,0xFF01FE,128,0x0,1,0x9,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1199,-1,-1,0,,,"Métiers appris",,,,,,,,,,,,,,0xFF01FE,,,"Métiers appris",,,,,,,,,,,,,,0xFF01FE,132,0x0,1,0x21,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
1242,-1,574,0,,,"Morts d'Ingvar le Pilleur (Donjon d'Utgarde)",,,,,,,,,,,,,,0xFF01FE,,,"Morts d'Ingvar le Pilleur (Donjon d'Utgarde)",,,,,,,,,,,,,,0xFF01FE,14823,0x5,1,0x1,2813,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1264,-1,-1,0,,,"Exploration de la toundra Boréenne",,,,,,,,,,,,,,0xFF01FE,,,"Explorer la toundra Boréenne et révéler les zones voilées de la carte du monde.",,,,,,,,,,,,,,0xFF01FE,14780,0xA,1,0x0,3330,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1283,-1,-1,0,,,"Maître des vieux donjons",,,,,,,,,,,,,,0xFF01FE,,,"Accomplir les hauts faits dans les donjons classiques listés ci-dessous.",,,,,,,,,,,,,,0xFF01FE,168,0xA,1,0x0,1949,,,"",,,,,,,,,,,,,,0x7DFF01EE,0,0,
1308,-1,607,0,,,"Victoire au rivage des Anciens",,,,,,,,,,,,,,0xFF01FE,,,"Gagner la bataille pour le rivage des Anciens.",,,,,,,,,,,,,,0xFF01FE,14881,0xA,1,0x0,3402,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
1487,-1,-1,0,,,"Nombre total de coups fatals",,,,,,,,,,,,,,0xFF01FE,,,"Nombre total de coups fatals",,,,,,,,,,,,,,0xFF01FE,137,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
1501,-1,-1,0,,,"Nombre total de morts causées par d'autres personnages",,,,,,,,,,,,,,0xFF01FE,,,"Nombre total de morts causées par d'autres personnages",,,,,,,,,,,,,,0xFF01FE,21,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
1524,-1,-1,0,,,"Compétence en cuisine",,,,,,,,,,,,,,0xFF01FE,,,"Compétence en cuisine",,,,,,,,,,,,,,0xFF01FE,178,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
1527,-1,-1,0,,,"Plus haut score de compétence en alchimie",,,,,,,,,,,,,,0xFF01FE,,,"Plus haut score de compétence en alchimie",,,,,,,,,,,,,,0xFF01FE,173,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
1701,-1,-1,0,,,"Sois à moi !",,,,,,,,,,,,,,0xFF01FE,,,"Manger les huit bonbons en forme de cœur du « sachet de bonbons » listés ci-dessous.",,,,,,,,,,,,,,0xFF01FE,187,0xA,1,0x0,3196,,,"",,,,,,,,,,,,,,0x7AFF01EC,0,0,
1717,-1,571,0,,,"Victoire à Joug-d'hiver",,,,,,,,,,,,,,0xFF01FE,,,"Gagner la bataille pour Joug-d'hiver.",,,,,,,,,,,,,,0xFF01FE,14901,0xA,1,0x0,187,,,"",,,,,,,,,,,,,,0x7EFF01EC,0,0,
1791,-1,-1,0,,,"Maman, j'ai raté la pierre",,,,,,,,,,,,,,0xFF01FE,,,"Utiliser votre pierre de foyer alors que votre orphelin est près de vous.",,,,,,,,,,,,,,0xFF01FE,163,0xA,1,0x0,776,,,"",,,,,,,,,,,,,,0x7BFF01EC,0,0,
1876,-1,615,0,,,"Vaincre le vol draconique noir (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre Sartharion le Gardien d'Onyx en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,14922,0xA,1,0x0,3254,,,"",,,,,,,,,,,,,,0x7EFF01EC,0,0,
2676,-1,-1,0,,,"J'en ai un !",,,,,,,,,,,,,,0xFF01FE,,,"Trouvez un œuf vivement coloré.",,,,,,,,,,,,,,0xFF01FE,159,0xA,1,0x0,3202,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
2756,-1,-1,0,,,"L'aspiration à l'Argent",,,,,,,,,,,,,,0xFF01FE,,,"S'entraîner pour concourir au tournoi d'Argent en devenant un aspirant pour la faction de votre race.",,,,,,,,,,,,,,0xFF01FE,14941,0xA,1,0x0,3805,,,"",,,,,,,,,,,,,,0x7DFF01EC,1,0,
2856,-1,603,0,,,"Morts du léviathan des flammes (Ulduar à 10)",,,,,,,,,,,,,,0xFF01FE,,,"Morts du léviathan des flammes (Ulduar à 10)",,,,,,,,,,,,,,0xFF01FE,14963,0xA,1,0x1,1700,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
2886,-1,603,0,,,"Le siège d'Ulduar (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss dans la zone de siège d'Ulduar en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,14961,0xA,1,0x0,3844,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
2887,-1,603,0,,,"Le siège d'Ulduar (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les boss dans la zone de siège d'Ulduar en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,14962,0xA,1,0x0,3844,,,"",,,,,,,,,,,,,,0x7DFF01EC,0,0,
3579,-1,-1,0,,,"Bataille de nourriture !",,,,,,,,,,,,,,0xFF01FE,,,"Jetez de la nourriture au visage d'un convive installé autour de la table des Bienfaits.",,,,,,,,,,,,,,0xFF01FE,14981,0xA,1,0x0,456,,,"",,,,,,,,,,,,,,0xFFF7EE,1,0,
3776,-1,628,0,,,"Victoire à l'île des Conquérants",,,,,,,,,,,,,,0xFF01FE,,,"Gagner la bataille pour l'île des Conquérants",,,,,,,,,,,,,,0xFF01FE,15003,0xA,1,0x0,4002,,,"",,,,,,,,,,,,,,0xFF1BFE,0,0,
3916,-1,-1,0,,,"L'appel de la Croisade (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre tous les boss de l'épreuve du croisé en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,15002,0xA,1,0x0,3744,,,"",,,,,,,,,,,,,,0x8FFA9FC,0,0,
3917,-1,-1,0,,,"L'appel de la Croisade (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre tous les boss de l'épreuve du croisé en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,15001,0xA,1,0x0,3744,,,"",,,,,,,,,,,,,,0x8FFA9EC,0,0,
4018,-1,-1,0,,,"Victoires sur le champion chasseur (L'épreuve du champion)",,,,,,,,,,,,,,0xFF01FE,,,"Victoires sur le champion chasseur (L'épreuve du champion)",,,,,,,,,,,,,,0xFF01FE,15021,0x0,1,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
4531,-1,631,0,,,"La prise de la citadelle (10 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les quatre premiers boss de la citadelle de la Couronne de glace en mode 10 joueurs.",,,,,,,,,,,,,,0xFF01FE,15041,0xA,1,0x0,4167,,,"",,,,,,,,,,,,,,0xFF01EC,0,0,
4604,-1,631,0,,,"La prise de la citadelle (25 joueurs)",,,,,,,,,,,,,,0xFF01FE,,,"Vaincre les quatre premiers boss de la citadelle de la Couronne de glace en mode 25 joueurs.",,,,,,,,,,,,,,0xFF01FE,15042,0xA,1,0x0,4167,,,"",,,,,,,,,,,,,,0xFF01FC,0,0,
4713,-1,-1,0,,,"Morts de Bronjahm (Forge des âmes)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,15062,0x0,1,0x5,1,,,"",,,,,,,,,,,,,,0xFF01FC,0,0,
7,-1,-1,6,,,"Niveau 20",,,,,,,,,,,,,,0xFF01FE,,,"Atteindre le niveau 20.",,,,,,,,,,,,,,0xFF01FE,92,0xA,2,0x4,3269,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
43,-1,-1,0,,,"Exploration de Kalimdor",,,,,,,,,,,,,,0xFF01FE,,,"Explorer les régions de Kalimdor.",,,,,,,,,,,,,,0xFF01FE,97,0x19,2,0x0,3491,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
59,-1,529,0,,,"Morts dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,,,"Morts dans le bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,124,0x0,2,0x1,1,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
95,-1,-1,0,,,"Nombre moyen de quêtes achevées par jour",,,,,,,,,,,,,,0xFF01FE,,,"Nombre moyen de quêtes achevées par jour",,,,,,,,,,,,,,0xFF01FE,133,0x0,2,0x49,0,,,"",,,,,,,,,,,,,,0xFF01EE,0,98,
122,-1,-1,121,,,"Expert cuisinier",,,,,,,,,,,,,,0xFF01FE,,,"Devenir un expert cuisinier.",,,,,,,,,,,,,,0xFF01FE,170,0xA,2,0x0,1467,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
127,-1,-1,126,,,"Expert pêcheur",,,,,,,,,,,,,,0xFF01FE,,,"Devenir un expert pêcheur.",,,,,,,,,,,,,,0xFF01FE,171,0xA,2,0x0,580,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
132,-1,-1,131,,,"Expert secouriste",,,,,,,,,,,,,,0xFF01FE,,,"Devenir expert secouriste.",,,,,,,,,,,,,,0xFF01FE,172,0xA,2,0x0,504,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
155,-1,529,154,,,"Vétéran du bassin d'Arathi",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir 100 victoires au bassin d'Arathi.",,,,,,,,,,,,,,0xFF01FE,14802,0xA,2,0x0,3382,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
167,-1,489,166,,,"Vétéran du goulet des Chanteguerres",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir 100 victoires dans le goulet des Chanteguerres.",,,,,,,,,,,,,,0xFF01FE,14804,0xA,2,0x0,3388,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
209,-1,566,208,,,"Vétéran de l'Œil du cyclone",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir 100 victoires dans l'Œil du cyclone.",,,,,,,,,,,,,,0xFF01FE,14803,0xA,2,0x0,3385,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
219,-1,30,218,,,"Vétéran de la vallée d'Alterac",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir 100 victoires dans la vallée d'Alterac.",,,,,,,,,,,,,,0xFF01FE,14801,0xA,2,0x0,3378,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
252,-1,-1,0,,,"Petits assistants entre amis",,,,,,,,,,,,,,0xFF01FE,,,"Obtenir 50 victoires honorables en étant déguisé en petit assistant grâce au Fabulovolt PX-238 Hiver.",,,,,,,,,,,,,,0xFF01FE,156,0xA,2,0x88,3679,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
260,-1,-1,0,,,"Le charme opère",,,,,,,,,,,,,,0xFF01FE,,,"Fabriquer 12 bracelets de breloques ravissantes.",,,,,,,,,,,,,,0xFF01FE,187,0xA,2,0x0,4134,,,"",,,,,,,,,,,,,,0xFF01EE,0,0,
