long,long,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,bool,
51,7,0x0,,,"Survie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,257,,,"",,,,,,,,,,,,,,0xFF01EC,0,
54,6,0x0,,,"Masse",,,,,,,,,,,,,,0xFF01FF,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
55,6,0x0,,,"Epées à deux mains",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
56,7,0x0,,,"Sacré",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,70,,,"",,,,,,,,,,,,,,0xFF01EC,0,
78,7,0x0,,,"Magie de l'ombre",,,,,,,,,,,,,,0xFF01FF,,,"",,,,,,,,,,,,,,0xFF01FC,234,,,"",,,,,,,,,,,,,,0xFF01EC,0,
95,6,0x0,,,"Défense",,,,,,,,,,,,,,0xFF01FE,,,"Une plus haute défense améliore vos chances d'esquiver, de parer ou de bloquer, vous rend plus difficile à toucher et diminue les chances que les monstres vous infligent un coup critique.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
98,10,0x0,,,"Langue : commun",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
101,9,0x0,,,"Raciale nain",,,,,,,,,,,,,,0xFF01FF,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
109,10,0x0,,,"Langue : orc",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
111,10,0x0,,,"Langue : nain",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
113,10,0x0,,,"Langue : darnassien",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
115,10,0x0,,,"Langue : taurahe",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
118,6,0x0,,,"Ambidextrie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
124,9,0x0,,,"Raciale tauren",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
125,9,0x0,,,"Raciale orc",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
126,9,0x0,,,"Raciale elfe de la nuit",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
129,9,0x0,,,"Secourisme",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence plus élevée en secourisme vous permet d'apprendre à mieux soigner. Il est possible d'augmenter cette compétence grâce à des professeurs, aux monstres que vous tuez ou en récompense de quêtes.",,,,,,,,,,,,,,0xFF01FE,504,,,"",,,,,,,,,,,,,,0xFF01EC,1,
134,7,0x0,,,"Combat farouche",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,107,,,"",,,,,,,,,,,,,,0xFF01EC,0,
136,6,0x0,,,"Bâtons",,,,,,,,,,,,,,0xFF01FF,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
137,10,0x0,,,"Langue : thalassien",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
138,10,0x0,,,"Langue : draconique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
139,10,0x0,,,"Langue : démoniaque",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
140,10,0x0,,,"Langue : titan",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
141,10,0x0,,,"Langue : langue ancienne",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
142,9,0x0,,,"Survie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
148,9,0x0,,,"Equitation",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
149,9,0x0,,,"Monte de loup",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
150,9,0x0,,,"Monte de tigre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
152,9,0x0,,,"Monte de bélier",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
155,9,0x0,,,"Natation",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
160,6,0x0,,,"Masses à deux mains",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
162,6,0x0,,,"Mains nues",,,,,,,,,,,,,,0xFF01FF,,,"Une compétence plus élevée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
163,7,0x0,,,"Précision",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,126,,,"",,,,,,,,,,,,,,0xFF01EC,0,
164,11,0x0,,,"Forge",,,,,,,,,,,,,,0xFF01FE,,,"Un plus haut score dans la compétence forge vous permet d’apprendre des plans plus difficiles. Les plans pour forgerons se trouvent dans le monde entier auprès de maîtres aussi bien qu’en récompense de quêtes ou qu’en butin de monstres.",,,,,,,,,,,,,,0xFF01FE,335,,,"Modifier",,,,,,,,,,,,,,0xFF01FE,1,
165,11,0x0,,,"Travail du cuir",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence plus élevée dans le travail du cuir vous permet d'apprendre des patrons plus difficiles. Ces patrons peuvent être trouvés auprès de maîtres un peu partout dans le monde, sur des monstres ou en récompense de quêtes.",,,,,,,,,,,,,,0xFF01FE,346,,,"Estamper",,,,,,,,,,,,,,0xFF01FE,1,
171,11,0x0,,,"Alchimie",,,,,,,,,,,,,,0xFF01FE,,,"Un plus haut score dans la compétence alchimie vous permet d’apprendre des recettes plus difficiles. Les recettes d'alchimie se trouvent dans le monde entier auprès de maîtres aussi bien qu’en récompense de quêtes ou qu’en butin de monstres.",,,,,,,,,,,,,,0xFF01FE,339,,,"Remplir",,,,,,,,,,,,,,0xFF01FE,1,
172,6,0x0,,,"Haches à deux mains",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
173,6,0x0,,,"Dagues",,,,,,,,,,,,,,0xFF01FF,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
176,6,0x0,,,"Armes de jet",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
182,11,0x0,,,"Herboristerie",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence plus élevée en Herboristerie vous permet de récolter des herbes plus difficiles. Si vous ne pouvez pas récolter une herbe donnée, augmentez votre score en récoltant des herbes plus accessibles dans des zones de niveau inférieur.",,,,,,,,,,,,,,0xFF01FE,345,,,"",,,,,,,,,,,,,,0xFF01EC,0,
183,12,0x0,,,"GENERIQUE (DND)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
184,7,0x0,,,"Vindicte",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,555,,,"",,,,,,,,,,,,,,0xFF01EC,0,
185,9,0x0,,,"Cuisine",,,,,,,,,,,,,,0xFF01FE,,,"Un plus haut score dans la compétence cuisine vous permet d’apprendre des recettes plus difficiles. Les recettes de cuisine se trouvent dans le monde entier auprès de maîtres aussi bien qu’en récompense de quêtes ou qu’en butin de monstres.",,,,,,,,,,,,,,0xFF01FE,1467,,,"",,,,,,,,,,,,,,0xFF01EC,1,
186,11,0x0,,,"Minage",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence plus élevée en minage vous permet de récolter des minerais plus difficiles. Si vous ne pouvez pas récolter un minerai donné, augmentez votre score en récoltant des minerais plus accessibles dans des zones de niveau inférieur.",,,,,,,,,,,,,,0xFF01FE,2418,,,"",,,,,,,,,,,,,,0xFF01EC,0,
188,7,0x0,,,"Familier - diablotin",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
189,7,0x0,,,"Familier - chasseur corrompu",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
197,11,0x0,,,"Couture",,,,,,,,,,,,,,0xFF01FE,,,"Un plus haut score dans la compétence couture vous permet d’apprendre des patrons plus difficiles. Les patrons de couture se trouvent dans le monde entier auprès de maîtres aussi bien qu’en récompense de quêtes ou qu’en butin de monstres.",,,,,,,,,,,,,,0xFF01FE,341,,,"Broder",,,,,,,,,,,,,,0xFF01FE,1,
202,11,0x0,,,"Ingénierie",,,,,,,,,,,,,,0xFF01FE,,,"Un plus haut score dans la compétence ingénierie vous permet d’apprendre des schémas plus difficiles. Les schémas pour ingénieurs se trouvent dans le monde entier auprès de maîtres aussi bien qu’en récompense de quêtes ou qu’en butin de monstres.",,,,,,,,,,,,,,0xFF01FE,333,,,"Bricoler",,,,,,,,,,,,,,0xFF01FE,1,
203,7,0x0,,,"Familier - araignée",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
204,7,0x0,,,"Familier - marcheur du Vide",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
205,7,0x0,,,"Familier - succube",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
206,7,0x0,,,"Familier - infernal",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
207,7,0x0,,,"Familier - garde funeste",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
208,7,0x0,,,"Familier - loup",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
209,7,0x0,,,"Familier - félin",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
210,7,0x0,,,"Familier - ours",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
211,7,0x0,,,"Familier - sanglier",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
212,7,0x0,,,"Familier - crocilisque",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
213,7,0x0,,,"Familier - charognard",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
214,7,0x0,,,"Familier - crabe",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
215,7,0x0,,,"Familier - gorille",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
217,7,0x0,,,"Familier - raptor",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
218,7,0x0,,,"Familier - haut-trotteur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
220,9,0x0,,,"Racial - mort-vivant",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
226,6,0x0,,,"Arbalètes",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
228,6,0x0,,,"Baguettes",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
229,6,0x0,,,"Armes d'hast",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence d’arme plus élévée augmente vos chances de toucher.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
236,7,0x0,,,"Familier - scorpide",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
237,7,0x0,,,"Arcanes",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,125,,,"",,,,,,,,,,,,,,0xFF01EC,0,
251,7,0x0,,,"Familier - tortue",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
253,7,0x0,,,"Assassinat",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,514,,,"",,,,,,,,,,,,,,0xFF01EC,0,
256,7,0x0,,,"Fureur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,561,,,"",,,,,,,,,,,,,,0xFF01EC,0,
257,7,0x0,,,"Protection",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,276,,,"",,,,,,,,,,,,,,0xFF01EC,0,
267,7,0x0,,,"Protection",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,291,,,"",,,,,,,,,,,,,,0xFF01EC,0,
270,7,0x0,,,"Familier - générique chasseur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
293,8,0x0,,,"Armure en plaques",,,,,,,,,,,,,,0xFF01FE,,,"Permet de porter des armures de plaques.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
313,10,0x0,,,"Langue : gnome",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
315,10,0x0,,,"Langue : troll",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
333,11,0x0,,,"Enchantement",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence plus élevée en enchantement vous permet d'apprendre des formules plus puissantes. Ces formules peuvent être trouvées auprès de maîtres un peu partout dans le monde, sur des monstres ou en récompense de quêtes.",,,,,,,,,,,,,,0xFF01FE,578,,,"Enchanter",,,,,,,,,,,,,,0xFF01FE,1,
354,7,0x0,,,"Démonologie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,90,,,"",,,,,,,,,,,,,,0xFF01EC,0,
355,7,0x0,,,"Affliction",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,88,,,"",,,,,,,,,,,,,,0xFF01EC,0,
356,9,0x0,,,"Pêche",,,,,,,,,,,,,,0xFF01FE,,,"Un plus haut score dans la compétence pêche augmente vos chances d'attraper des poissons dans le monde. Si vous n'arrivez pas à pêcher dans une zone spécifique, allez dans des zones de plus bas niveau ou utilisez des appâts.",,,,,,,,,,,,,,0xFF01FE,580,,,"",,,,,,,,,,,,,,0xFF01EC,0,
373,7,0x0,,,"Amélioration",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,19,,,"",,,,,,,,,,,,,,0xFF01EC,0,
374,7,0x0,,,"Restauration",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,13,,,"",,,,,,,,,,,,,,0xFF01EC,0,
375,7,0x0,,,"Combat élémentaire",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,62,,,"",,,,,,,,,,,,,,0xFF01EC,0,
393,11,0x0,,,"Dépeçage",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence en dépeçage plus élevée vous permet de récolter les peaux de monstres plus puissants. Une fois que votre compétence dépasse 100, vous pouvez la diviser par 5 pour connaître le niveau maximum des monstres que vous pouvez dépecer.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
413,8,0x0,,,"Mailles",,,,,,,,,,,,,,0xFF01FE,,,"Permet de porter des armures de mailles.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
414,8,0x0,,,"Cuir",,,,,,,,,,,,,,0xFF01FE,,,"Permet de porter des armures en cuir.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
415,8,0x0,,,"Tissu",,,,,,,,,,,,,,0xFF01FE,,,"Permet de porter des armures en tissu.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
433,8,0x0,,,"Bouclier",,,,,,,,,,,,,,0xFF01FE,,,"Permet d’utiliser des boucliers.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
473,6,0x0,,,"Armes de pugilat",,,,,,,,,,,,,,0xFF01FE,,,"Permet l'utilisation des armes de pugilat. Les chances de toucher sont déterminées par la compétence Mains nues.",,,,,,,,,,,,,,0xFF01FE,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
533,9,0x0,,,"Monte de raptor",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
553,9,0x0,,,"Pilotage de mécanotrotteur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
554,9,0x0,,,"Monte de cheval squelette",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
573,7,0x0,,,"Restauration",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,962,,,"",,,,,,,,,,,,,,0xFF01EC,0,
574,7,0x0,,,"Equilibre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,225,,,"",,,,,,,,,,,,,,0xFF01EC,0,
593,7,0x0,,,"Destruction",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,547,,,"",,,,,,,,,,,,,,0xFF01EC,0,
594,7,0x0,,,"Sacré",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,70,,,"",,,,,,,,,,,,,,0xFF01EC,0,
613,7,0x0,,,"Discipline",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,685,,,"",,,,,,,,,,,,,,0xFF01EC,0,
633,7,0x0,,,"Crochetage",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
653,7,0x0,,,"Familier - chauve-souris",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
654,7,0x0,,,"Familier - hyène",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
655,7,0x0,,,"Familier - oiseau de proie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
656,7,0x0,,,"Familier - serpent des vents",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
673,10,0x0,,,"Langue : bas-parler",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,1,,,"",,,,,,,,,,,,,,0xFF01EC,0,
713,9,0x0,,,"Monte de kodo",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,317,,,"",,,,,,,,,,,,,,0xFF01EC,0,
733,9,0x0,,,"Racial - troll",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
753,9,0x0,,,"Racial - gnome",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
754,9,0x0,,,"Racial - humain",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
755,11,0x0,,,"Joaillerie",,,,,,,,,,,,,,0xFF01FE,,,"Une compétence plus élevée en joaillerie vous permet d'apprendre des dessins de joaillier plus difficiles. Ces dessins peuvent être trouvés auprès de maîtres un peu partout dans le monde, sur des monstres ou en récompense de quêtes.",,,,,,,,,,,,,,0xFF01FE,1768,,,"Modifier",,,,,,,,,,,,,,0xFF01FE,1,
756,9,0x0,,,"Raciale elfe de sang",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
758,-1,0x0,,,"Familier - Evénement - Télécommande",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
759,10,0x0,,,"Langue : draeneï",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
760,9,0x0,,,"Raciale draeneï",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
761,7,0x0,,,"Familier - gangregarde",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,0,,,"",,,,,,,,,,,,,,0xFF01EC,0,
762,9,0x0,,,"Monte",,,,,,,,,,,,,,0xFF01FE,,,"Un plus haut score dans la compétence monte vous permet de chevaucher plus vite et sur le dos de créatures plus exotiques.",,,,,,,,,,,,,,0xFF01FE,255,,,"",,,,,,,,,,,,,,0xFF01EC,0,
