long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,bool,
39,,,"Anneau de l'agression cruelle",,,,,,,,,,,,,,0xFF01FE,1,1,
40,,,"Anneau du sombre réparateur",,,,,,,,,,,,,,0xFF01FE,1,1,
41,,,"Anneau du tempérament violent",,,,,,,,,,,,,,0xFF01FE,1,1,
42,,,"Chevalière du roi traître",,,,,,,,,,,,,,0xFF01FE,1,1,
43,,,"Limite de l'anneau test",,,,,,,,,,,,,,0xFF01FE,1,1,
44,,,"Boulier d'Althor",,,,,,,,,,,,,,0xFF01FE,1,1,
45,,,"Verroterie du sang véritable",,,,,,,,,,,,,,0xFF01FE,1,1,
46,,,"Pièce du passeur",,,,,,,,,,,,,,0xFF01FE,1,1,
47,,,"Volonté de porte-mort",,,,,,,,,,,,,,0xFF01FE,1,1,
48,,,"Objet étranger déplacé",,,,,,,,,,,,,,0xFF01FE,1,1,
49,,,"Phylactère de la liche sans nom",,,,,,,,,,,,,,0xFF01FE,1,1,
50,,,"Petite abomination en bouteille",,,,,,,,,,,,,,0xFF01FE,1,1,
51,,,"Croc parfait de Sindragosa",,,,,,,,,,,,,,0xFF01FE,1,1,
52,,,"Anneau sanglant d'abomination",,,,,,,,,,,,,,0xFF01FE,1,1,
53,,,"Chevalière de putréfaction",,,,,,,,,,,,,,0xFF01FE,1,1,
54,,,"Anneau torsadé cerise",,,,,,,,,,,,,,0xFF01FE,1,1,
55,,,"Anneau de rupture de Trognepus",,,,,,,,,,,,,,0xFF01FE,1,1,
56,,,"Anneau de Saurcroc forgé à froid",,,,,,,,,,,,,,0xFF01FE,1,1,
57,,,"Sceau de la reine du crépuscule",,,,,,,,,,,,,,0xFF01FE,1,1,
58,,,"Chevalière aux trois crocs",,,,,,,,,,,,,,0xFF01FE,1,1,
59,,,"Bague du colosse d'os",,,,,,,,,,,,,,0xFF01FE,1,1,
60,,,"Anneau éternellement froid de Devium",,,,,,,,,,,,,,0xFF01FE,1,1,
61,,,"Sceau des bouches nombreuses",,,,,,,,,,,,,,0xFF01FE,1,1,
62,,,"Anneau en saphir couvegivre",,,,,,,,,,,,,,0xFF01FE,1,1,
63,,,"Bague de mastodonte",,,,,,,,,,,,,,0xFF01FE,1,1,
64,,,"Jonc de labyrinthe sans fin",,,,,,,,,,,,,,0xFF01FE,1,1,
65,,,"Oeil glacial de Gargamoelle",,,,,,,,,,,,,,0xFF01FE,1,1,
66,,,"Mémoire de Malygos",,,,,,,,,,,,,,0xFF01FE,1,1,
67,,,"Puissance de chancre",,,,,,,,,,,,,,0xFF01FE,1,1,
68,,,"Anneau de murmures exaspérants",,,,,,,,,,,,,,0xFF01FE,1,1,
69,,,"Anneau d'ascension rapide",,,,,,,,,,,,,,0xFF01FE,1,1,
70,,,"Cercle de seigneur squelette",,,,,,,,,,,,,,0xFF01FE,1,1,
71,,,"Autre chevalière de Valanar",,,,,,,,,,,,,,0xFF01FE,1,1,
72,,,"Bague de guérison incarnadine",,,,,,,,,,,,,,0xFF01FE,1,1,
73,,,"Longue-vue de Muradin",,,,,,,,,,,,,,0xFF01FE,1,1,
74,,,"Esquille de glace pure",,,,,,,,,,,,,,0xFF01FE,1,1,
75,,,"Organe non identifiable",,,,,,,,,,,,,,0xFF01FE,1,1,
76,,,"Crâne à crocs murmurant",,,,,,,,,,,,,,0xFF01FE,1,1,
77,,,"Ecaille du crépuscule",,,,,,,,,,,,,,0xFF01FE,1,1,
78,,,"Anneau de régénération phasée",,,,,,,,,,,,,,0xFF01FE,1,1,
79,,,"Offrande à Saviana",,,,,,,,,,,,,,0xFF01FE,1,1,
80,,,"Chevalière de crépuscule",,,,,,,,,,,,,,0xFF01FE,1,1,
81,,,"Offrande de Zarithrian",,,,,,,,,,,,,,0xFF01FE,1,1,
82,,,"Ecaille du crépuscule aiguisée",,,,,,,,,,,,,,0xFF01FE,1,1,
83,,,"Ecaille du crépuscule pétrifiée",,,,,,,,,,,,,,0xFF01FE,1,1,
84,,,"Ecaille du crépuscule luminescente",,,,,,,,,,,,,,0xFF01FE,1,1,
85,,,"Ecaille du crépuscule carbonisée",,,,,,,,,,,,,,0xFF01FE,1,1,
