long,long,long,long,long,long,long,long,flags,flags,long,long,long,long,flags,long,flags,flags,long,float,float,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
38,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Ogre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
39,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Mercenaires de Kurzen",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
40,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Escorteur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
41,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"La KapitalRisk",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
42,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Bête - Raptor",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
43,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Basilic",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
44,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Vol vert",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
45,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Perdus",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
46,29,2147483647,0,0,0,0,0,0x0,0x0,0,0,0,0,0x4,0,0x0,0x0,0,1.0,1.0,5,5,,," Forge - Fabricant d'armure",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
47,20,1427287113,716002226,4194308,0,0,0,0x0,0x0,3100,-42000,4000,0,0x111,6,0x11,0x0,469,1.0,0.25,7,5,,,"Forgefer",,,,,,,,,,,,,,0xFF01FE,,,"Résidence du roi Magni, cette capitale de l’Alliance fait la fierté des nains de Dun Morogh.",,,,,,,,,,,,,,0xFF01FE,
48,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Nains Sombrefer",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
49,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Humain, Veilleur",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
50,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Vol rouge",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
51,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Gnoll - Poil-moussu",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
52,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Orc, Gueule-de-dragon",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
53,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Gnome - Lépreux",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
54,18,1364241421,716002226,67240000,0,0,0,0x0,0x0,3100,-42000,4000,0,0x111,6,0x11,0x0,469,1.0,0.25,7,5,,,"Exilés de Gnomeregan",,,,,,,,,,,,,,0xFF01FE,,,"Les anciens habitants de Gnomeregan vivent en exil à Forgefer et se sont associés à l’Alliance.",,,,,,,,,,,,,,0xFF01FE,
55,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Léopard",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
56,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Croisade écarlate",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
57,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Gnoll - Poils-putrides",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
58,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Bête - Gorille",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
59,4,2147483647,0,0,0,0,0,0x0,0x0,0,0,0,0,0x10,0,0x0,0x0,1118,0.0,0.0,5,5,,,"Confrérie du thorium",,,,,,,,,,,,,,0xFF01FE,,,"Les nains de la Confrérie du thorium personnifient l’excellence dans l’artisanat, et sont résolus à percer les secrets du mont Rochenoire.",,,,,,,,,,,,,,0xFF01FE,
60,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Naga",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
61,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Dalaran",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
62,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Esprit mélancolique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
63,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Rugissombre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
64,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Grell",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
65,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Furbolg",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
66,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Horde Générique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
67,12,716002226,1431481421,0,0,0,0,0x0,0x0,3500,-42000,0,0,0x19,14,0x0,0x0,1118,0.0,0.0,5,5,,,"Horde",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
68,17,715985314,1431481421,16,16896,0,0,0x0,0x0,500,-42000,4000,3100,0x111,6,0x11,0x11,67,1.0,0.25,7,5,,,"Fossoyeuse",,,,,,,,,,,,,,0xFF01FE,,,"Dirigés par Sylvanas Coursevent, les Réprouvés ont établi une alliance ténue avec la Horde et se sont installés dans les vastes catacombes qui s’étendent sous les ruines de Lordaeron.",,,,,,,,,,,,,,0xFF01FE,
69,21,1431448647,716002226,32776,0,0,0,0x0,0x0,3100,-42000,4000,0,0x111,6,0x11,0x0,469,1.0,0.25,7,5,,,"Darnassus",,,,,,,,,,,,,,0xFF01FE,,,"Située sur l’île de Teldrassil, cette capitale de l’Alliance est la demeure des elfes de la nuit. Elle est dirigée par la prêtresse de la Lune, Tyrande Murmevent.",,,,,,,,,,,,,,0xFF01FE,
70,6,2147483647,0,0,0,0,0,0x0,0x0,-10000,0,0,0,0x2,0,0x0,0x0,0,1.0,1.0,5,5,,,"Syndicat",,,,,,,,,,,,,,0xFF01FE,,,"Cette organisation criminelle, composée d’une majorité d’humains, opère depuis les montagnes d’Alterac et les contreforts de Hautebrande.",,,,,,,,,,,,,,0xFF01FE,
71,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Milice de Hautebrande",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
72,19,1163035724,716002226,268445697,0,0,0,0x0,0x0,3100,-42000,4000,0,0x111,6,0x11,0x0,469,1.0,0.25,7,5,,,"Hurlevent",,,,,,,,,,,,,,0xFF01FE,,,"Cette capitale de l’Alliance est l’un des derniers bastions de la puissance des humains. Elle est gouvernée par le roi Varian Wrynn, revenu après une disparition mystérieuse.",,,,,,,,,,,,,,0xFF01FE,
73,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Démon",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
74,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Elémentaire",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
75,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Esprit",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
76,14,707592352,1431481421,8392962,16912,0,0,0x0,0x0,3100,-42000,4000,500,0x111,6,0x11,0x11,67,1.0,0.25,7,5,,,"Orgrimmar",,,,,,,,,,,,,,0xFF01FE,,,"Fondée par Thrall, cette capitale de la Horde abrite les nombreux et fiers clans orcs de Durotar.",,,,,,,,,,,,,,0xFF01FE,
77,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Trésor",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
78,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Gnoll - Fangemufle",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
79,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Hautebrande, maire d’Austrivage",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
80,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Vol Noir",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
81,16,11014530,1431481421,16912,704970784,0,0,0x0,0x0,3100,-42000,500,4000,0x111,6,0x11,0x11,67,1.0,0.25,7,5,,,"Les Pitons du Tonnerre",,,,,,,,,,,,,,0xFF01FE,,,"Cairne Sabot-de-sang dirige son peuple, les fiers taurens, depuis cette puissante capitale de la Horde.",,,,,,,,,,,,,,0xFF01FE,
82,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Troll, Fânécorce",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
83,23,2147483647,0,0,0,0,0,0x0,0x0,2999,0,0,0,0x4,0,0x0,0x0,0,1.0,1.0,5,5,,," Travail du cuir - Elémentaire",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
84,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Huran, Tranchecrin",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
85,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Huran, Dos-hirsute",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
86,22,2147483647,0,0,0,0,0,0x0,0x0,2999,0,0,0,0x4,0,0x0,0x0,0,1.0,1.0,5,5,,," Travail du cuir - Écailles de dragon",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
87,0,2147483647,0,0,0,0,0,0x0,0x0,-6500,0,0,0,0x2,0,0x0,0x0,1118,0.0,0.0,5,5,,,"La Voile sanglante",,,,,,,,,,,,,,0xFF01FE,,,"Ennemis jurés de Baie-du-Butin, ces corsaires assoiffés de sang sont la plaie des nombreux marchands qui naviguent en haute mer.",,,,,,,,,,,,,,0xFF01FE,
88,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Brassenoire",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
89,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Makrura",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
90,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Centaures (Kolkar)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
91,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Centaures (Galak)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
92,2,2147483647,0,0,0,0,0,0x0,0x0,2000,0,0,0,0x2,0,0x0,0x0,1118,0.0,0.0,5,5,,,"Centaures (Gelkis)",,,,,,,,,,,,,,0xFF01FE,,,"Ennemis mortels des centaures Magram, ces centaures se sont établis dans la région méridionale de Désolace.",,,,,,,,,,,,,,0xFF01FE,
93,3,2147483647,0,0,0,0,0,0x0,0x0,2000,0,0,0,0x2,0,0x0,0x0,1118,0.0,0.0,5,5,,,"Centaures (Magram)",,,,,,,,,,,,,,0xFF01FE,,,"Ennemis mortels des centaures Gelkis, ces centaures résident dans la région orientale de Désolace.",,,,,,,,,,,,,,0xFF01FE,
94,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Maraudine",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
108,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Theramore",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
109,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Huran, Tranchebauge",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
110,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Huran, Tranchecrin 2",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
111,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Huran, Tête de mort",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
128,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Ennemi",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
148,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Ambiant",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
168,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Caravane de Rempart-du-Néant",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
169,10,2147483647,0,0,0,0,0,0x0,0x0,500,0,0,0,0xC,0,0x0,0x0,1118,0.0,0.0,5,5,,,"Cartel Gentepression",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
189,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Alliance (Générique)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
209,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Rempart-du-Néant",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
229,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Cavernes des lamentations",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
249,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Silithides",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
269,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Survivants de Lune-d'argent",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
270,51,2147483647,0,0,0,0,0,0x0,0x0,0,0,0,0,0x10,0,0x0,0x0,1118,0.0,0.0,5,5,,,"Tribu Zandalar",,,,,,,,,,,,,,0xFF01FE,,,"Ces trolls sont venus sur l’île de Yojamba pour tenter de trouver de l’aide contre le Dieu sanglant ressuscité et ses prêtres atal’ai, à Zul'Gurub.",,,,,,,,,,,,,,0xFF01FE,
289,30,2147483647,0,0,0,0,0,0x0,0x0,0,0,0,0,0x4,0,0x0,0x0,0,1.0,1.0,5,5,,," Forge - Fabricant d'armes",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
309,-1,0,0,0,0,0,0,0x0,0x0,0,0,0,0,0x0,0,0x0,0x0,0,1.0,1.0,5,5,,,"Scorpide",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
