long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,
235,230,0,8000,8,,,"Bael'Gar",,,,,,,,,,,,,,0xFF01FE,,
236,230,0,9000,9,,,"Général Forgehargne",,,,,,,,,,,,,,0xFF01FE,,
237,230,0,10000,10,,,"Seigneur golem Argelmach",,,,,,,,,,,,,,0xFF01FE,,
238,230,0,11000,11,,,"Hurley Soufflenoir",,,,,,,,,,,,,,0xFF01FE,,
239,230,0,12000,12,,,"Phalange",,,,,,,,,,,,,,0xFF01FE,,
240,230,0,13000,13,,,"Ribbly Fermevanne",,,,,,,,,,,,,,0xFF01FE,,
241,230,0,14000,14,,,"Lanfiche Brouillecircuit",,,,,,,,,,,,,,0xFF01FE,,
242,230,0,15000,15,,,"Ambassadeur Cinglefouet",,,,,,,,,,,,,,0xFF01FE,,
243,230,0,16000,16,,,"Les Sept",,,,,,,,,,,,,,0xFF01FE,,
244,230,0,17000,17,,,"Magmus",,,,,,,,,,,,,,0xFF01FE,,
245,230,0,18000,18,,,"Empereur Dagran Thaurissan",,,,,,,,,,,,,,0xFF01FE,,
707,249,0,0,0,,,"Onyxia",,,,,,,,,,,,,,0xFF01FE,,
708,249,1,1000,0,,,"Onyxia",,,,,,,,,,,,,,0xFF01FE,,
287,269,0,0,0,,,"Chronoseigneur Déjà",,,,,,,,,,,,,,0xFF01FE,,
288,269,1,0,0,,,"Chronoseigneur Déjà",,,,,,,,,,,,,,0xFF01FE,,
289,269,0,1000,1,,,"Temporus",,,,,,,,,,,,,,0xFF01FE,,
290,269,1,2000,1,,,"Temporus",,,,,,,,,,,,,,0xFF01FE,,
291,269,0,2000,2,,,"Aeonus",,,,,,,,,,,,,,0xFF01FE,,
292,269,1,3000,2,,,"Aeonus",,,,,,,,,,,,,,0xFF01FE,,
451,289,0,0,0,,,"Kirtonos le Héraut",,,,,,,,,,,,,,0xFF01FE,,
452,289,0,1000,1,,,"Jandice Barov",,,,,,,,,,,,,,0xFF01FE,,
453,289,0,2000,2,,,"Cliquettripes",,,,,,,,,,,,,,0xFF01FE,,
454,289,0,3000,3,,,"Marduk Noirétang",,,,,,,,,,,,,,0xFF01FE,,
455,289,0,4000,4,,,"Vectus",,,,,,,,,,,,,,0xFF01FE,,
456,289,0,5000,5,,,"Ras Murmegivre",,,,,,,,,,,,,,0xFF01FE,,
457,289,0,6000,6,,,"Instructrice Malicia",,,,,,,,,,,,,,0xFF01FE,,
458,289,0,7000,7,,,"Docteur Theolen Krastinov",,,,,,,,,,,,,,0xFF01FE,,
459,289,0,8000,8,,,"Gardien du savoir Polkelt",,,,,,,,,,,,,,0xFF01FE,,
460,289,0,9000,9,,,"Le Voracien",,,,,,,,,,,,,,0xFF01FE,,
461,289,0,10000,10,,,"Seigneur Alexei Barov",,,,,,,,,,,,,,0xFF01FE,,
462,289,0,11000,11,,,"Dame Illucia Barov",,,,,,,,,,,,,,0xFF01FE,,
463,289,0,12000,12,,,"Sombre Maître Gandling",,,,,,,,,,,,,,0xFF01FE,,
785,309,0,-1000,1,,,"Grande prêtresse Jeklik",,,,,,,,,,,,,,0xFF01FE,,
784,309,0,0,0,,,"Grand prêtre Venoxis",,,,,,,,,,,,,,0xFF01FE,,
786,309,0,2000,2,,,"Grande prêtresse Mar'li",,,,,,,,,,,,,,0xFF01FE,,
787,309,0,3000,3,,,"Seigneur sanglant Mandokir",,,,,,,,,,,,,,0xFF01FE,,
788,309,0,4000,4,,,"Frontière de la folie",,,,,,,,,,,,,,0xFF01FE,,
789,309,0,5000,5,,,"Grand prêtre Thekal",,,,,,,,,,,,,,0xFF01FE,,
790,309,0,6000,6,,,"Gahz'ranka",,,,,,,,,,,,,,0xFF01FE,,
791,309,0,7000,7,,,"Grande prêtresse Arlokk",,,,,,,,,,,,,,0xFF01FE,,
792,309,0,8000,8,,,"Jin'do le Maléficieur",,,,,,,,,,,,,,0xFF01FE,,
793,309,0,9000,9,,,"Hakkar",,,,,,,,,,,,,,0xFF01FE,,
473,329,0,1000,1,,,"Chanteloge Forrestin",,,,,,,,,,,,,,0xFF01FE,,
474,329,0,2000,2,,,"Timmy le Cruel",,,,,,,,,,,,,,0xFF01FE,,
475,329,0,3000,3,,,"Maître canonnier Willey",,,,,,,,,,,,,,0xFF01FE,,
476,329,0,4000,4,,,"Malor le Zélé",,,,,,,,,,,,,,0xFF01FE,,
477,329,0,5000,5,,,"Archiviste Galford",,,,,,,,,,,,,,0xFF01FE,,
478,329,0,6000,6,,,"Balnazzar",,,,,,,,,,,,,,0xFF01FE,,
472,329,0,6500,0,,,"Le Condamné",,,,,,,,,,,,,,0xFF01FE,,
479,329,0,7000,7,,,"Baronne Anastari",,,,,,,,,,,,,,0xFF01FE,,
480,329,0,8000,8,,,"Nerub'enkan",,,,,,,,,,,,,,0xFF01FE,,
481,329,0,9000,9,,,"Maleki le Blafard",,,,,,,,,,,,,,0xFF01FE,,
482,329,0,10000,10,,,"Magistrat Barthilas",,,,,,,,,,,,,,0xFF01FE,,
483,329,0,11000,11,,,"Ramstein Grandgosier",,,,,,,,,,,,,,0xFF01FE,,
484,329,0,12000,12,,,"Baron Vaillefendre",,,,,,,,,,,,,,0xFF01FE,,
422,349,0,0,0,,,"Noxcion",,,,,,,,,,,,,,0xFF01FE,,
423,349,0,1000,1,,,"Tranchefouet",,,,,,,,,,,,,,0xFF01FE,,
424,349,0,2000,2,,,"Seigneur Vylelangue",,,,,,,,,,,,,,0xFF01FE,,
425,349,0,3000,3,,,"Celebras le Maudit",,,,,,,,,,,,,,0xFF01FE,,
426,349,0,4000,4,,,"Glissement de terrain",,,,,,,,,,,,,,0xFF01FE,,
427,349,0,5000,5,,,"Bricoleur Kadenaz",,,,,,,,,,,,,,0xFF01FE,,
428,349,0,6000,6,,,"Grippe-charogne",,,,,,,,,,,,,,0xFF01FE,,
429,349,0,7000,7,,,"Princesse Theradras",,,,,,,,,,,,,,0xFF01FE,,
430,389,0,0,0,,,"Lorgnesilex",,,,,,,,,,,,,,0xFF01FE,,
432,389,0,2000,2,,,"Jergosh l'Invocateur",,,,,,,,,,,,,,0xFF01FE,,
433,389,0,3000,3,,,"Bazzalan",,,,,,,,,,,,,,0xFF01FE,,
431,389,0,4000,1,,,"Taragaman l'Affameur",,,,,,,,,,,,,,0xFF01FE,,
663,409,0,0,0,,,"Lucifron",,,,,,,,,,,,,,0xFF01FE,,
664,409,0,1000,1,,,"Magmadar",,,,,,,,,,,,,,0xFF01FE,,
665,409,0,2000,2,,,"Gehennas",,,,,,,,,,,,,,0xFF01FE,,
666,409,0,3000,3,,,"Garr",,,,,,,,,,,,,,0xFF01FE,,
667,409,0,4000,4,,,"Shazzrah",,,,,,,,,,,,,,0xFF01FE,,
668,409,0,5000,5,,,"Baron Geddon",,,,,,,,,,,,,,0xFF01FE,,
669,409,0,6000,6,,,"Messager de Sulfuron",,,,,,,,,,,,,,0xFF01FE,,
670,409,0,7000,7,,,"Golemagg l'Incinérateur",,,,,,,,,,,,,,0xFF01FE,,
671,409,0,8000,8,,,"Chambellan Executus",,,,,,,,,,,,,,0xFF01FE,,
672,409,0,9000,9,,,"Ragnaros",,,,,,,,,,,,,,0xFF01FE,,
343,429,0,0,0,,,"Zevrim Sabot-de-ronce",,,,,,,,,,,,,,0xFF01FE,,
344,429,0,1000,1,,,"Hydrogénos",,,,,,,,,,,,,,0xFF01FE,,
345,429,0,2000,2,,,"Lethtendris",,,,,,,,,,,,,,0xFF01FE,,
346,429,0,3000,3,,,"Alzzin le Modeleur",,,,,,,,,,,,,,0xFF01FE,,
350,429,0,3500,7,,,"Tendris Crochebois",,,,,,,,,,,,,,0xFF01FE,,
347,429,0,4000,4,,,"Illyanna Corvichêne",,,,,,,,,,,,,,0xFF01FE,,
348,429,0,5000,5,,,"Magistère Kalendris",,,,,,,,,,,,,,0xFF01FE,,
349,429,0,6000,6,,,"Immol'thar",,,,,,,,,,,,,,0xFF01FE,,
361,429,0,7000,8,,,"Prince Tortheldrin",,,,,,,,,,,,,,0xFF01FE,,
362,429,0,8000,9,,,"Garde Mol'dar",,,,,,,,,,,,,,0xFF01FE,,
363,429,0,9000,10,,,"Kreeg le Marteleur",,,,,,,,,,,,,,0xFF01FE,,
364,429,0,10000,11,,,"Garde Fengus",,,,,,,,,,,,,,0xFF01FE,,
365,429,0,11000,12,,,"Garde Slip'kik",,,,,,,,,,,,,,0xFF01FE,,
366,429,0,12000,13,,,"Capitaine Kromcrabouille",,,,,,,,,,,,,,0xFF01FE,,
367,429,0,13000,14,,,"Cho'Rush l'Observateur",,,,,,,,,,,,,,0xFF01FE,,
368,429,0,14000,15,,,"Roi Gordok",,,,,,,,,,,,,,0xFF01FE,,
610,469,0,0,0,,,"Tranchetripe l'Indompté",,,,,,,,,,,,,,0xFF01FE,,
611,469,0,1000,1,,,"Vaelastrasz le Corrompu",,,,,,,,,,,,,,0xFF01FE,,
612,469,0,2000,2,,,"Seigneur des couvées Lanistaire",,,,,,,,,,,,,,0xFF01FE,,
613,469,0,3000,3,,,"Gueule-de-feu",,,,,,,,,,,,,,0xFF01FE,,
614,469,0,4000,4,,,"Rochébène",,,,,,,,,,,,,,0xFF01FE,,
615,469,0,5000,5,,,"Flamegor",,,,,,,,,,,,,,0xFF01FE,,
616,469,0,6000,6,,,"Chromaggus",,,,,,,,,,,,,,0xFF01FE,,
617,469,0,7000,7,,,"Nefarian",,,,,,,,,,,,,,0xFF01FE,,
718,509,0,0,0,,,"Kurinnaxx",,,,,,,,,,,,,,0xFF01FE,,
719,509,0,1000,1,,,"Général Rajaxx",,,,,,,,,,,,,,0xFF01FE,,
720,509,0,2000,2,,,"Moam",,,,,,,,,,,,,,0xFF01FE,,
721,509,0,3000,3,,,"Buru Grandgosier",,,,,,,,,,,,,,0xFF01FE,,
722,509,0,4000,4,,,"Ayamiss le Chasseur",,,,,,,,,,,,,,0xFF01FE,,
723,509,0,5000,5,,,"Ossirian l'Intouché",,,,,,,,,,,,,,0xFF01FE,,
709,531,0,0,0,,,"Le prophète Skeram",,,,,,,,,,,,,,0xFF01FE,,
710,531,0,1000,1,,,"Famille royale silithide",,,,,,,,,,,,,,0xFF01FE,,
711,531,0,2000,2,,,"Garde de guerre Sartura",,,,,,,,,,,,,,0xFF01FE,,
712,531,0,3000,3,,,"Fankriss l'Inflexible",,,,,,,,,,,,,,0xFF01FE,,
713,531,0,4000,4,,,"Viscidus",,,,,,,,,,,,,,0xFF01FE,,
714,531,0,5000,5,,,"Princesse Huhuran",,,,,,,,,,,,,,0xFF01FE,,
715,531,0,6000,6,,,"Empereurs jumeaux",,,,,,,,,,,,,,0xFF01FE,,
716,531,0,7000,7,,,"Ouro",,,,,,,,,,,,,,0xFF01FE,,
717,531,0,8000,8,,,"C'thun",,,,,,,,,,,,,,0xFF01FE,,
652,532,0,0,0,,,"Attumen le Veneur",,,,,,,,,,,,,,0xFF01FE,,
653,532,0,1000,1,,,"Moroes",,,,,,,,,,,,,,0xFF01FE,,
654,532,0,2000,2,,,"Damoiselle de vertu",,,,,,,,,,,,,,0xFF01FE,,
655,532,0,3000,3,,,"Évènement de l'opéra",,,,,,,,,,,,,,0xFF01FE,,
656,532,0,4000,4,,,"Le conservateur",,,,,,,,,,,,,,0xFF01FE,,
657,532,0,5000,5,,,"Terestian Malsabot",,,,,,,,,,,,,,0xFF01FE,,
658,532,0,6000,6,,,"Ombre d'Aran",,,,,,,,,,,,,,0xFF01FE,,
659,532,0,7000,7,,,"Dédain-du-Néant",,,,,,,,,,,,,,0xFF01FE,,
660,532,0,8000,8,,,"Évènement de l'échiquier",,,,,,,,,,,,,,0xFF01FE,,
661,532,0,9000,9,,,"Prince Malchezaar",,,,,,,,,,,,,,0xFF01FE,,
662,532,0,10000,10,,,"Plaie-de-nuit",,,,,,,,,,,,,,0xFF01FE,,
673,533,0,0,0,,,"Anub'Rekhan",,,,,,,,,,,,,,0xFF01FE,,
674,533,1,1000,0,,,"Anub'Rekhan",,,,,,,,,,,,,,0xFF01FE,,
677,533,0,1000,1,,,"Grande veuve Faerlina",,,,,,,,,,,,,,0xFF01FE,,
678,533,1,2000,1,,,"Grande veuve Faerlina",,,,,,,,,,,,,,0xFF01FE,,
679,533,0,2000,2,,,"Maexxna",,,,,,,,,,,,,,0xFF01FE,,
680,533,1,3000,2,,,"Maexxna",,,,,,,,,,,,,,0xFF01FE,,
681,533,0,3000,3,,,"Noth le Porte-peste",,,,,,,,,,,,,,0xFF01FE,,
682,533,1,4000,3,,,"Noth le Porte-peste",,,,,,,,,,,,,,0xFF01FE,,
683,533,0,4000,4,,,"Heigan l'Impur",,,,,,,,,,,,,,0xFF01FE,,
684,533,1,5000,4,,,"Heigan l'Impur",,,,,,,,,,,,,,0xFF01FE,,
685,533,0,5000,5,,,"Horreb",,,,,,,,,,,,,,0xFF01FE,,
686,533,1,6000,5,,,"Horreb",,,,,,,,,,,,,,0xFF01FE,,
687,533,0,6000,6,,,"Instructeur Razuvious",,,,,,,,,,,,,,0xFF01FE,,
689,533,1,7000,6,,,"Instructeur Razuvious",,,,,,,,,,,,,,0xFF01FE,,
690,533,0,7000,7,,,"Gothik le Moissonneur",,,,,,,,,,,,,,0xFF01FE,,
691,533,1,8000,7,,,"Gothik le Moissonneur",,,,,,,,,,,,,,0xFF01FE,,
692,533,0,8000,8,,,"Les quatre cavaliers",,,,,,,,,,,,,,0xFF01FE,,
693,533,1,9000,8,,,"Les quatre cavaliers",,,,,,,,,,,,,,0xFF01FE,,
694,533,0,9000,9,,,"Le Recousu",,,,,,,,,,,,,,0xFF01FE,,
695,533,1,10000,9,,,"Le Recousu",,,,,,,,,,,,,,0xFF01FE,,
696,533,0,10000,10,,,"Grobbulus",,,,,,,,,,,,,,0xFF01FE,,
697,533,1,11000,10,,,"Grobbulus",,,,,,,,,,,,,,0xFF01FE,,
698,533,0,11000,11,,,"Gluth",,,,,,,,,,,,,,0xFF01FE,,
699,533,1,12000,11,,,"Gluth",,,,,,,,,,,,,,0xFF01FE,,
700,533,0,12000,12,,,"Thaddius",,,,,,,,,,,,,,0xFF01FE,,
701,533,1,13000,12,,,"Thaddius",,,,,,,,,,,,,,0xFF01FE,,
702,533,0,13000,13,,,"Saphiron",,,,,,,,,,,,,,0xFF01FE,,
703,533,1,14000,13,,,"Saphiron",,,,,,,,,,,,,,0xFF01FE,,
704,533,0,14000,14,,,"Kel'Thuzad",,,,,,,,,,,,,,0xFF01FE,,
706,533,1,15000,14,,,"Kel'Thuzad",,,,,,,,,,,,,,0xFF01FE,,
618,534,0,0,0,,,"Rage Froidhiver",,,,,,,,,,,,,,0xFF01FE,,
619,534,0,1000,1,,,"Anetheron",,,,,,,,,,,,,,0xFF01FE,,
620,534,0,2000,2,,,"Kaz'rogal",,,,,,,,,,,,,,0xFF01FE,,
621,534,0,3000,3,,,"Azgalor",,,,,,,,,,,,,,0xFF01FE,,
622,534,0,4000,4,,,"Archimonde",,,,,,,,,,,,,,0xFF01FE,,
407,540,0,0,0,,,"Grand démoniste Néanathème",,,,,,,,,,,,,,0xFF01FE,,
408,540,1,1000,0,,,"Grand démoniste Néanathème",,,,,,,,,,,,,,0xFF01FE,,
410,540,0,1000,1,,,"Porteguerre O'mrogg",,,,,,,,,,,,,,0xFF01FE,,
409,540,1,2000,1,,,"Garde de sang Porung",,,,,,,,,,,,,,0xFF01FE,,
412,540,0,2000,2,,,"Chef de guerre Kargath Lamepoing",,,,,,,,,,,,,,0xFF01FE,,
411,540,1,3000,2,,,"Porteguerre O'mrogg",,,,,,,,,,,,,,0xFF01FE,,
413,540,1,4000,3,,,"Chef de guerre Kargath Lamepoing",,,,,,,,,,,,,,0xFF01FE,,
401,542,0,0,0,,,"Le Faiseur",,,,,,,,,,,,,,0xFF01FE,,
402,542,1,1000,0,,,"Le Faiseur",,,,,,,,,,,,,,0xFF01FE,,
403,542,0,1000,1,,,"Broggok",,,,,,,,,,,,,,0xFF01FE,,
404,542,1,2000,1,,,"Broggok",,,,,,,,,,,,,,0xFF01FE,,
405,542,0,2000,2,,,"Keli'dan le Briseur",,,,,,,,,,,,,,0xFF01FE,,
406,542,1,3000,2,,,"Keli'dan le Briseur",,,,,,,,,,,,,,0xFF01FE,,
392,543,0,0,0,,,"Gardien des guetteurs Gargolmar",,,,,,,,,,,,,,0xFF01FE,,
393,543,1,1000,0,,,"Gardien des guetteurs Gargolmar",,,,,,,,,,,,,,0xFF01FE,,
394,543,0,1000,1,,,"Omor l'Intouché",,,,,,,,,,,,,,0xFF01FE,,
395,543,1,2000,1,,,"Omor l'Intouché",,,,,,,,,,,,,,0xFF01FE,,
396,543,0,2000,2,,,"Vazruden le Héraut",,,,,,,,,,,,,,0xFF01FE,,
397,543,1,3000,2,,,"Vazruden le Héraut",,,,,,,,,,,,,,0xFF01FE,,
651,544,0,0,0,,,"Magtheridon",,,,,,,,,,,,,,0xFF01FE,,
314,545,0,0,0,,,"Hydromancienne Thespia",,,,,,,,,,,,,,0xFF01FE,,
315,545,1,1000,0,,,"Hydromancienne Thespia",,,,,,,,,,,,,,0xFF01FE,,
316,545,0,1000,1,,,"Mekgénieur Montevapeur",,,,,,,,,,,,,,0xFF01FE,,
317,545,1,2000,1,,,"Mekgénieur Montevapeur",,,,,,,,,,,,,,0xFF01FE,,
318,545,0,2000,2,,,"Seigneur de guerre Kalithresh",,,,,,,,,,,,,,0xFF01FE,,
319,545,1,3000,2,,,"Seigneur de guerre Kalithresh",,,,,,,,,,,,,,0xFF01FE,,
320,546,0,0,0,,,"Hungarfen",,,,,,,,,,,,,,0xFF01FE,,
321,546,1,1000,0,,,"Hungarfen",,,,,,,,,,,,,,0xFF01FE,,
322,546,0,1000,1,,,"Ghaz'an",,,,,,,,,,,,,,0xFF01FE,,
323,546,1,2000,1,,,"Ghaz'an",,,,,,,,,,,,,,0xFF01FE,,
329,546,0,2000,2,,,"Seigneur des marais Musel'ek",,,,,,,,,,,,,,0xFF01FE,,
330,546,1,3000,2,,,"Seigneur des marais Musel'ek",,,,,,,,,,,,,,0xFF01FE,,
