long,str,long,long,long,long,long,long,long,long,long,long,float,float,float,float,float,float,long,
32,"World\Generic\PassiveDoodads\Barrel\Barrel01.mdx",0,0,0,0,0,0,0,0,0,0,-0.430319011211,-0.467806011438,-0.00125600001775,0.428833007813,0.524257004261,0.992063999176,0,
33,"World\Generic\Dwarf\Passive Doodads\PowderKegs\PowderKeg01.mdx",0,0,0,0,0,0,0,0,0,0,-0.308737009764,-0.360661000013,-0.00120900000911,0.309601008892,0.353334009647,0.967671990395,0,
36,"World\Generic\Human\Passive Doodads\CargoBoxes\DeadMineCargoBoxes.mdx",0,0,0,0,0,0,0,0,0,0,-1.27823996544,-1.14332997799,-0.0191990006715,1.29420995712,1.11952996254,1.75955998898,0,
39,"World\Generic\Human\Passive Doodads\Chairs\GeneralChairLoEnd01.mdx",0,0,0,0,0,0,0,0,0,0,-0.998546004295,-0.553206026554,-0.00698899989948,0.178929999471,0.553206026554,1.32781994343,0,
41,"World\Generic\ActiveDoodads\Chest03\Chest03.mdx",0,1277,0,0,0,0,0,0,0,0,-0.394600987434,-0.590637028217,0.00502400007099,0.39359998703,0.589134991169,0.62355697155,0,
42,"World\Generic\PassiveDoodads\ParticleEmitters\Bubbles01.mdx",0,0,0,0,0,0,0,0,0,0,-0.0490650013089,-0.0267980005592,-0.121092997491,0.0470849983394,0.0564710013568,-0.0617909990251,0,
43,"World\Generic\Human\Passive Doodads\BookStacks\GeneralBookStackTall01.mdx",0,0,0,0,0,0,0,0,0,0,-0.535453021526,-0.232565999031,-0.000654999981634,0.259488999844,0.617247998714,0.711103975773,0,
45,"World\Generic\PassiveDoodads\ParticleEmitters\Blacksmith_smoke.mdx",0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0,
47,"World\Azeroth\SwampOSorrow\PassiveDoodads\Plants\SwampSorrowRoot03.mdx",0,0,0,0,0,0,0,0,0,0,-1.29296994209,-1.17870998383,-0.60938000679,1.29296994209,1.80727994442,3.79957008362,0,
48,"World\Generic\ActiveDoodads\Rocks\GemRock01.mdx",0,0,0,0,0,0,0,0,0,0,-2.01293992996,-2.02919006348,-2.33958005905,1.01929998398,2.05854988098,3.6097099781,0,
49,"World\Lordaeron\TirisfalGlade\PassiveDoodads\Graves\TirisfallGraveDirtMound01.mdx",0,0,0,0,0,0,0,0,0,0,-2.17289996147,-2.18740010262,-0.5527099967,2.19240999222,2.17791008949,0.831942975521,0,
51,"World\Generic\PassiveDoodads\Furniture\Containers\TitanChest.mdx",0,11982,0,11983,0,0,0,0,0,0,-1.70467996597,-2.40984010696,-0.1589410007,1.35350000858,2.42825007439,2.18952989578,0,
52,"World\Generic\PassiveDoodads\Furniture\Containers\TitanVase01.mdx",0,0,0,0,0,0,0,0,0,0,-1.20937001705,-1.23660004139,-0.0882209986448,1.25639998913,1.22916996479,3.14796996117,0,
53,"World\Generic\PassiveDoodads\Furniture\Containers\TitanVase02.mdx",0,0,0,0,0,0,0,0,0,0,-0.683889985085,-0.69697201252,-0.060745999217,0.730913996696,0.717832028866,3.17545008659,0,
56,"World\Generic\Dwarf\Passive Doodads\Steins\DwarvenStein02.mdx",0,0,0,0,0,0,0,0,0,0,-0.146552994847,-0.192744001746,0.00271699996665,0.150837004185,0.276062011719,0.632111012936,0,
58,"World\Azeroth\Elwynn\PassiveDoodads\BattleGladeShield1\BattleGladeShield1.mdx",0,0,0,0,0,0,0,0,0,0,-0.589119017124,-0.742138981819,-0.00517999986187,1.0755699873,0.462491989136,0.0997010022402,0,
60,"World\Azeroth\Duskwood\PassiveDoodads\Bush\Pumpkin01.mdx",0,0,0,0,0,0,0,0,0,0,-0.833387970924,-0.963886976242,-0.429948985577,0.859422981739,2.47488999367,1.52910995483,0,
63,"World\Generic\Human\Passive Doodads\Flowers\FlowersBunch02.mdx",0,0,0,0,0,0,0,0,0,0,-0.215349003673,-0.428977996111,-0.114426001906,0.236487001181,0.389099985361,0.336755990982,0,
70,"World\Generic\Human\Passive Doodads\Weapons&Armor\HumanMace02.mdx",0,0,0,0,0,0,0,0,0,0,-0.369800001383,-0.170200005174,-0.103035002947,0.989139020443,0.163201004267,0.185699000955,0,
90,"World\Azeroth\Stranglethorn\PassiveDoodads\Waterfall\StranglethornWaterfall01.mdx",0,0,0,0,0,0,0,0,0,0,-1.58719003201,-2.41945004463,0.0,0.268263012171,2.41687011719,8.73418998718,0,
91,"World\Generic\Human\Passive Doodads\Chairs\GeneralMedChair01.mdx",0,0,0,0,0,0,0,0,0,0,-0.870824992657,-0.584936976433,-0.110371001065,0.151191994548,0.584936976433,1.65285003185,0,
92,"World\Generic\Human\Passive Doodads\Chairs\GeneralChairHighEnd01.mdx",0,0,0,0,0,0,0,0,0,0,-0.763095974922,-0.80129301548,-0.00238600000739,0.152753993869,0.80012100935,2.08003997803,0,
95,"World\Generic\PassiveDoodads\ParticleEmitters\HouseSmoke.mdx",0,0,0,0,0,0,0,0,0,0,-1.32967996597,-1.14321005344,-0.0606339983642,1.06843996048,1.15064001083,9.05107975006,0,
100,"World\Generic\PassiveDoodads\Lights\Candle01.mdx",0,0,0,0,0,0,0,0,0,0,-0.118401996791,-0.12108399719,0.0,0.121457003057,0.118775002658,0.564087986946,0,
105,"World\Generic\Human\Passive Doodads\Books\BookMedium01.mdx",0,0,0,0,0,0,0,0,0,0,-0.113821998239,-0.222140997648,0.000167000005604,0.0984079986811,0.225543007255,0.604027986526,0,
107,"World\Generic\Human\Passive Doodads\BookStacks\GeneralBookStackShort01.mdx",0,0,0,0,0,0,0,0,0,0,-0.535453021526,-0.232565999031,0.0,0.259488999844,0.337556988001,0.350055992603,0,
112,"World\Generic\Dwarf\Passive Doodads\PowderKegs\PowderKegFused.mdx",0,0,0,0,0,0,0,0,0,0,-0.308737009764,-0.360661000013,-0.00120900000911,0.309601008892,0.353334009647,0.967671990395,0,
113,"World\Generic\PassiveDoodads\Crate02\Crate02.mdx",0,0,0,0,0,0,0,0,0,0,-0.435710012913,-0.763770997524,0.00315100001171,0.428923010826,0.764006972313,0.503345012665,0,
114,"World\Generic\Human\Passive Doodads\Food&Utensils\TurkeyLeg.mdx",0,0,0,0,0,0,0,0,0,0,-0.420042008162,-0.193694993854,-0.00625299988315,0.433622002602,0.175586998463,0.347467005253,0,
119,"World\Lordaeron\SilverPine\PassiveDoodads\bushes\SilverPineBush01.mdx",0,0,0,0,0,0,0,0,0,0,-3.20788002014,-3.24639010429,-0.330684989691,3.09317994118,2.67965006828,2.70160007477,0,
124,"World\Azeroth\RedRidge\PassiveDoodads\RowBoat\RowBoat01.mdx",0,0,0,0,0,0,0,0,0,0,-6.75665998459,-1.30691003799,-0.197767004371,1.5834300518,2.98310995102,1.45772004128,0,
130,"World\Generic\Human\Passive Doodads\WeaponRacks\GeneralWeaponrack01.mdx",0,0,0,0,0,0,0,0,0,0,-0.5983710289,-0.348473012447,-0.123033002019,0.694301009178,0.708826005459,2.78550004959,0,
131,"World\Azeroth\Elwynn\PassiveDoodads\Catapult\Catapult.mdx",0,0,0,0,0,0,0,0,0,0,-3.93786001205,-4.90347003937,0.012082000263,5.20662021637,4.93645000458,3.40732002258,0,
133,"World\Generic\PassiveDoodads\ParticleEmitters\SunkenFlame01.mdx",0,0,0,0,0,0,0,0,0,0,-0.112680003047,-0.120727002621,-0.0254670009017,0.099025003612,0.108447998762,-0.000460000010207,0,
134,"World\Azeroth\Duskwood\PassiveDoodads\Fence\RockWallRubble.mdx",0,0,0,0,0,0,0,0,0,0,-0.877032995224,-0.788389027119,0.0119839999825,0.393397003412,0.580761015415,0.818832993507,0,
137,"World\Generic\Human\Passive Doodads\BookShelves\DuskwoodBookshelf03.mdx",0,0,0,0,0,0,0,0,0,0,-0.316859990358,-1.41078996658,-0.0104390000924,0.566148996353,1.39563000202,3.22739005089,0,
138,"World\Azeroth\Westfall\PassiveDoodads\WestfallChair\WestfallChair.mdx",0,0,0,0,0,0,0,0,0,0,-0.454154014587,-0.340754002333,-0.0152949998155,0.210390001535,0.290681988001,0.531843006611,0,
139,"World\Generic\Human\Passive Doodads\Statues\StatueKhadgar.mdx",0,0,0,0,0,0,0,0,0,0,-7.51443004608,-6.34785985947,-0.0450159981847,8.46288013458,7.2718000412,28.5729999542,0,
148,"World\Azeroth\SwampOSorrow\PassiveDoodads\Plants\SwampSorrowRoot02.mdx",0,0,0,0,0,0,0,0,0,0,-0.891996979713,-1.02404999733,-0.875777006149,2.41725993156,1.9083199501,4.62550020218,0,
150,"World\Generic\Human\Passive Doodads\SignPosts\HumanSignPostPointer04.mdx",0,0,0,0,0,0,0,0,0,0,-0.0902889966965,0.0833820030093,3.46316003799,0.0902900025249,1.75585997105,3.90738010406,0,
151,"World\Generic\Human\Passive Doodads\Tables\BloodyTable1.mdx",0,0,0,0,0,0,0,0,0,0,-1.43225002289,-1.99187004566,-0.000622000021394,1.43225002289,1.99187004566,2.15951991081,0,
153,"World\Generic\Human\Passive Doodads\CatapultRuins\CatapultBall01.mdx",0,0,0,0,0,0,0,0,0,0,-1.24866998196,-1.24734997749,-1.24131000042,1.23395001888,1.23527002335,1.24131000042,0,
154,"World\Generic\Human\Passive Doodads\DogHouses\DogHouse.mdx",0,0,0,0,0,0,0,0,0,0,-1.43262994289,-1.03082001209,-0.110371001065,1.49409997463,1.04894995689,1.93449997902,0,
155,"World\Azeroth\Elwynn\PassiveDoodads\Detail\ElwynnMushroom01\ElwynnMushroom01.mdx",0,0,0,0,0,0,0,0,0,0,-0.625409007072,-0.546413004398,-0.0140380002558,0.553417026997,0.423247992992,0.392410993576,0,
156,"World\Generic\Human\Passive Doodads\Posters\MissingPoster01.mdx",0,0,0,0,0,0,0,0,0,0,-0.214215993881,-0.506723999977,-1.65218997002,0.116201996803,0.522480010986,2.49743008614,0,
159,"World\Generic\Human\Passive Doodads\Rugs\StormwindRug01.mdx",0,0,0,0,0,0,0,0,0,0,-1.47183001041,-1.38707995415,0.000207999997656,1.62612998486,1.41747999191,0.0138889998198,0,
163,"World\Generic\Human\Passive Doodads\Scrolls\ScrollA02.mdx",0,0,0,0,0,0,0,0,0,0,-0.53071397543,-0.380362987518,0.004418999888,0.517912983894,0.420161992311,0.13592299819,0,
164,"World\Generic\Human\Passive Doodads\Scrolls\ScrollB01.mdx",0,0,0,0,0,0,0,0,0,0,-0.459744006395,-0.158427000046,0.00144100002944,0.444362998009,0.139009997249,0.139257997274,0,
166,"World\Azeroth\Elwynn\PassiveDoodads\Anvil\Anvil.mdx",0,0,0,0,0,0,0,0,0,0,-0.684273004532,-0.354708999395,3.00000010611e-006,0.774385988712,0.358392000198,0.968424022198,0,
169,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\FLORIST01.MDX",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
170,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\WINESHOPSIGN01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662114024162,2.10347008705,2.8602399826,0.718585014343,8.46695041656,0,
171,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\ARMORERSHOP01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
172,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\FLETCHERSHOP01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
173,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\WEAPONSMITHSHOP01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
174,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\ALCHEMISTSSHOP01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662114024162,2.10347008705,2.8602399826,0.718585014343,8.46695041656,0,
175,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\BANK01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
176,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\GENERALSTORE01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
177,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\VISITORSCENTER01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662114024162,2.10347008705,2.8602399826,0.718585014343,8.46695041656,0,
178,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\CHEESESHOP01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
179,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\TAILOR01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
180,"WORLD\GENERIC\HUMAN\PASSIVE DOODADS\SIGNS\TAVERN01.MDL",0,0,0,0,0,0,0,0,0,0,-5.97968006134,-0.662110984325,2.10347008705,2.8602399826,0.718581020832,8.46695041656,0,
181,"World\Generic\Human\Passive Doodads\BallandChain\BallAndChain01.mdx",0,0,0,0,0,0,0,0,0,0,-0.259523004293,-0.257961004972,-0.143469005823,0.490956008434,0.994252979755,0.47267600894,0,
183,"World\Generic\Human\Passive Doodads\Scrolls\ScrollB03.mdx",0,0,0,0,0,0,0,0,0,0,-0.457307010889,-0.396275013685,-0.00705000013113,0.455760985613,0.412793010473,0.147517994046,0,
184,"World\Generic\Human\Passive Doodads\Books\BookLarge01.mdx",0,0,0,0,0,0,0,0,0,0,-0.126387000084,-0.337696999311,0.00232800003141,0.114266000688,0.3507809937,1.17455995083,0,
185,"World\Generic\Human\Passive Doodads\Books\BookLarge02.mdx",0,0,0,0,0,0,0,0,0,0,-0.126514002681,-0.385116994381,0.000167000005604,0.114137999713,0.391068994999,1.04838001728,0,
186,"WORLD\GENERIC\ORC\PASSIVE DOODADS\WANTEDPOSTERS\WANTEDPOSTERSCROLL01.MDL",0,0,0,0,0,0,0,0,0,0,-0.106444999576,-0.680751979351,0.802495002747,0.225400000811,0.70494300127,2.80599999428,0,
187,"World\Generic\Human\Passive Doodads\BookShelves\DuskwoodBookshelf02.mdx",0,0,0,0,0,0,0,0,0,0,-0.316859990358,-1.41138005257,-0.002979000099,0.566148996353,1.39503002167,1.78118002415,0,
188,"World\Generic\Human\Passive Doodads\BookShelves\DuskwoodBookshelf01.mdx",0,0,0,0,0,0,0,0,0,0,-0.316859990358,-1.40665996075,-0.0104390000924,0.566148996353,1.39976000786,4.07845020294,0,
189,"World\Generic\Human\Passive Doodads\BookShelves\AbbeyShelf01.mdx",0,0,0,0,0,0,0,0,0,0,-1.86723005772,-0.78097397089,0.0121520003304,1.68884003162,0.765141010284,5.07309007645,0,
190,"World\Generic\Human\Passive Doodads\Scrolls\ScrollB02.mdx",0,0,0,0,0,0,0,0,0,0,-0.457042008638,-0.375353008509,-0.00705000013113,0.45601901412,0.433708012104,0.147517994046,0,
191,"World\Generic\Dwarf\Passive Doodads\Dynamite\GunShopDynamiteBundle.mdx",0,0,0,0,0,0,0,0,0,0,-0.134296998382,-0.123906999826,-0.000250000011874,0.125214993954,0.128561004996,0.752581000328,0,
192,"World\Azeroth\Elwynn\PassiveDoodads\Campfire\ElwynnCampfire.mdx",0,0,0,0,0,0,0,0,0,0,-0.864040970802,-1.0068000555,-0.0993710011244,1.16505002975,1.12882995605,0.711570978165,0,
193,"World\Azeroth\Westfall\PassiveDoodads\Tombstones\TombStone01.mdx",0,0,0,0,0,0,0,0,0,0,-0.576270997524,-1.1793500185,0.0,0.523145020008,1.18737995625,1.56280004978,0,
194,"World\Generic\Human\Passive Doodads\Braziers\HumanBrazierMagic.mdx",0,0,0,0,0,0,0,0,0,0,-1.15857994556,-1.11514997482,-0.0432929992676,1.15857994556,1.1091799736,0.724081993103,0,
195,"World\Generic\Human\Passive Doodads\SignPosts\HumanSignPostPointer03.mdx",0,0,0,0,0,0,0,0,0,0,-0.0902889966965,0.0587369985878,3.46316003799,0.0902900025249,1.73122000694,3.90738010406,0,
196,"WORLD\AZEROTH\ELWYNN\PASSIVEDOODADS\SIGNS\SHOP\HUMANBLACKSMITHSIGN.MDX",0,0,0,0,0,0,0,0,0,0,-0.136721000075,-0.828006029129,0.676894009113,0.15630300343,0.674827992916,2.18664002419,0,
197,"WORLD\GENERIC\DWARF\PASSIVE DOODADS\BRAZIERS\DWARVENBRAZIER02.MDX",0,0,0,0,0,0,3255,0,0,0,-0.915952026844,-0.917454004288,-0.00337400007993,0.919102013111,0.917599976063,1.44270002842,0,
199,"World\Generic\Human\Passive Doodads\firewood\FirewoodPile01.mdx",0,0,0,0,0,0,3347,0,0,0,-0.570927977562,-0.789478003979,-0.000982000026852,1.05221998692,0.5381270051,0.883677005768,0,
200,"World\Azeroth\BurningSteppes\PassiveDoodads\Bonfire\OrcBonFire.mdx",0,0,3244,0,0,0,0,0,0,0,-2.13069009781,-2.1428000927,-0.298550993204,1.6301599741,1.83490002155,5.42171001434,0,
201,"World\Generic\Orc\Passive Doodads\Braziers\SmallBrazier01.mdx",0,0,0,0,0,0,0,0,0,0,-0.992551028728,-1.30648005009,-0.167208001018,1.19801998138,1.4186899662,2.36329007149,0,
202,"World\Generic\Orc\Passive Doodads\WantedPosters\WantedPosterWood01.mdx",0,0,0,0,0,0,0,0,0,0,0.0,-0.368584990501,-0.0452589988708,0.0477240011096,0.389016985893,1.10368001461,0,
203,"World\Generic\Human\Passive Doodads\SignPosts\HumanSignPostPointer05.mdx",0,0,0,0,0,0,0,0,0,0,-0.0902889966965,0.114996001124,3.46316003799,0.0902900025249,1.78747999668,3.90738010406,0,
204,"World\Azeroth\BurningSteppes\PassiveDoodads\SmeltingWeapons\SmeltingWeapons.mdx",0,0,0,0,0,0,0,0,0,0,-0.74371701479,-1.32395994663,0.143212005496,0.713532984257,1.42613005638,0.458631008863,0,
205,"World\Azeroth\BurningSteppes\PassiveDoodads\LavaPillar\LavaPillar01.mdx",0,0,0,0,0,0,0,0,0,0,-1.67894995213,-1.9285800457,-1.53408002853,1.62489998341,1.8863799572,7.69062995911,0,
206,"World\Azeroth\BurningSteppes\PassiveDoodads\LavaAltar\LavaAltar.mdx",0,0,0,0,0,0,0,0,0,0,-3.30431008339,-5.60474014282,-0.801410019398,4.07169008255,4.67476987839,2.22271990776,0,
207,"World\Azeroth\BurningSteppes\PassiveDoodads\LavaShrine\LavaShrine01.mdx",0,0,0,0,0,0,0,0,0,0,-3.90183997154,-3.15093994141,-0.402222007513,3.31139993668,3.0074698925,8.97776031494,0,
208,"World\Azeroth\BurningSteppes\PassiveDoodads\OrcAnvilStoneBurningSteppes\OrcAnvilStoneBurningSteppes.mdx",0,0,0,0,0,0,0,0,0,0,-0.726445019245,-1.7619600296,-0.00685200002044,1.27691996098,1.38139998913,1.06939995289,0,
209,"World\Azeroth\BurningSteppes\PassiveDoodads\OrcFoundryPit\OrcSmallFoundryPit.mdx",0,0,3347,0,0,0,0,0,0,0,-0.973748981953,-1.1274600029,0.00018600000476,0.972882986069,1.1203199625,1.56784999371,0,
210,"World\Goober\G_Scroll01.mdx",0,0,0,0,1401,0,1401,0,0,0,-0.53071397543,-0.380362987518,0.004418999888,0.517912983894,0.420161992311,0.13592299819,0,
211,"World\Generic\Dwarf\Passive Doodads\DwarfCorpse\CorpseSkeletonDwarf.mdx",0,0,0,0,0,0,0,0,0,0,-0.828778982162,-0.77139800787,-0.106108002365,0.805249989033,0.807720005512,0.348123013973,0,
212,"World\Azeroth\Stranglethorn\PassiveDoodads\SerpentStatue02\SerpentStatue02.mdx",0,0,0,0,0,0,0,0,0,0,-2.23972988129,-0.561092019081,-0.0671949982643,1.51947999001,0.561092019081,4.79235982895,0,
213,"World\Azeroth\Elwynn\PassiveDoodads\jugs\jug01.mdx",0,0,0,0,0,0,0,0,0,0,-0.251964986324,-0.288504987955,5.80000014452e-005,0.248858004808,0.284027010202,0.686838984489,0,
214,"World\Generic\PassiveDoodads\Plaque\PlaqueBronze02.mdx",0,0,0,0,0,0,0,0,0,0,-0.000854999991134,-0.355506002903,0.00292599992827,0.0675489977002,0.361032992601,0.425148993731,0,
215,"WORLD\GENERIC\PASSIVEDOODADS\MISC\WHEELBARROW\CAVEMINEWHEELBARROW01.MDX",0,0,0,0,0,0,0,0,0,0,-1.72775995731,-0.788115024567,-0.00878299959004,1.15820002556,0.796854019165,1.23081994057,0,
216,"World\Generic\Human\Passive Doodads\Cauldrons\Cauldron.mdx",0,0,0,0,0,0,3379,0,0,0,-0.807460010052,-1.12179994583,-0.0422880016267,0.97244399786,0.900826990604,1.52691996098,0,
217,"World\Azeroth\Elwynn\PassiveDoodads\Skeleton\BattleGladeSkullHumanDark.mdx",0,0,0,0,0,0,0,0,0,0,-0.196285992861,-0.145036995411,-0.0166469998658,0.170490995049,0.126421004534,0.208791002631,0,
218,"World\Lordaeron\TirisfalGlade\PassiveDoodads\UtherShrine\UtherShrinePedestal.mdx",0,0,0,0,0,0,0,0,0,0,-0.318212002516,-0.569793999195,0.00309200002812,0.304010003805,0.568872988224,1.1720199585,0,
219,"World\Dungeon\Cave\PassiveDoodads\Crystals\CaveMineCrystalFormation06.mdx",0,0,0,0,0,0,0,0,0,0,-0.927020013332,-1.46593999863,-0.0868770033121,1.15082001686,1.35288000107,2.31627988815,0,
