long,long,long,long,long,long,long,long,long,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
1,7,-1,-1,0,0,0,0,3,0x0,,,"Sac de travail du cuir",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
1,8,-1,-1,0,0,3,0,3,0x0,,,"Sac de calligraphie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
2,0,-1,1,3,0,2,2,3,0x1,,,"Hache",,,,,,,,,,,,,,0xFF01FE,,,"Haches à une main",,,,,,,,,,,,,,0xFF01FE,
2,1,0,-1,3,0,0,0,0,0x2,,,"Hache",,,,,,,,,,,,,,0xFF01FE,,,"Haches à deux mains",,,,,,,,,,,,,,0xFF01FE,
2,2,-1,-1,128,0,3,3,2,0x1,,,"Arc",,,,,,,,,,,,,,0xFF01FE,,,"Arcs",,,,,,,,,,,,,,0xFF01FE,
2,3,-1,-1,168,0,3,4,4,0x1,,,"Arme à feu",,,,,,,,,,,,,,0xFF01FE,,,"Fusils",,,,,,,,,,,,,,0xFF01FE,
2,4,-1,5,3,0,2,2,3,0x1,,,"Masse",,,,,,,,,,,,,,0xFF01FE,,,"Masses à une main",,,,,,,,,,,,,,0xFF01FE,
2,5,4,-1,3,0,0,0,0,0x2,,,"Masse",,,,,,,,,,,,,,0xFF01FE,,,"Masses à deux mains",,,,,,,,,,,,,,0xFF01FE,
2,6,-1,-1,3,0,1,1,1,0x2,,,"Arme d'hast",,,,,,,,,,,,,,0xFF01FE,,,"Armes d'hast",,,,,,,,,,,,,,0xFF01FE,
2,7,-1,8,3,0,2,2,3,0x1,,,"Epée",,,,,,,,,,,,,,0xFF01FE,,,"Epées à une main",,,,,,,,,,,,,,0xFF01FE,
2,8,7,-1,3,0,0,0,0,0x2,,,"Epée",,,,,,,,,,,,,,0xFF01FE,,,"Epées à deux mains",,,,,,,,,,,,,,0xFF01FE,
2,9,-1,-1,0,3,3,2,3,0x1,,,"Obsolète",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
2,10,-1,-1,3,0,1,1,1,0x2,,,"Bâton",,,,,,,,,,,,,,0xFF01FE,,,"Bâtons",,,,,,,,,,,,,,0xFF01FE,
2,11,-1,12,0,3,3,2,3,0x1,,,"Spéciale",,,,,,,,,,,,,,0xFF01FE,,,"Armes exotiques à une main",,,,,,,,,,,,,,0xFF01FE,
2,12,11,-1,0,3,3,2,3,0x2,,,"Spéciale",,,,,,,,,,,,,,0xFF01FE,,,"Armes exotiques à deux mains",,,,,,,,,,,,,,0xFF01FE,
2,13,-1,-1,5,0,3,2,3,0x0,,,"Arme de pugilat",,,,,,,,,,,,,,0xFF01FE,,,"Armes de pugilat",,,,,,,,,,,,,,0xFF01FE,
2,14,-1,-1,2,1,3,2,3,0x1,,,"Divers",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
2,15,-1,-1,3,0,2,2,3,0x0,,,"Dague",,,,,,,,,,,,,,0xFF01FE,,,"Dagues",,,,,,,,,,,,,,0xFF01FE,
2,16,-1,-1,16,0,3,5,5,0x1,,,"Armes de jet",,,,,,,,,,,,,,0xFF01FE,,,"Armes de jet",,,,,,,,,,,,,,0xFF01FE,
2,17,-1,-1,3,2,1,1,1,0x2,,,"Lance",,,,,,,,,,,,,,0xFF01FE,,,"Lances",,,,,,,,,,,,,,0xFF01FE,
2,18,-1,-1,160,0,3,4,4,0x1,,,"Arbalète",,,,,,,,,,,,,,0xFF01FE,,,"Arbalètes",,,,,,,,,,,,,,0xFF01FE,
2,19,-1,-1,256,0,3,2,3,0x1,,,"Baguette",,,,,,,,,,,,,,0xFF01FE,,,"Baguettes",,,,,,,,,,,,,,0xFF01FE,
2,20,-1,-1,0,0,1,1,1,0x2,,,"Canne à pêche",,,,,,,,,,,,,,0xFF01FE,,,"Cannes à pêche",,,,,,,,,,,,,,0xFF01FE,
3,0,-1,-1,0,1,0,0,0,0x0,,,"Rouge",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
3,1,-1,-1,0,1,3,2,3,0x0,,,"Bleue",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
3,2,-1,-1,0,1,3,2,3,0x0,,,"Jaune",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
3,3,-1,-1,0,1,3,2,3,0x0,,,"Violette",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
3,4,-1,-1,0,1,3,2,3,0x0,,,"Verte",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
3,5,-1,-1,0,1,3,2,3,0x0,,,"Orange",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
3,6,-1,-1,0,1,3,2,3,0x0,,,"Méta",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
3,7,-1,-1,0,1,3,2,3,0x0,,,"Simple",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
3,8,-1,-1,0,1,3,2,3,0x0,,,"Prismatique",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
4,0,-1,-1,512,1,0,0,3,0x0,,,"Divers",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
4,1,-1,-1,512,0,0,0,3,0x0,,,"Tissu",,,,,,,,,,,,,,0xFF01FE,,,"Tissu",,,,,,,,,,,,,,0xFF01FE,
4,2,-1,-1,512,0,0,0,3,0x0,,,"Cuir",,,,,,,,,,,,,,0xFF01FE,,,"Cuir",,,,,,,,,,,,,,0xFF01FE,
4,3,-1,-1,512,0,0,0,3,0x0,,,"Mailles",,,,,,,,,,,,,,0xFF01FE,,,"Mailles",,,,,,,,,,,,,,0xFF01FE,
4,4,-1,-1,512,0,0,0,3,0x0,,,"Plaques",,,,,,,,,,,,,,0xFF01FE,,,"Plaques",,,,,,,,,,,,,,0xFF01FE,
4,5,-1,-1,0,2,0,0,3,0x0,,,"Targe(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,,,"Targes",,,,,,,,,,,,,,0xFF01FE,
4,6,5,-1,0,0,0,0,3,0x0,,,"Bouclier",,,,,,,,,,,,,,0xFF01FE,,,"Boucliers",,,,,,,,,,,,,,0xFF01FE,
4,7,-1,-1,0,0,0,0,3,0x0,,,"Libram",,,,,,,,,,,,,,0xFF01FE,,,"Librams",,,,,,,,,,,,,,0xFF01FE,
4,8,-1,-1,0,0,0,0,3,0x0,,,"Idole",,,,,,,,,,,,,,0xFF01FE,,,"Idoles",,,,,,,,,,,,,,0xFF01FE,
4,9,-1,-1,0,0,0,0,3,0x0,,,"Totem",,,,,,,,,,,,,,0xFF01FE,,,"Totems",,,,,,,,,,,,,,0xFF01FE,
4,10,-1,-1,0,0,0,0,3,0x0,,,"Cachet",,,,,,,,,,,,,,0xFF01FE,,,"Cachets",,,,,,,,,,,,,,0xFF01FE,
5,0,-1,-1,0,1,3,2,3,0x0,,,"Réactif",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
6,0,-1,-1,0,3,0,0,3,0x0,,,"Baguette(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
6,1,-1,-1,0,2,0,0,3,0x0,,,"Carreau(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
6,2,-1,-1,0,0,0,0,3,0x0,,,"Flèche",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
6,3,-1,-1,0,0,0,0,3,0x0,,,"Balle",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
6,4,-1,-1,64,2,3,2,3,0x0,,,"Arme de jet(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
7,0,-1,-1,0,3,3,2,3,0x0,,,"Artisanat",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
7,10,-1,-1,0,1,3,2,3,0x0,,,"Élémentaire",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,5,-1,-1,0,1,3,2,3,0x0,,,"Tissu",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,6,-1,-1,0,1,3,2,3,0x0,,,"Cuir",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,7,-1,-1,0,1,3,2,3,0x0,,,"Métal & pierre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,8,-1,-1,0,1,3,2,3,0x0,,,"Viande",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,9,-1,-1,0,1,3,2,3,0x0,,,"Herbes",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,12,-1,-1,0,1,3,2,3,0x0,,,"Enchantement",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,4,-1,-1,0,1,3,2,3,0x0,,,"Joaillerie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,1,-1,-1,0,1,3,2,3,0x0,,,"Eléments",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
7,3,-1,-1,0,1,3,2,3,0x0,,,"Appareils",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
7,2,-1,-1,0,1,3,2,3,0x0,,,"Explosifs",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
7,13,-1,-1,0,1,3,2,3,0x0,,,"Matériaux",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,11,-1,-1,0,1,3,2,3,0x0,,,"Autre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
7,14,-1,-1,0,1,3,2,3,0x0,,,"Enchantement d'armure",,,,,,,,,,,,,,0xFF01FE,,,"Enchantement d'armure",,,,,,,,,,,,,,0xFF01FE,
7,15,-1,-1,0,1,3,2,3,0x0,,,"Enchantement d'arme",,,,,,,,,,,,,,0xFF01FE,,,"Enchantement d'arme",,,,,,,,,,,,,,0xFF01FE,
8,0,-1,-1,0,1,3,2,3,0x0,,,"Générique(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,0,-1,-1,0,1,3,2,3,0x0,,,"Livre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,1,-1,-1,0,1,3,2,3,0x0,,,"Travail du cuir",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,2,-1,-1,0,1,3,2,3,0x0,,,"Couture",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,3,-1,-1,0,1,3,2,3,0x0,,,"Ingénierie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,4,-1,-1,0,1,3,2,3,0x0,,,"Forge",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,5,-1,-1,0,1,3,2,3,0x0,,,"Cuisine",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,6,-1,-1,0,1,3,2,3,0x0,,,"Alchimie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,7,-1,-1,0,1,3,2,3,0x0,,,"Secourisme",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,8,-1,-1,0,1,3,2,3,0x0,,,"Enchantement",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,9,-1,-1,0,1,3,2,3,0x0,,,"Pêche",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
9,10,-1,-1,0,1,3,2,3,0x0,,,"Joaillerie",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
9,11,-1,-1,0,1,3,2,3,0x0,,,"Calligraphie",,,,,,,,,,,,,,0xFF01FE,,,"Calligraphie",,,,,,,,,,,,,,0xFF01FE,
10,0,-1,-1,0,1,3,2,3,0x0,,,"Argent(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
11,0,-1,-1,0,7,0,0,3,0x0,,,"Carquois(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
11,1,-1,-1,0,7,0,0,3,0x0,,,"Carquois(OBSOLETE)",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
11,2,-1,-1,0,4,0,0,3,0x0,,,"Carquois",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
11,3,-1,-1,0,4,0,0,3,0x0,,,"Giberne",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
12,0,-1,-1,0,1,3,2,3,0x0,,,"Quête",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
13,0,-1,-1,0,1,3,2,3,0x0,,,"Clé",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
13,1,-1,-1,0,1,3,2,3,0x0,,,"Crochetage",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
14,0,-1,-1,0,1,3,2,3,0x0,,,"Permanent",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
15,0,-1,-1,0,1,3,2,3,0x0,,,"Camelote",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,
15,1,-1,-1,0,1,3,2,3,0x0,,,"Réactif",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
15,2,-1,-1,0,1,3,2,3,0x0,,,"Familier",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
15,3,-1,-1,0,1,3,2,3,0x0,,,"Fête",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
15,4,-1,-1,0,1,3,2,3,0x0,,,"Autre",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01EC,
15,5,-1,-1,0,0,3,2,3,0x0,,,"Monture",,,,,,,,,,,,,,0xFF01FE,,,"Monture",,,,,,,,,,,,,,0xFF01FE,
16,1,-1,-1,0,0,0,0,0,0x0,,,"Guerrier",,,,,,,,,,,,,,0xFF01FE,,,"Guerrier",,,,,,,,,,,,,,0xFF01FE,
16,2,-1,-1,0,0,0,0,0,0x0,,,"Paladin",,,,,,,,,,,,,,0xFF01FE,,,"Paladin",,,,,,,,,,,,,,0xFF01FE,
16,3,-1,-1,0,0,0,0,0,0x0,,,"Chasseur",,,,,,,,,,,,,,0xFF01FE,,,"Chasseur",,,,,,,,,,,,,,0xFF01FE,
16,4,-1,-1,0,0,0,0,0,0x0,,,"Voleur",,,,,,,,,,,,,,0xFF01FE,,,"Voleur",,,,,,,,,,,,,,0xFF01FE,
16,5,-1,-1,0,0,0,0,0,0x0,,,"Prêtre",,,,,,,,,,,,,,0xFF01FE,,,"Prêtre",,,,,,,,,,,,,,0xFF01FE,
16,6,-1,-1,0,0,0,0,0,0x0,,,"Ch. de la mort",,,,,,,,,,,,,,0xFF01FE,,,"Chevalier de la mort",,,,,,,,,,,,,,0xFF01FE,
16,7,-1,-1,0,0,0,0,0,0x0,,,"Chaman",,,,,,,,,,,,,,0xFF01FE,,,"Chaman",,,,,,,,,,,,,,0xFF01FE,
16,8,-1,-1,0,0,0,0,0,0x0,,,"Mage",,,,,,,,,,,,,,0xFF01FE,,,"Mage",,,,,,,,,,,,,,0xFF01FE,
16,9,-1,-1,0,0,0,0,0,0x0,,,"Démoniste",,,,,,,,,,,,,,0xFF01FE,,,"Démoniste",,,,,,,,,,,,,,0xFF01FE,
16,11,-1,-1,0,0,0,0,0,0x0,,,"Druide",,,,,,,,,,,,,,0xFF01FE,,,"Druide",,,,,,,,,,,,,,0xFF01FE,
