long,long,long,float,float,float,float,long,
172,90,4,72.9992980957,942.669006348,-937.333984375,-357.553985596,27,
176,109,1,-252.270996094,442.757995605,-718.518981934,-255.166000366,38,
177,109,2,-24.3074741364,223.869293213,-423.011383057,-256.975921631,38,
178,109,3,-182.674636841,373.494598389,-620.783935547,-250.3959198,38,
150,129,1,570.890991211,1279.93994141,2209.85009766,2682.55004883,61,
137,189,1,947.986022949,1567.9699707,1616.85864258,2030.18139648,20,
140,189,2,-482.463989258,-162.272994995,93.9055023193,307.365997314,20,
141,189,3,-562.42401123,50.2725982666,1600.64001465,2009.09997559,20,
179,189,4,1040.68994141,1743.98999023,812.423706055,1281.29040527,20,
202,229,1,-876.25201416,10.5869998932,-286.82800293,304.398010254,29,
207,229,2,-876.25201416,10.5869998932,-286.82800293,304.398010254,29,
208,229,3,-876.25201416,10.5869998932,-286.82800293,304.398010254,29,
209,229,4,-876.25201416,10.5869998932,-286.82800293,304.398010254,29,
210,229,5,-876.25201416,10.5869998932,-286.82800293,304.398010254,29,
211,229,6,-876.25201416,10.5869998932,-286.82800293,304.398010254,29,
212,229,7,-876.25201416,10.5869998932,-286.82800293,304.398010254,29,
200,230,1,-884.723999023,522.336975098,248.639663696,1186.68041992,28,
201,230,2,-934.723999023,572.336975098,495.302825928,1500.01025391,28,
196,249,1,-371.734985352,111.383003235,-223.832992554,98.2457962036,141,
151,289,1,-68.6389007568,251.410003662,104.333000183,317.697998047,22,
152,289,2,-128.639007568,311.410003662,44.3325996399,337.699005127,22,
153,289,3,-113.638999939,296.438995361,34.3212013245,307.707000732,22,
154,289,4,-174.121994019,356.920013428,-66.3211975098,287.707000732,22,
155,329,1,-3617.67993164,-2911.95996094,3338.9699707,3809.44995117,23,
156,329,2,-3967.68017578,-2961.9597168,3498.9699707,4169.45019531,23,
256,349,1,-827.5,147.5,550.0,1200.0,101,
257,349,2,-1158.75,478.75,-208.332992554,883.333007813,101,
136,389,1,-285.993011475,452.871002197,-452.95300293,39.6231994629,321,
181,409,1,-1395.56005859,-130.759994507,459.860992432,1303.06005859,29,
262,429,1,-387.5,887.5,200.0,1050.0,121,
263,429,2,125.0,650.0,-150.0,200.0,121,
264,429,3,231.25,718.75,-150.0,175.0,121,
265,429,4,325.0,1075.0,-250.0,250.0,121,
266,429,5,-900.0,-99.9991989136,-281.666992188,251.667007446,121,
267,429,6,-862.5,112.5,-200.0,450.0,121,
182,469,1,-1344.05004883,-844.622009277,-7727.06982422,-7394.12011719,29,
183,469,2,-1379.05004883,-729.62298584,-7777.06982422,-7344.12011719,29,
184,469,3,-1369.05004883,-719.62298584,-7757.06982422,-7324.12011719,29,
185,469,4,-1419.05004883,-769.62298584,-7637.06982422,-7204.12011719,29,
191,531,1,138.076004028,2915.62011719,-9510.98339844,-7659.28710938,261,
192,531,2,1538.06994629,2515.62988281,-8703.50292969,-8051.79638672,261,
195,531,3,1738.06982422,2315.62988281,-8720.16992188,-8335.12988281,261,
383,532,1,-2225.02441406,-1674.97558594,-11189.5996094,-10822.9003906,32,
385,532,2,-2081.41992188,-1823.56005859,-11189.0029297,-11017.0966797,32,
386,532,3,-2132.57470703,-1787.42529297,-11066.2998047,-10836.2001953,32,
387,532,4,-2190.02441406,-1669.97558594,-11119.5996094,-10772.9003906,32,
388,532,5,-1932.57995605,-1698.43005371,-10969.2998047,-10813.2001953,32,
389,532,6,-2205.77441406,-1624.22558594,-11190.5996094,-10802.9003906,32,
390,532,7,-2066.77441406,-1875.22558594,-11115.5996094,-10987.9003906,32,
391,532,8,-2037.68029785,-1898.32971191,-11105.2001953,-11012.2998047,32,
393,532,9,-2270.02441406,-1509.97558594,-11459.5996094,-10952.9003906,32,
398,532,10,-2040.13000488,-1589.88000488,-11386.3330078,-11086.1669922,32,
399,532,11,-1825.5300293,-1554.47998047,-11285.0996094,-11104.4003906,32,
401,532,12,-2182.52441406,-1587.47558594,-11444.5996094,-11047.9003906,32,
402,532,13,-1963.02441406,-1433.97558594,-11339.0996094,-10986.4003906,32,
403,532,14,-2032.63000488,-1787.38000488,-11143.0,-10979.5,32,
404,532,15,-2025.07995605,-1813.93005371,-11113.6328125,-10972.8671875,32,
405,532,16,-2020.13000488,-1918.88000488,-11097.0,-11029.5,32,
406,532,17,-2155.12988281,-1813.87988281,-11102.0,-10874.5,32,
222,540,1,-432.639251709,631.108215332,-91.7480010986,617.416992188,465,
221,542,1,-504.529998779,498.989013672,-65.876701355,603.135986328,465,
219,543,1,1294.7199707,1989.2800293,-1492.47998047,-1029.43994141,465,
341,544,1,-170.5,385.5,-115.333351135,255.333343506,465,
226,545,1,-716.742004395,160.022003174,-425.942199707,158.567214966,467,
227,545,2,-716.742004395,160.022003174,-425.942199707,158.567214966,467,
223,546,1,-653.942993164,240.977005005,-172.878189087,423.735168457,467,
228,547,1,-836.124023438,53.9341011047,-391.652038574,201.720031738,467,
355,548,1,-1362.50048828,212.502487183,-400.0,650.00201416,467,
349,550,1,-787.5,787.5,-100.0,950.0,479,
233,552,1,-405.105010986,284.57901001,-75.424331665,384.365020752,479,
234,552,2,-245.287033081,300.761016846,44.0,408.032012939,479,
235,552,3,-422.605010986,214.078994751,150.832977295,575.289001465,479,
230,553,1,-107.649246216,649.753234863,-256.910003662,248.024993896,479,
231,554,1,-341.779998779,334.458007813,-100.839195251,349.986206055,479,
232,554,2,-341.779998779,334.458007813,-37.8393440247,412.986022949,479,
218,555,1,-656.44317627,185.079177856,-498.217987061,62.7969017029,478,
216,556,1,-187.698242188,515.797241211,-295.342987061,173.654006958,478,
217,556,2,-187.698242188,515.797241211,-295.342987061,173.654006958,478,
238,557,1,-546.351074219,276.934082031,-458.786010742,90.0708007813,478,
214,558,1,-414.983215332,327.557220459,-140.076004028,354.95098877,478,
215,558,2,-602.483215332,215.057250977,-210.076004028,334.95098877,478,
433,564,1,23.8705387115,1276.12011719,-240.0,594.833007813,473,
434,564,2,-176.0,799.0,380.0,1030.0,473,
435,564,3,-191.0,814.0,400.0,1070.0,473,
436,564,4,134.999511719,575.000488281,343.333007813,636.666992188,473,
437,564,5,-70.0,600.0,664.163635254,1110.83032227,473,
438,564,6,-67.5,637.5,450.0,920.0,473,
439,564,7,137.5,492.5,606.666687012,843.333312988,473,
322,565,1,-50.0,475.0,-12.5,337.5,475,
440,580,1,377.5,842.5,1580.0,1890.0,499,
236,585,1,-304.226013184,226.108001709,-27.7958374023,325.760131836,499,
237,585,2,-304.226013184,226.108001709,-27.7958908081,325.760101318,499,
741,369,1,2311.5,2623.5,-112.5,95.5,301,
742,369,2,-121.5,187.5,-112.5,95.5,301,
