long,str,long,bool,
2570,"Leland",1,0,
2571,"Maddox",1,0,
2572,"Marius",1,0,
2573,"Marlon",1,0,
2574,"Miccah",1,0,
2575,"Nathan",1,0,
2576,"Nelson",1,0,
2577,"Nolen",1,0,
2578,"Oren",1,0,
2579,"Padrik",1,0,
2580,"Parker",1,0,
2581,"Patrick",1,0,
2582,"Payton",1,0,
2583,"Phillip",1,0,
2584,"Piotyr",1,0,
2585,"Quin",1,0,
2586,"Quincey",1,0,
2587,"Sebastian",1,0,
2588,"Silas",1,0,
2589,"Symon",1,0,
2590,"Tanner",1,0,
2591,"Tavish",1,0,
2592,"Theodore",1,0,
2593,"Vale",1,0,
2594,"Walton",1,0,
2595,"Waylen",1,0,
2596,"Willifred",1,0,
2597,"Yancy",1,0,
2598,"Yani",1,0,
450,"Aegwynn",1,1,
451,"Taretha",1,1,
452,"Calia",1,1,
454,"Maevis",1,1,
455,"Alexis",1,1,
456,"Ariandra",1,1,
457,"Kassandra",1,1,
458,"Wilhelmina",1,1,
459,"Gloriana",1,1,
460,"Sarah",1,1,
461,"Samantha",1,1,
462,"Kitiara",1,1,
463,"April",1,1,
464,"Jorune",1,1,
465,"Brunhilde",1,1,
466,"Sithaya",1,1,
467,"Andra",1,1,
468,"Amora",1,1,
469,"Dierdre",1,1,
470,"Sandris",1,1,
1267,"Adelaide",1,1,
1268,"Alice",1,1,
1269,"Amaria",1,1,
1270,"Amelia",1,1,
1271,"Avelina",1,1,
1272,"Barbara",1,1,
1273,"Beatrix",1,1,
1274,"Betta",1,1,
1275,"Brigit",1,1,
1276,"Calli",1,1,
1277,"Candis",1,1,
1278,"Carolyn",1,1,
1279,"Catherine",1,1,
1280,"Catin",1,1,
1281,"Christiana",1,1,
1282,"Christine",1,1,
1283,"Cicely",1,1,
1284,"Constance",1,1,
1285,"Cristina",1,1,
1286,"Dagny",1,1,
1287,"Danielle",1,1,
1288,"Darcy",1,1,
1289,"Desiree",1,1,
1290,"Felicity",1,1,
1291,"Florencia",1,1,
1292,"Giliana",1,1,
1293,"Gladys",1,1,
1294,"Grace",1,1,
1295,"Heloise",1,1,
1296,"Honor",1,1,
1297,"Hope",1,1,
1298,"Jane",1,1,
1299,"Joy",1,1,
1300,"Kaisa",1,1,
1301,"Kamilla",1,1,
1302,"Kimberly",1,1,
1303,"Lia",1,1,
1304,"Lois",1,1,
1305,"Lola",1,1,
1306,"Lucille",1,1,
1307,"Margery",1,1,
1308,"Marilyn",1,1,
1309,"Marlena",1,1,
1310,"Meghan",1,1,
1311,"Mercy",1,1,
1312,"Mirabell",1,1,
1313,"Naomi",1,1,
1314,"Pamela",1,1,
1315,"Peggy",1,1,
1316,"Prudence",1,1,
1317,"Reyna",1,1,
1318,"Rhoda",1,1,
1319,"Sabeline",1,1,
1320,"Theda",1,1,
1321,"Thelma",1,1,
1322,"Theresa",1,1,
1323,"Tiffany",1,1,
1324,"Tina",1,1,
1325,"Tracy",1,1,
1326,"Verity",1,1,
2599,"Acacia",1,1,
2600,"Alessandra",1,1,
2601,"Amadria",1,1,
2602,"Andraia",1,1,
2603,"Annalea",1,1,
2604,"Ardyth",1,1,
2605,"Astradyn",1,1,
2606,"Autumn",1,1,
2607,"Becky",1,1,
2608,"Blythe",1,1,
2609,"Briar",1,1,
2610,"Brylee",1,1,
2611,"Callista",1,1,
2612,"Cassandra",1,1,
2613,"Cassima",1,1,
2614,"Challie",1,1,
2615,"Chana",1,1,
2616,"Chelsea",1,1,
2617,"Chiara",1,1,
2618,"Dannison",1,1,
2619,"Daphne",1,1,
2620,"Darla",1,1,
2621,"Deandra",1,1,
2622,"Dellah",1,1,
2623,"Dominique",1,1,
2624,"Doriah",1,1,
2625,"Dorothy",1,1,
2626,"Edith",1,1,
2627,"Elaina",1,1,
2628,"Elenore",1,1,
2629,"Emilee",1,1,
2630,"Emma",1,1,
2631,"Everette",1,1,
2632,"Evie",1,1,
2633,"Farrah",1,1,
2634,"Fiorella",1,1,
2635,"Galiya",1,1,
2636,"Gillian",1,1,
2637,"Gizela",1,1,
2638,"Gracelyn",1,1,
2639,"Heidie",1,1,
2640,"Ilana",1,1,
2641,"Ione",1,1,
2642,"Jaimie",1,1,
2643,"Jalissa",1,1,
2644,"Janessa",1,1,
2645,"Jinnea",1,1,
2646,"Johanna",1,1,
2647,"Jolanda",1,1,
2648,"Jolene",1,1,
2649,"Kaiah",1,1,
2650,"Kaiya",1,1,
2651,"Karleigh",1,1,
2652,"Kelsea",1,1,
2653,"Kirsten",1,1,
2654,"Korla",1,1,
2655,"Kyara",1,1,
2656,"Leiah",1,1,
2657,"Leliani",1,1,
2658,"Lennith",1,1,
2659,"Lisbeth",1,1,
2660,"Lisette",1,1,
2661,"Lynn",1,1,
2662,"Magdelyn",1,1,
2663,"Maira",1,1,
2664,"Manja",1,1,
2665,"Marguerite",1,1,
2666,"Marisol",1,1,
2667,"Marit",1,1,
2668,"Meadow",1,1,
2669,"Melodie",1,1,
2670,"Millicent",1,1,
2671,"Mistiana",1,1,
2672,"Myrtha",1,1,
2673,"Naima",1,1,
2674,"Neranna",1,1,
2675,"Odelle",1,1,
2676,"Ophelia",1,1,
2677,"Pacey",1,1,
2678,"Rachael",1,1,
2679,"Radmila",1,1,
2680,"Rayna",1,1,
2681,"Rebekka",1,1,
2682,"Roberta",1,1,
2683,"Roselle",1,1,
2684,"Saige",1,1,
2685,"Scarlet",1,1,
2686,"Shancai",1,1,
2687,"Shanna",1,1,
2688,"Talia",1,1,
2689,"Tasha",1,1,
2690,"Valanese",1,1,
2691,"Valeska",1,1,
2692,"Vannah",1,1,
2693,"Viridiana",1,1,
2694,"Whittany",1,1,
2695,"Wynna",1,1,
2696,"Xara",1,1,
2697,"Yarina",1,1,
2698,"Zivanka",1,1,
2699,"Zoe",1,1,
268,"Akinos",2,0,
269,"Arashicage",2,0,
270,"Baelgun",2,0,
271,"Bale",2,0,
272,"Blackhand",2,0,
273,"Kargath",2,0,
274,"Broxxigar",2,0,
275,"Chogall",2,0,
276,"Clawhand",2,0,
277,"Magis",2,0,
278,"Kazil",2,0,
279,"Daisho",2,0,
280,"Kilrogg",2,0,
281,"Dentarg",2,0,
282,"Orgrim",2,0,
283,"Doomroar",2,0,
284,"Naz",2,0,
285,"Drekthar",2,0,
286,"Durotan",2,0,
287,"Eitrigg",2,0,
288,"Fenrisar",2,0,
289,"Fenris",2,0,
290,"Foerend",2,0,
291,"Gathras",2,0,
292,"Gardal",2,0,
293,"Gorr",2,0,
294,"Guldan",2,0,
295,"Negal",2,0,
296,"Grom",2,0,
297,"Irontusk",2,0,
298,"Kajind",2,0,
299,"Kalthar",2,0,
300,"Kazragore",2,0,
301,"Kigami",2,0,
302,"Maim",2,0,
303,"Mazuru",2,0,
304,"Mikasa",2,0,
305,"Nazgrel",2,0,
306,"Nikoro",2,0,
307,"Zess",2,0,
308,"Rend",2,0,
309,"Rexxar",2,0,
310,"Samuro",2,0,
311,"Nekros",2,0,
312,"Tagar",2,0,
313,"Thrall",2,0,
314,"Thundrax",2,0,
315,"Tojara",2,0,
316,"Uglaz",2,0,
317,"Kag",2,0,
318,"Warmaul",2,0,
319,"Borr",2,0,
320,"Pand",2,0,
321,"Kagar",2,0,
322,"Wolfsong",2,0,
323,"Morg",2,0,
324,"Yozshura",2,0,
325,"Zuluhed",2,0,
326,"Zargil",2,0,
1563,"Asato",2,0,
1564,"Asuya",2,0,
1565,"Azuma",2,0,
1566,"Baku",2,0,
1567,"Chuugo",2,0,
1568,"Dahr",2,0,
1569,"Dai",2,0,
1570,"Daichi",2,0,
1571,"Dugan",2,0,
1572,"Dugrum",2,0,
1573,"Emok",2,0,
1574,"Engo",2,0,
1575,"Fukashi",2,0,
1576,"Fusao",2,0,
1577,"Goragon",2,0,
1578,"Gor-Ka",2,0,
1579,"Gulmore",2,0,
1580,"Gunga",2,0,
1581,"Gyousei",2,0,
1582,"Hakuba",2,0,
1583,"Iku",2,0,
1584,"Ishin",2,0,
1585,"Jungo",2,0,
1586,"Kagha",2,0,
1587,"Koichi",2,0,
1588,"Kotorr",2,0,
1589,"Lurp",2,0,
1590,"Makh",2,0,
1591,"Mogramar",2,0,
1592,"Molin",2,0,
1593,"Monga",2,0,
1594,"Murtrin",2,0,
1595,"Nakaghul",2,0,
1596,"Narghon",2,0,
1597,"Nariaki",2,0,
1598,"Natsuo",2,0,
1599,"Nobuya",2,0,
1600,"Nozomi",2,0,
1601,"Okrim",2,0,
1602,"Oogresh",2,0,
1603,"Osamu",2,0,
1604,"Ren",2,0,
1605,"Rogrim",2,0,
1606,"Skoresh",2,0,
1607,"Soktar",2,0,
1608,"Sora",2,0,
1609,"Tonga",2,0,
1610,"Tul",2,0,
1611,"Ugramesh",2,0,
1612,"Umok",2,0,
2700,"Agarn",2,0,
2701,"Agrim",2,0,
2702,"Agtan",2,0,
2703,"Aksho",2,0,
2704,"Ansik",2,0,
2705,"Antsu",2,0,
2706,"Arduk",2,0,
2707,"Armac",2,0,
2708,"Bargon",2,0,
2709,"Bekil",2,0,
2710,"Bherg",2,0,
2711,"Bish",2,0,
2712,"Bosao",2,0,
2713,"Burik",2,0,
2714,"Calnar",2,0,
2715,"Charn",2,0,
2716,"Chegh",2,0,
2717,"Chomdai",2,0,
2718,"Chugar",2,0,
2719,"Cron",2,0,
2720,"Crunk",2,0,
2721,"Damwogh",2,0,
2722,"Datku",2,0,
2723,"Derm",2,0,
2724,"Domgak",2,0,
2725,"Dragar",2,0,
2726,"Dragga",2,0,
2727,"Drahn",2,0,
2728,"Drash",2,0,
2729,"Drengar",2,0,
2730,"Drukar",2,0,
2731,"Druknar",2,0,
2732,"Duntarg",2,0,
2733,"Ecks",2,0,
2734,"Ehngar",2,0,
2735,"Elcoz",2,0,
2736,"Emulk",2,0,
2737,"Eruk",2,0,
2738,"Etramm",2,0,
2739,"Fashtar",2,0,
2740,"Fenrar",2,0,
2741,"Festuk",2,0,
2742,"Figgam",2,0,
2743,"Fugg",2,0,
2744,"Fulnn",2,0,
2745,"Garusk",2,0,
2746,"Ghrog",2,0,
2747,"Gigoa",2,0,
2748,"Glok",2,0,
2749,"Goon",2,0,
2750,"Goshog",2,0,
2751,"Gredan",2,0,
2752,"Grundar",2,0,
2753,"Havik",2,0,
2754,"Hewnok",2,0,
2755,"Homdag",2,0,
2756,"Hondai",2,0,
2757,"Hujon",2,0,
2758,"Hunk",2,0,
2759,"Igg",2,0,
2760,"Kafga",2,0,
2761,"Kaibo",2,0,
2762,"Kirik",2,0,
2763,"Knaak",2,0,
2764,"Koon",2,0,
2765,"Kuugai",2,0,
2766,"Larg",2,0,
2767,"Lekk",2,0,
2768,"Lhark",2,0,
2769,"Luubu",2,0,
2770,"Maaj",2,0,
2771,"Magom",2,0,
2772,"Mahkarn",2,0,
2773,"Makkar",2,0,
2774,"Makuso",2,0,
2775,"Margor",2,0,
2776,"Meshtak",2,0,
2777,"Moktal",2,0,
2778,"Morn",2,0,
2779,"Mrag",2,0,
2780,"Mragar",2,0,
2781,"Myrm",2,0,
2782,"Naggam",2,0,
2783,"Nailz",2,0,
2784,"Nantook",2,0,
2785,"Nark",2,0,
2786,"Nillik",2,0,
2787,"Nozit",2,0,
2788,"Ogg",2,0,
2789,"Ojak",2,0,
2790,"Olug",2,0,
2791,"Ontsu",2,0,
2792,"Oog",2,0,
2793,"Ork",2,0,
2794,"Phanx",2,0,
2795,"Pikk",2,0,
2796,"Porg",2,0,
2797,"Prak",2,0,
2798,"Pyag",2,0,
2799,"Raido",2,0,
2800,"Rekk",2,0,
2801,"Relg",2,0,
2802,"Rettsu",2,0,
2803,"Rhaten",2,0,
2804,"Rhog",2,0,
2805,"Ritgar",2,0,
2806,"Roxx",2,0,
2807,"Ruugar",2,0,
2808,"Rwag",2,0,
2809,"Sandoso",2,0,
2810,"Selig",2,0,
2811,"Sitar",2,0,
2812,"Skrash",2,0,
2813,"Sokolo",2,0,
2814,"Songo",2,0,
2815,"Tatsu",2,0,
2816,"Tersk",2,0,
2817,"Tragg",2,0,
2818,"Tsubai",2,0,
2819,"Tuul",2,0,
2820,"Tyrar",2,0,
2821,"Uggol",2,0,
2822,"Urst",2,0,
2823,"Volk",2,0,
2824,"Watsu",2,0,
2825,"Welsk",2,0,
2826,"Wiigo",2,0,
2827,"Witao",2,0,
2828,"Wolv",2,0,
2829,"Worg",2,0,
2830,"Zakk",2,0,
2831,"Zed",2,0,
2832,"Zugo",2,0,
248,"Draka",2,1,
249,"Garona",2,1,
250,"Nekra",2,1,
251,"Gara",2,1,
252,"Theg",2,1,
253,"Markas",2,1,
254,"Sendra",2,1,
255,"Sergra",2,1,
256,"Gaine",2,1,
257,"Dala",2,1,
258,"Morisha",2,1,
259,"Galvania",2,1,
260,"Titania",2,1,
261,"Jenka",2,1,
262,"Ragos",2,1,
263,"Mirsha",2,1,
264,"Misha",2,1,
265,"Korvis",2,1,
266,"Mandiss",2,1,
267,"Germana",2,1,
1504,"Agata",2,1,
1505,"Agna",2,1,
1506,"Akana",2,1,
1507,"Akheena",2,1,
1508,"Anga",2,1,
1509,"Asako",2,1,
1510,"Atsuko",2,1,
1511,"Aya",2,1,
1512,"Boka",2,1,
1513,"Chantu",2,1,
1514,"Cora",2,1,
1515,"Damah",2,1,
1516,"Doba",2,1,
1517,"Doska",2,1,
1518,"Duka",2,1,
1519,"Eghala",2,1,
1520,"Elka",2,1,
1521,"Eta",2,1,
1522,"Garuka",2,1,
1523,"Ghana",2,1,
1524,"Gisa",2,1,
1525,"Gruta",2,1,
1526,"Hedda",2,1,
1527,"Hilar",2,1,
1528,"Iria",2,1,
1529,"Junna",2,1,
1530,"Kaia",2,1,
1531,"Kama",2,1,
1532,"Kasa",2,1,
1533,"Kaya",2,1,
1534,"Loka",2,1,
1535,"Luka",2,1,
1536,"Machiko",2,1,
1537,"Magda",2,1,
1538,"Maiko",2,1,
1539,"Maja",2,1,
1540,"Makha",2,1,
1541,"Moka",2,1,
1542,"Mugallah",2,1,
1543,"Nagisa",2,1,
1544,"Nanaka",2,1,
1545,"Nayu",2,1,
1546,"Nodoka",2,1,
1547,"Onela",2,1,
1548,"Palka",2,1,
1549,"Rana",2,1,
1550,"Rela",2,1,
1551,"Roka",2,1,
1552,"Saaya",2,1,
1553,"Sana",2,1,
1554,"Tabitha",2,1,
1555,"Tamao",2,1,
1556,"Tamsin",2,1,
1557,"Tanya",2,1,
1558,"Teruna",2,1,
1559,"Tetsumi",2,1,
1560,"Tokimi",2,1,
1561,"Yatsumi",2,1,
1562,"Yukari",2,1,
2833,"Agasa",2,1,
2834,"Aki",2,1,
2835,"Annda",2,1,
2836,"Arai",2,1,
2837,"Arita",2,1,
2838,"Askka",2,1,
2839,"Atsua",2,1,
2840,"Balle",2,1,
2841,"Barti",2,1,
2842,"Bellag",2,1,
2843,"Bitsu",2,1,
2844,"Boya",2,1,
2845,"Braia",2,1,
2846,"Cerah",2,1,
2847,"Clemi",2,1,
2848,"Coga",2,1,
2849,"Cohh",2,1,
2850,"Cutasu",2,1,
2851,"Dalla",2,1,
2852,"Daqi",2,1,
2853,"Dikaga",2,1,
2854,"Doosa",2,1,
2855,"Dous",2,1,
2856,"Drakna",2,1,
2857,"Druna",2,1,
2858,"Druu",2,1,
2859,"Ehg",2,1,
2860,"Elloa",2,1,
2861,"Emda",2,1,
2862,"Eoni",2,1,
2863,"Erai",2,1,
2864,"Erita",2,1,
2865,"Ezara",2,1,
2866,"Ferra",2,1,
2867,"Fiatsu",2,1,
2868,"Fliri",2,1,
2869,"Frii",2,1,
2870,"Fryta",2,1,
2871,"Fuda",2,1,
2872,"Futara",2,1,
2873,"Fyrna",2,1,
2874,"Gaeldi",2,1,
2875,"Gai",2,1,
2876,"Geera",2,1,
2877,"Gelsi",2,1,
2878,"Gharta",2,1,
2879,"Ghem",2,1,
2880,"Gora",2,1,
2881,"Greka",2,1,
2882,"Grita",2,1,
2883,"Gronna",2,1,
2884,"Grynna",2,1,
2885,"Haki",2,1,
2886,"Hakua",2,1,
2887,"Haqa",2,1,
2888,"Hatko",2,1,
2889,"Henn",2,1,
2890,"Ingra",2,1,
2891,"Kagda",2,1,
2892,"Karga",2,1,
2893,"Keia",2,1,
2894,"Khami",2,1,
2895,"Kii",2,1,
2896,"Kilnah",2,1,
2897,"Kintarg",2,1,
2898,"Kirga",2,1,
2899,"Kitra",2,1,
2900,"Kona",2,1,
2901,"Krau",2,1,
2902,"Kretah",2,1,
2903,"Kritah",2,1,
2904,"Laaj",2,1,
2905,"Lark",2,1,
2906,"Liki",2,1,
2907,"Lopia",2,1,
2908,"Madaba",2,1,
2909,"Mecks",2,1,
2910,"Merga",2,1,
2911,"Meshta",2,1,
2912,"Miki",2,1,
2913,"Moosha",2,1,
2914,"Namga",2,1,
2915,"Nani",2,1,
2916,"Narn",2,1,
2917,"Neko",2,1,
2918,"Noora",2,1,
2919,"Nya",2,1,
2920,"Okra",2,1,
2921,"Ola",2,1,
2922,"Opai",2,1,
2923,"Orteka",2,1,
2924,"Osoh",2,1,
2925,"Ougi",2,1,
2926,"Paku",2,1,
2927,"Peraga",2,1,
2928,"Phan",2,1,
2929,"Plai",2,1,
2930,"Pupp",2,1,
2931,"Rakkah",2,1,
2932,"Reki",2,1,
2933,"Remig",2,1,
2934,"Rexai",2,1,
2935,"Rie",2,1,
2936,"Rinka",2,1,
2937,"Rolda",2,1,
2938,"Roog",2,1,
2939,"Saki",2,1,
2940,"Seeth",2,1,
2941,"Siyeg",2,1,
2942,"Skara",2,1,
2943,"Sosara",2,1,
2944,"Sukasa",2,1,
2945,"Talki",2,1,
2946,"Tari",2,1,
2947,"Tash",2,1,
2948,"Tikta",2,1,
2949,"Tinago",2,1,
2950,"Tisk",2,1,
2951,"Togra",2,1,
2952,"Uraka",2,1,
2953,"Vegla",2,1,
2954,"Wao",2,1,
2955,"Wegg",2,1,
2956,"Wiima",2,1,
2957,"Womda",2,1,
2958,"Wuchi",2,1,
2959,"Wyega",2,1,
2960,"Zan",2,1,
2961,"Zila",2,1,
30,"Thorgas",3,0,
31,"Muradin",3,0,
32,"Brann",3,0,
33,"Magni",3,0,
34,"Gar",3,0,
35,"Bandis",3,0,
36,"Buri",3,0,
37,"Huginn",3,0,
38,"Muninn",3,0,
39,"Kelvar",3,0,
40,"Thordin",3,0,
41,"Bor",3,0,
42,"Falstad",3,0,
43,"Grimbooze",3,0,
44,"Modi",3,0,
45,"Dagath",3,0,
46,"Kurdran",3,0,
47,"Bruenor",3,0,
48,"Gimli",3,0,
49,"Thorin",3,0,
1086,"Adair",3,0,
1087,"Ahearn",3,0,
1088,"Alroy",3,0,
1089,"Angus",3,0,
1090,"Argyll",3,0,
1091,"Arlen",3,0,
1092,"Baird",3,0,
1093,"Balfour",3,0,
1094,"Beagan",3,0,
1095,"Brae",3,0,
1096,"Brom",3,0,
1097,"Cailen",3,0,
1098,"Camden",3,0,
1099,"Cathal",3,0,
1100,"Colm",3,0,
1101,"Cormac",3,0,
1102,"Damian",3,0,
1103,"Darragh",3,0,
1104,"Dempsey",3,0,
1105,"Dermot",3,0,
1106,"Donagh",3,0,
1107,"Donoghue",3,0,
1108,"Dunstan",3,0,
1109,"Eamonn",3,0,
1110,"Edan",3,0,
1111,"Eoghan",3,0,
1112,"Ewan",3,0,
1113,"Fagin",3,0,
1114,"Finbar",3,0,
1115,"Fionn",3,0,
1116,"Flann",3,0,
1117,"Flannan",3,0,
1118,"Galloway",3,0,
1119,"Glyndon",3,0,
1120,"Hagen",3,0,
1121,"Jarlath",3,0,
1122,"Jaryn",3,0,
1123,"Keefe",3,0,
1124,"Keenan",3,0,
1125,"Kieran",3,0,
1126,"Kincaid",3,0,
1127,"Lochlainn",3,0,
1128,"Lorcan",3,0,
1129,"Loughlin",3,0,
1130,"Mackay",3,0,
1131,"Mannix",3,0,
1132,"Milo",3,0,
1133,"Moray",3,0,
1134,"Nessan",3,0,
1135,"Nolan",3,0,
1136,"Oran",3,0,
1137,"Padraic",3,0,
1138,"Rafferty",3,0,
1139,"Rory",3,0,
1140,"Ross",3,0,
1141,"Ruairc",3,0,
1142,"Tadhg",3,0,
1143,"Tiernan",3,0,
1144,"Turlough",3,0,
1145,"Ultan",3,0,
2962,"Acharn",3,0,
2963,"Agdem",3,0,
2964,"Ardal",3,0,
2965,"Argoe",3,0,
2966,"Arno",3,0,
2967,"Avem",3,0,
2968,"Basch",3,0,
2969,"Belfas",3,0,
2970,"Berniy",3,0,
2971,"Bjorn",3,0,
2972,"Boris",3,0,
2973,"Buu",3,0,
2974,"Caeme",3,0,
2975,"Cain",3,0,
2976,"Capp",3,0,
2977,"Carth",3,0,
2978,"Chom",3,0,
2979,"Cojul",3,0,
2980,"Daamis",3,0,
2981,"Dabim",3,0,
2982,"Damagh",3,0,
2983,"Derk",3,0,
2984,"Dorn",3,0,
2985,"Durus",3,0,
2986,"Falstir",3,0,
2987,"Finn",3,0,
2988,"Flanagan",3,0,
2989,"Flup",3,0,
2990,"Fogie",3,0,
2991,"Fornir",3,0,
2992,"Gadim",3,0,
2993,"Ghass",3,0,
2994,"Ghom",3,0,
2995,"Glym",3,0,
2996,"Goane",3,0,
2997,"Griggs",3,0,
2998,"Hagar",3,0,
2999,"Halbit",3,0,
3000,"Halfast",3,0,
3001,"Heeg",3,0,
3002,"Hogan",3,0,
3003,"Hume",3,0,
3004,"Jobe",3,0,
3005,"Kabe",3,0,
3006,"Kaloo",3,0,
3007,"Kelov",3,0,
3008,"Khrogan",3,0,
3009,"Koom",3,0,
3010,"Kurim",3,0,
3011,"Looch",3,0,
3012,"Louh",3,0,
3013,"Maem",3,0,
3014,"Maxim",3,0,
3015,"Mogh",3,0,
3016,"Moleb",3,0,
3017,"Munden",3,0,
3018,"Muramas",3,0,
3019,"Ogden",3,0,
3020,"Olaf",3,0,
3021,"Paps",3,0,
3022,"Rags",3,0,
3023,"Rakum",3,0,
3024,"Rawm",3,0,
3025,"Risx",3,0,
3026,"Roone",3,0,
3027,"Roxas",3,0,
3028,"Serge",3,0,
3029,"Shiggy",3,0,
3030,"Sjardin",3,0,
3031,"Sonn",3,0,
3032,"Sorn",3,0,
3033,"Sulfis",3,0,
3034,"Tegh",3,0,
3035,"Tharidin",3,0,
3036,"Thor",3,0,
3037,"Tir",3,0,
3038,"Took",3,0,
3039,"Tron",3,0,
3040,"Urogh",3,0,
3041,"Valnar",3,0,
4,"Mogra",3,1,
5,"Brunhilde",3,1,
6,"Valkrist",3,1,
7,"Aisha",3,1,
8,"Sif",3,1,
9,"Eden",3,1,
10,"Mathra",3,1,
11,"Omora",3,1,
12,"Drenn",3,1,
