long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,
15,5893,,,"Eclaireur %s",,,,,,,,,,,,,,0xFF01FE,,,"Eclaireur %s",,,,,,,,,,,,,,0xFF01FE,15,
16,5894,,,"Grunt %s",,,,,,,,,,,,,,0xFF01FE,,,"Grunt %s",,,,,,,,,,,,,,0xFF01FE,16,
17,5895,,,"Sergent %s",,,,,,,,,,,,,,0xFF01FE,,,"Sergent %s",,,,,,,,,,,,,,0xFF01FE,17,
18,5896,,,"Sergent-chef %s",,,,,,,,,,,,,,0xFF01FE,,,"Sergent-chef %s",,,,,,,,,,,,,,0xFF01FE,18,
19,5897,,,"Adjudant %s",,,,,,,,,,,,,,0xFF01FE,,,"Adjudant %s",,,,,,,,,,,,,,0xFF01FE,19,
20,5898,,,"Garde de pierre %s",,,,,,,,,,,,,,0xFF01FE,,,"Garde de pierre %s",,,,,,,,,,,,,,0xFF01FE,20,
21,5899,,,"Garde de sang %s",,,,,,,,,,,,,,0xFF01FE,,,"Garde de sang %s",,,,,,,,,,,,,,0xFF01FE,21,
22,5900,,,"Légionnaire %s",,,,,,,,,,,,,,0xFF01FE,,,"Légionnaire %s",,,,,,,,,,,,,,0xFF01FE,22,
23,5901,,,"Centurion %s",,,,,,,,,,,,,,0xFF01FE,,,"Centurion %s",,,,,,,,,,,,,,0xFF01FE,23,
24,5902,,,"Champion %s",,,,,,,,,,,,,,0xFF01FE,,,"Championne %s",,,,,,,,,,,,,,0xFF01FE,24,
25,5903,,,"Lieutenant-général %s",,,,,,,,,,,,,,0xFF01FE,,,"Lieutenant-général %s",,,,,,,,,,,,,,0xFF01FE,25,
26,5904,,,"Général %s",,,,,,,,,,,,,,0xFF01FE,,,"Général %s",,,,,,,,,,,,,,0xFF01FE,26,
27,5905,,,"Seigneur de guerre %s",,,,,,,,,,,,,,0xFF01FE,,,"Seigneur de guerre %s",,,,,,,,,,,,,,0xFF01FE,27,
28,5906,,,"Grand seigneur de guerre %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand seigneur de guerre %s",,,,,,,,,,,,,,0xFF01FE,28,
42,0,,,"Gladiateur %s",,,,,,,,,,,,,,0xFF01FE,,,"Gladiateur %s",,,,,,,,,,,,,,0xFF01FE,29,
43,0,,,"Duelliste %s",,,,,,,,,,,,,,0xFF01FE,,,"Duelliste %s",,,,,,,,,,,,,,0xFF01FE,30,
44,0,,,"Rival %s",,,,,,,,,,,,,,0xFF01FE,,,"Rivale %s",,,,,,,,,,,,,,0xFF01FE,31,
45,0,,,"Compétiteur %s",,,,,,,,,,,,,,0xFF01FE,,,"Compétitrice %s",,,,,,,,,,,,,,0xFF01FE,32,
46,6341,,,"Seigneur scarabée %s",,,,,,,,,,,,,,0xFF01FE,,,"Seigneur scarabée %s",,,,,,,,,,,,,,0xFF01FE,33,
47,6407,,,"Conquérant %s",,,,,,,,,,,,,,0xFF01FE,,,"Conquérante %s",,,,,,,,,,,,,,0xFF01FE,34,
48,6406,,,"Justicier %s",,,,,,,,,,,,,,0xFF01FE,,,"Justicière %s",,,,,,,,,,,,,,0xFF01FE,35,
53,6686,,,"%s, champion des naaru",,,,,,,,,,,,,,0xFF01FE,,,"%s, championne des naaru",,,,,,,,,,,,,,0xFF01FE,36,
62,0,,,"Gladiateur impitoyable %s",,,,,,,,,,,,,,0xFF01FE,,,"Gladiateur impitoyable %s",,,,,,,,,,,,,,0xFF01FE,37,
63,6806,,,"%s du Soleil brisé",,,,,,,,,,,,,,0xFF01FE,,,"%s du Soleil brisé",,,,,,,,,,,,,,0xFF01FE,38,
64,6944,,,"%s, Main d'A'dal",,,,,,,,,,,,,,0xFF01FE,,,"%s, Main d'A'dal",,,,,,,,,,,,,,0xFF01FE,39,
71,0,,,"Gladiateur vengeur %s",,,,,,,,,,,,,,0xFF01FE,,,"Gladiateur vengeur %s",,,,,,,,,,,,,,0xFF01FE,40,
72,7530,,,"Maître de guerre %s",,,,,,,,,,,,,,0xFF01FE,,,"Maître de guerre %s",,,,,,,,,,,,,,0xFF01FE,41,
74,7533,,,"Ancien %s",,,,,,,,,,,,,,0xFF01FE,,,"Ancienne %s",,,,,,,,,,,,,,0xFF01FE,43,
75,7534,,,"Gardien des flammes %s",,,,,,,,,,,,,,0xFF01FE,,,"Gardienne des flammes %s",,,,,,,,,,,,,,0xFF01FE,44,
76,7535,,,"Garde-flammes %s",,,,,,,,,,,,,,0xFF01FE,,,"Garde-flammes %s",,,,,,,,,,,,,,0xFF01FE,45,
77,7565,,,"%s l'exalté",,,,,,,,,,,,,,0xFF01FE,,,"%s l'exaltée",,,,,,,,,,,,,,0xFF01FE,46,
78,7695,,,"%s l'explorateur",,,,,,,,,,,,,,0xFF01FE,,,"%s l'exploratrice",,,,,,,,,,,,,,0xFF01FE,47,
79,7748,,,"%s le diplomate",,,,,,,,,,,,,,0xFF01FE,,,"%s la diplomate",,,,,,,,,,,,,,0xFF01FE,48,
80,0,,,"Gladiateur brutal %s",,,,,,,,,,,,,,0xFF01FE,,,"Gladiateur brutal %s",,,,,,,,,,,,,,0xFF01FE,49,
81,7759,,,"Chercheur %s",,,,,,,,,,,,,,0xFF01FE,,,"Chercheuse %s",,,,,,,,,,,,,,0xFF01FE,42,
82,7749,,,"Maître de l'arène %s",,,,,,,,,,,,,,0xFF01FE,,,"Maître de l'arène %s",,,,,,,,,,,,,,0xFF01FE,50,
83,7750,,,"Loup de mer %s",,,,,,,,,,,,,,0xFF01FE,,,"Louve de mer %s",,,,,,,,,,,,,,0xFF01FE,51,
84,7754,,,"Chef %s",,,,,,,,,,,,,,0xFF01FE,,,"Chef %s",,,,,,,,,,,,,,0xFF01FE,52,
85,7703,,,"%s le suprême",,,,,,,,,,,,,,0xFF01FE,,,"%s la suprême",,,,,,,,,,,,,,0xFF01FE,53,
86,7703,,,"%s des dix tempêtes",,,,,,,,,,,,,,0xFF01FE,,,"%s des dix tempêtes",,,,,,,,,,,,,,0xFF01FE,54,
87,7703,,,"%s du Rêve d'émeraude",,,,,,,,,,,,,,0xFF01FE,,,"%s du Rêve d'émeraude",,,,,,,,,,,,,,0xFF01FE,55,
89,7703,,,"Prophète %s",,,,,,,,,,,,,,0xFF01FE,,,"Prophète %s",,,,,,,,,,,,,,0xFF01FE,57,
90,7703,,,"%s le maléfique",,,,,,,,,,,,,,0xFF01FE,,,"%s la maléfique",,,,,,,,,,,,,,0xFF01FE,58,
91,7703,,,"Traqueur %s",,,,,,,,,,,,,,0xFF01FE,,,"Traqueuse %s",,,,,,,,,,,,,,0xFF01FE,59,
92,7703,,,"%s de la Lame d'ébène",,,,,,,,,,,,,,0xFF01FE,,,"%s de la Lame d'ébène",,,,,,,,,,,,,,0xFF01FE,60,
93,7703,,,"Archimage %s",,,,,,,,,,,,,,0xFF01FE,,,"Archimage %s",,,,,,,,,,,,,,0xFF01FE,61,
94,7703,,,"Porteguerre %s",,,,,,,,,,,,,,0xFF01FE,,,"Porteguerre %s",,,,,,,,,,,,,,0xFF01FE,62,
95,7703,,,"Assassin %s",,,,,,,,,,,,,,0xFF01FE,,,"Assassin %s",,,,,,,,,,,,,,0xFF01FE,63,
96,7703,,,"Grand maître alchimiste %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître alchimiste %s",,,,,,,,,,,,,,0xFF01FE,64,
97,7703,,,"Grand maître forgeron %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître forgeron %s",,,,,,,,,,,,,,0xFF01FE,65,
98,7703,,,"Cordon bleu %s",,,,,,,,,,,,,,0xFF01FE,,,"Cordon bleu %s",,,,,,,,,,,,,,0xFF01FE,66,
99,7703,,,"Grand maître enchanteur %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître enchanteur %s",,,,,,,,,,,,,,0xFF01FE,67,
100,7703,,,"Grand maître ingénieur %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître ingénieur %s",,,,,,,,,,,,,,0xFF01FE,68,
101,7703,,,"Docteur %s",,,,,,,,,,,,,,0xFF01FE,,,"Docteur %s",,,,,,,,,,,,,,0xFF01FE,69,
102,7703,,,"Grand maître pêcheur %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître pêcheur %s",,,,,,,,,,,,,,0xFF01FE,70,
103,7703,,,"Grand maître herboriste %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître herboriste %s",,,,,,,,,,,,,,0xFF01FE,71,
104,7703,,,"Grand maître scribe %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître scribe %s",,,,,,,,,,,,,,0xFF01FE,72,
105,7703,,,"Grand maître joaillier %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître joaillier %s",,,,,,,,,,,,,,0xFF01FE,73,
106,7703,,,"Grand maître travailleur du cuir %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître travailleur du cuir %s",,,,,,,,,,,,,,0xFF01FE,74,
107,7703,,,"Grand maître mineur %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître mineur %s",,,,,,,,,,,,,,0xFF01FE,75,
108,7703,,,"Grand maître dépeceur %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître dépeceur %s",,,,,,,,,,,,,,0xFF01FE,76,
109,7703,,,"Grand maître tailleur %s",,,,,,,,,,,,,,0xFF01FE,,,"Grand maître tailleur %s",,,,,,,,,,,,,,0xFF01FE,77,
110,7703,,,"%s de Quel'Thalas",,,,,,,,,,,,,,0xFF01FE,,,"%s de Quel'Thalas",,,,,,,,,,,,,,0xFF01FE,78,
111,7703,,,"%s d'Argus",,,,,,,,,,,,,,0xFF01FE,,,"%s d'Argus",,,,,,,,,,,,,,0xFF01FE,79,
112,7703,,,"%s de Khaz Modan",,,,,,,,,,,,,,0xFF01FE,,,"%s de Khaz Modan",,,,,,,,,,,,,,0xFF01FE,80,
113,8236,,,"%s de Gnomeregan",,,,,,,,,,,,,,0xFF01FE,,,"%s de Gnomeregan",,,,,,,,,,,,,,0xFF01FE,81,
114,7703,,,"%s au cœur de lion",,,,,,,,,,,,,,0xFF01FE,,,"%s au cœur de lion",,,,,,,,,,,,,,0xFF01FE,82,
115,7703,,,"%s, champion d'Elune",,,,,,,,,,,,,,0xFF01FE,,,"%s, championne d'Elune",,,,,,,,,,,,,,0xFF01FE,83,
116,7703,,,"%s, héros d'Orgrimmar",,,,,,,,,,,,,,0xFF01FE,,,"%s, héroïne d'Orgrimmar",,,,,,,,,,,,,,0xFF01FE,84,
117,7703,,,"%s le coureur des plaines",,,,,,,,,,,,,,0xFF01FE,,,"%s la coureuse des plaines",,,,,,,,,,,,,,0xFF01FE,85,
118,7703,,,"%s des Sombrelances",,,,,,,,,,,,,,0xFF01FE,,,"%s des Sombrelances",,,,,,,,,,,,,,0xFF01FE,86,
119,7703,,,"%s le réprouvé",,,,,,,,,,,,,,0xFF01FE,,,"%s la réprouvée",,,,,,,,,,,,,,0xFF01FE,87,
120,7812,,,"%s le cherche-magie",,,,,,,,,,,,,,0xFF01FE,,,"%s la cherche-magie",,,,,,,,,,,,,,0xFF01FE,88,
121,7813,,,"Vainqueur du crépuscule %s",,,,,,,,,,,,,,0xFF01FE,,,"Vainqueur du crépuscule %s",,,,,,,,,,,,,,0xFF01FE,89,
122,7814,,,"%s, conquérant de Naxxramas",,,,,,,,,,,,,,0xFF01FE,,,"%s, conquérante de Naxxramas",,,,,,,,,,,,,,0xFF01FE,90,
123,7815,,,"%s, héros du Norfendre",,,,,,,,,,,,,,0xFF01FE,,,"%s, héroïne du Norfendre",,,,,,,,,,,,,,0xFF01FE,91,
124,7820,,,"%s le Sanssaint",,,,,,,,,,,,,,0xFF01FE,,,"%s la Sanssainte",,,,,,,,,,,,,,0xFF01FE,92,
125,7849,,,"Maître des traditions %s",,,,,,,,,,,,,,0xFF01FE,,,"Maître des traditions %s",,,,,,,,,,,,,,0xFF01FE,93,
126,7853,,,"%s de l'Alliance",,,,,,,,,,,,,,0xFF01FE,,,"%s de l'Alliance",,,,,,,,,,,,,,0xFF01FE,94,
127,7854,,,"%s de la Horde",,,,,,,,,,,,,,0xFF01FE,,,"%s de la Horde",,,,,,,,,,,,,,0xFF01FE,95,
128,7856,,,"%s l'infaillible vainqueur",,,,,,,,,,,,,,0xFF01FE,,,"%s l'infaillible vainqueur",,,,,,,,,,,,,,0xFF01FE,96,
129,7857,,,"%s, champion des terres gelées",,,,,,,,,,,,,,0xFF01FE,,,"%s, championne des terres gelées",,,,,,,,,,,,,,0xFF01FE,97,
130,7858,,,"Ambassadeur %s",,,,,,,,,,,,,,0xFF01FE,,,"Ambassadrice %s",,,,,,,,,,,,,,0xFF01FE,98,
131,7859,,,"%s, champion d'argent",,,,,,,,,,,,,,0xFF01FE,,,"%s, championne d'argent",,,,,,,,,,,,,,0xFF01FE,99,
132,7860,,,"%s, gardien de Cénarius",,,,,,,,,,,,,,0xFF01FE,,,"%s, gardienne de Cénarius",,,,,,,,,,,,,,0xFF01FE,100,
133,7861,,,"Maître brasseur %s",,,,,,,,,,,,,,0xFF01FE,,,"Maître brasseur %s",,,,,,,,,,,,,,0xFF01FE,101,
134,7864,,,"%s le joyeux",,,,,,,,,,,,,,0xFF01FE,,,"%s la joyeuse",,,,,,,,,,,,,,0xFF01FE,102,
135,7875,,,"%s au cœur d'artichaut",,,,,,,,,,,,,,0xFF01FE,,,"%s au cœur d'artichaut",,,,,,,,,,,,,,0xFF01FE,103,
137,7893,,,"Marraine %s",,,,,,,,,,,,,,0xFF01FE,,,"Marraine %s",,,,,,,,,,,,,,0xFF01FE,104,
138,7894,,,"Parrain %s",,,,,,,,,,,,,,0xFF01FE,,,"Parrain %s",,,,,,,,,,,,,,0xFF01FE,105,
139,7964,,,"%s, tueur de l'obsidien",,,,,,,,,,,,,,0xFF01FE,,,"%s, tueuse de l'obsidien",,,,,,,,,,,,,,0xFF01FE,106,
140,7965,,,"%s du crépuscule",,,,,,,,,,,,,,0xFF01FE,,,"%s du crépuscule",,,,,,,,,,,,,,0xFF01FE,107,
141,7990,,,"%s l'immortel",,,,,,,,,,,,,,0xFF01FE,,,"%s l'immortelle",,,,,,,,,,,,,,0xFF01FE,108,
142,7991,,,"%s l'increvable",,,,,,,,,,,,,,0xFF01FE,,,"%s l'increvable",,,,,,,,,,,,,,0xFF01FE,109,
143,7997,,,"%s Jenkins",,,,,,,,,,,,,,0xFF01FE,,,"%s Jenkins",,,,,,,,,,,,,,0xFF01FE,110,
144,8045,,,"Amiral de la Voile sanglante %s",,,,,,,,,,,,,,0xFF01FE,,,"Amiral de la Voile sanglante %s",,,,,,,,,,,,,,0xFF01FE,111,
145,8121,,,"%s le grand malade",,,,,,,,,,,,,,0xFF01FE,,,"%s la grande malade",,,,,,,,,,,,,,0xFF01FE,112,
146,8237,,,"%s de l'Exodar",,,,,,,,,,,,,,0xFF01FE,,,"%s de l'Exodar",,,,,,,,,,,,,,0xFF01FE,113,
147,8238,,,"%s de Darnassus",,,,,,,,,,,,,,0xFF01FE,,,"%s de Darnassus",,,,,,,,,,,,,,0xFF01FE,114,
148,8239,,,"%s de Forgefer",,,,,,,,,,,,,,0xFF01FE,,,"%s de Forgefer",,,,,,,,,,,,,,0xFF01FE,115,
149,8240,,,"%s de Hurlevent",,,,,,,,,,,,,,0xFF01FE,,,"%s de Hurlevent",,,,,,,,,,,,,,0xFF01FE,116,
150,8241,,,"%s d'Orgrimmar",,,,,,,,,,,,,,0xFF01FE,,,"%s d'Orgrimmar",,,,,,,,,,,,,,0xFF01FE,117,
151,8242,,,"%s de Sen'jin",,,,,,,,,,,,,,0xFF01FE,,,"%s de Sen'jin",,,,,,,,,,,,,,0xFF01FE,118,
152,8243,,,"%s de Lune-d'argent",,,,,,,,,,,,,,0xFF01FE,,,"%s de Lune-d'argent",,,,,,,,,,,,,,0xFF01FE,119,
153,8244,,,"%s des Pitons du Tonnerre",,,,,,,,,,,,,,0xFF01FE,,,"%s des Pitons du Tonnerre",,,,,,,,,,,,,,0xFF01FE,120,
154,8245,,,"%s de Fossoyeuse",,,,,,,,,,,,,,0xFF01FE,,,"%s de Fossoyeuse",,,,,,,,,,,,,,0xFF01FE,121,
155,8303,,,"Noble %s",,,,,,,,,,,,,,0xFF01FE,,,"Noble %s",,,,,,,,,,,,,,0xFF01FE,122,
156,8332,,,"Croisé %s",,,,,,,,,,,,,,0xFF01FE,,,"Croisée %s",,,,,,,,,,,,,,0xFF01FE,123,
157,0,,,"Gladiateur fatal %s",,,,,,,,,,,,,,0xFF01FE,,,"Gladiateur fatal %s",,,,,,,,,,,,,,0xFF01FE,56,
158,8450,,,"%s, faucheur de la Mort",,,,,,,,,,,,,,0xFF01FE,,,"%s, faucheuse de la Mort",,,,,,,,,,,,,,0xFF01FE,124,
159,8451,,,"%s le défenseur céleste",,,,,,,,,,,,,,0xFF01FE,,,"%s le défenseur céleste",,,,,,,,,,,,,,0xFF01FE,125,
160,8453,,,"%s, conquérant d'Ulduar",,,,,,,,,,,,,,0xFF01FE,,,"%s, conquérante d'Ulduar",,,,,,,,,,,,,,0xFF01FE,126,
161,8452,,,"%s, champion d'Ulduar",,,,,,,,,,,,,,0xFF01FE,,,"%s, championne d'Ulduar",,,,,,,,,,,,,,0xFF01FE,127,
163,0,,,"Vainqueur %s",,,,,,,,,,,,,,0xFF01FE,,,"Vainqueur %s",,,,,,,,,,,,,,0xFF01FE,128,
164,8467,,,"Mande-étoile %s",,,,,,,,,,,,,,0xFF01FE,,,"Mande-étoile %s",,,,,,,,,,,,,,0xFF01FE,129,
165,8468,,,"%s le marcheur astral",,,,,,,,,,,,,,0xFF01FE,,,"%s la marcheuse astrale",,,,,,,,,,,,,,0xFF01FE,130,
166,8469,,,"%s, héraut des titans",,,,,,,,,,,,,,0xFF01FE,,,"%s, héraut des titans",,,,,,,,,,,,,,0xFF01FE,131,
167,0,,,"Gladiateur furieux %s",,,,,,,,,,,,,,0xFF01FE,,,"Gladiateur furieux %s",,,,,,,,,,,,,,0xFF01FE,132,
168,8596,,,"%s le pèlerin",,,,,,,,,,,,,,0xFF01FE,,,"%s la pèlerine",,,,,,,,,,,,,,0xFF01FE,133,
169,0,,,"Gladiateur implacable %s",,,,,,,,,,,,,,0xFF01FE,,,"Gladiateur implacable %s",,,,,,,,,,,,,,0xFF01FE,134,
170,8777,,,"Grand croisé %s",,,,,,,,,,,,,,0xFF01FE,,,"Grande croisée %s",,,,,,,,,,,,,,0xFF01FE,135,
171,8778,,,"%s le défenseur d'argent",,,,,,,,,,,,,,0xFF01FE,,,"%s le défenseur d'argent",,,,,,,,,,,,,,0xFF01FE,136,
172,8977,,,"%s l'assidu",,,,,,,,,,,,,,0xFF01FE,,,"%s l'assidue",,,,,,,,,,,,,,0xFF01FE,137,
173,9043,,,"%s, lumière de l'aube",,,,,,,,,,,,,,0xFF01FE,,,"%s, lumière de l'aube",,,,,,,,,,,,,,0xFF01FE,138,
174,9045,,,"%s, tourment du roi déchu",,,,,,,,,,,,,,0xFF01FE,,,"%s, tourment du roi déchu",,,,,,,,,,,,,,0xFF01FE,139,
175,9046,,,"%s le régicide",,,,,,,,,,,,,,0xFF01FE,,,"%s la régicide",,,,,,,,,,,,,,0xFF01FE,140,
176,9138,,,"%s du Verdict des cendres",,,,,,,,,,,,,,0xFF01FE,,,"%s du Verdict des cendres",,,,,,,,,,,,,,0xFF01FE,141,
177,0,,,"Gladiateur courroucé %s",,,,,,,,,,,,,,0xFF01FE,,,"Gladiateur courroucé %s",,,,,,,,,,,,,,0xFF01FE,142,
