long,long,long,long,flags,long,long,long,long,long,long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,flags,long,None,None,long,float,float,None,
16,1,0,129,0x40,0,11,31,205,0,0,,,"Azshara",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
17,1,0,130,0x40,0,11,38,7,0,0,,,"Les Tarides",,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.300000011921,,
18,0,12,131,0x40000040,0,11,35,1,0,7,,,"Lac de Cristal",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
19,0,33,574,0x40000040,0,11,32,3,0,40,,,"Zul'Gurub",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
20,0,40,132,0x40000040,0,11,0,9,0,14,,,"Ruisselune",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
21,0,0,133,0x40,0,11,0,8,0,0,,,"Kul Tiras",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
22,451,0,547,0x4440,0,11,38,2,0,0,,,"Île des programmeurs",,,,,,,,,,,,,,0xFF01FE,0x0,1,,,0,-500.0,0.0,,
23,0,12,134,0x40100040,0,11,35,0,0,0,,,"Fleuve Comté-du-nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
24,0,12,135,0x40300000,73,11,35,1,67,0,,,"Abbaye de Comté-du-nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
25,0,0,136,0x40,0,11,46,10,0,0,,,"Mont Rochenoire",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
26,0,40,602,0x40000040,0,11,0,7,0,0,,,"Phare",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
28,0,0,137,0x40,0,11,37,205,0,0,,,"Maleterres de l'ouest",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
30,0,0,138,0x40,0,11,0,0,0,0,,,"Neuf",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
32,0,10,139,0x40000040,0,11,0,2,0,0,,,"Le cimetière",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
33,0,0,140,0x40,0,11,32,3,0,0,,,"Vallée de Strangleronce",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
34,0,12,141,0x40000000,0,11,35,1,0,0,,,"Mine de la crête aux échos",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
35,0,33,142,0x40200040,0,11,0,3,0,42,,,"Baie-du-Butin",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
36,0,0,143,0x40,0,11,31,1,0,0,,,"Montagnes d'Alterac",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.5,,
37,0,33,144,0x40000040,0,11,0,3,0,36,,,"Lac Nazfériti",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
38,0,0,145,0x40,0,11,31,1,0,0,,,"Loch Modan",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.10000000149,,
40,0,0,146,0x40,0,11,47,9,0,0,,,"Marche de l'Ouest",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.10000000149,,
41,0,0,556,0x40,0,11,49,2,0,0,,,"Défilé de Deuillevent",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.300000011921,,
42,0,10,147,0x40200040,0,11,0,2,0,25,,,"Sombre-comté",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
43,0,33,148,0x40000040,0,11,0,3,0,42,,,"Le Rivage cruel",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
44,0,0,149,0x40,0,11,31,1,0,0,,,"Les Carmines",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.20000000298,,
45,0,0,150,0x40,0,11,30,8,0,0,,,"Hautes-terres d'Arathi",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.20000000298,,
46,0,0,151,0x40,0,11,46,10,0,0,,,"Steppes ardentes",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.10000000149,,
47,0,0,152,0x40,0,11,31,1,0,0,,,"Les Hinterlands",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.40000000596,,
49,451,22,153,0x40000040,0,11,0,0,0,0,,,"Gouffre du mort",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
51,0,0,154,0x40,0,11,46,10,0,0,,,"Gorge des Vents brûlants",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.10000000149,,
53,0,12,155,0x40000040,0,11,35,1,0,0,,,"Camp des voleurs",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
54,0,12,550,0x40000040,0,11,35,1,0,8,,,"Mine Veine-de-jaspe",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
55,0,12,156,0x40000040,0,11,35,13,61,0,,,"Vallée des Héros",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
56,0,12,157,0x40000040,0,11,35,1,303,0,,,"Veillée des héros",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
57,0,12,158,0x40000040,0,11,35,1,0,5,,,"Mine de Fondugouffre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
59,0,12,159,0x40100000,0,11,35,1,0,0,,,"Vignoble de Comté-du-nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
60,0,12,606,0x40000040,0,11,35,1,0,8,,,"La Lisière",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
61,0,12,160,0x40000040,0,11,35,1,0,0,,,"Chutes du Tonnerre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
62,0,12,161,0x40000040,0,11,35,1,0,8,,,"Champ de potirons des Saumepuits",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
63,0,12,162,0x40000040,0,11,35,1,0,6,,,"La ferme des Champierreux",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
64,0,12,163,0x40000040,0,11,35,1,0,6,,,"Les Vignes des Maclure",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
65,571,0,164,0x4444,0,11,439,412,545,0,,,"Désolation des dragons",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
66,571,0,165,0x4444,0,11,441,423,544,76,,,"Zul'Drak",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
67,571,0,166,0x4441,0,11,465,420,0,77,,,"Les pics Foudroyés",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.600000023842,,
68,0,44,557,0x40000040,0,11,0,1,0,16,,,"Lac placide",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
69,0,44,167,0x40200040,0,11,0,1,0,15,,,"Comté-du-lac",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
70,0,44,168,0x40000040,0,11,0,1,0,24,,,"Guet-de-pierre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
71,0,44,627,0x40000040,0,11,0,1,0,20,,,"Chutes de Guet-de-pierre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
72,0,4,169,0x40000040,0,11,210,7,0,63,,,"La Porte des ténèbres",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
73,0,4,170,0x40000040,0,11,0,7,0,50,,,"La Balafre impure",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
74,0,8,171,0x40000040,0,11,0,0,0,43,,,"Bassin des larmes",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
75,0,8,172,0x40200040,0,11,0,0,0,37,,,"Pierrêche",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
76,0,8,173,0x40000040,0,11,0,0,0,37,,,"Sanctuaire des friches",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
77,0,1,174,0x40300000,0,11,0,8,0,0,,,"Courbenclume",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
80,0,12,175,0x40000040,0,11,35,17,0,10,,,"Monts Hurlevent",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.0,,
81,451,22,575,0x40000040,0,11,0,0,0,0,,,"Quadrant NE de Jeff modifié",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
82,451,22,176,0x40000040,0,11,0,0,0,0,,,"Quadrant de Jeff NO",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
83,451,22,177,0x40000040,0,11,0,0,0,0,,,"Quadrant de Jeff SE",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
84,451,22,178,0x40000040,0,11,0,0,0,0,,,"Quadrant de Jeff SO",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
85,0,0,179,0x40,0,11,40,2,0,0,,,"Clairières de Tirisfal",,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.300000011921,,
86,0,12,180,0x40000040,0,11,35,1,0,8,,,"Lac du Cairn",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
87,0,12,548,0x40300040,0,11,35,1,0,5,,,"Comté-de-l’or",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
88,0,12,181,0x40000040,0,11,35,1,0,6,,,"Camp de bûcherons du Val d'est",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
89,0,12,182,0x40000040,0,11,35,1,0,0,,,"Verger du lac Miroir",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
91,0,12,183,0x40000040,0,11,35,1,0,8,,,"Tour d'Azora",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
92,0,12,558,0x40000040,0,11,35,1,0,0,,,"Lac Miroir",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
93,0,10,628,0x40000040,0,11,0,214,0,28,,,"Tertre des ogres Vul'Gol",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
94,0,10,184,0x40000040,0,11,0,2,0,24,,,"Colline-aux-Corbeaux",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
95,0,44,185,0x40000040,0,11,0,1,0,20,,,"Canyons des Carmines",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
96,0,44,186,0x40000040,0,11,0,1,0,25,,,"Tour d'Ilgalar",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
97,0,44,187,0x40000040,0,11,0,1,0,19,,,"Scierie d'Alther",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
98,0,44,188,0x40000040,0,11,0,1,0,17,,,"Cavernes de Rethban",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
99,0,33,189,0x40200040,0,11,0,3,0,30,,,"Camp rebelle",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
100,0,33,585,0x40000040,0,11,0,3,0,31,,,"Expédition de Nesingwary",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
101,0,33,190,0x40000040,0,11,0,3,0,32,,,"Base de Kurzen",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
102,0,33,586,0x40000040,0,11,0,3,0,41,,,"Ruines de Zul'Kunda",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
103,0,33,191,0x40000040,0,11,0,3,0,40,,,"Ruines de Zul'Mamwe",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
104,0,33,192,0x40000040,0,11,0,3,0,37,,,"Le Récif infâme",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
105,0,33,193,0x40000040,0,11,0,3,0,42,,,"Tertre des ogres Mosh'Ogg",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
106,0,33,194,0x40000040,0,11,0,3,0,0,,,"La réserve",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
107,0,40,195,0x40000040,0,11,0,9,0,14,,,"Ferme des Saldean",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
108,0,40,196,0x40300040,0,11,0,9,0,15,,,"Colline des sentinelles",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
109,0,40,197,0x40000040,0,11,0,9,0,15,,,"Ferme de potirons de Froncebouille",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
111,0,40,198,0x40000040,0,11,0,9,0,12,,,"Mine Veine-de-Jango",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
113,0,40,576,0x40000040,0,11,0,9,0,15,,,"Carrière de la côte de l'Or",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
115,0,40,199,0x40000040,0,11,24,9,0,17,,,"Phare de l'Ouest",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
116,0,8,200,0x40000040,0,11,0,0,0,39,,,"Vallée des brumes",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
117,0,33,629,0x40200040,0,11,0,228,0,35,,,"Campement Grom'gol",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
118,0,11,201,0x40000040,0,11,0,191,0,22,,,"Excavations de Whelgar",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
120,0,12,559,0x40200040,0,11,35,0,0,8,,,"Garnison du ruisseau de l'ouest",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
121,0,10,202,0x40000040,0,11,0,15,0,28,,,"Cimetière des jardins paisibles",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
122,0,33,203,0x40000040,0,11,0,3,0,37,,,"Ruines de Zuuldaia",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
123,0,33,204,0x40000040,0,11,0,3,0,34,,,"Ruines de Bal'lal",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
125,0,33,205,0x40000040,0,11,0,3,0,35,,,"Ruines de Kal'ai",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
126,0,33,206,0x40000040,0,11,0,3,0,0,,,"Ruines de Tkashi",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
127,0,33,207,0x40000040,0,11,0,3,0,40,,,"Ruines de Balia'mah",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
128,0,33,208,0x40000040,0,11,0,3,0,36,,,"Ruines de Ziata'jai",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
129,0,33,209,0x40000040,0,11,0,3,0,37,,,"Ruines de Mizjah",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
130,0,0,210,0x40,0,11,28,2,0,0,,,"Forêt des Pins argentés",,,,,,,,,,,,,,0xFF01FE,0x4,0,,,0,-500.0,0.40000000596,,
131,0,1,211,0x40300040,0,11,0,0,0,5,,,"Kharanos",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
132,0,1,212,0x40100000,0,11,0,0,0,0,,,"Vallée des Frigères",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
133,0,1,213,0x40000040,0,11,42,8,0,10,,,"Gnomeregan",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
134,0,1,214,0x40000040,0,11,0,8,0,10,,,"Carrière de Gol'Bolar",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
135,0,1,215,0x40000040,0,11,0,0,121,7,,,"Repaire des Crins-de-givre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
136,0,1,216,0x40000040,0,11,0,0,0,5,,,"L'antre Gris",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
137,0,1,217,0x40200040,0,11,0,0,0,7,,,"Brassetout",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
138,0,1,218,0x40000040,0,11,0,8,0,7,,,"Refuge de Brumepins",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
139,0,0,219,0x40,0,11,37,205,0,0,,,"Maleterres de l'est",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.5,,
141,1,0,220,0x40,0,11,48,11,0,0,,,"Teldrassil",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.40000000596,,
142,0,38,221,0x40000040,0,11,0,1,0,15,,,"Excavations de Baguefer",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
143,0,38,222,0x40000040,0,11,0,14,0,18,,,"Bastion des Mo'grosh",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
144,0,38,223,0x40300040,0,11,0,1,0,10,,,"Thelsamar",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
145,0,38,224,0x40000040,0,11,0,1,0,18,,,"Porte d'Algaz",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
146,0,38,225,0x40200040,0,11,230,1,0,15,,,"Barrage de Formepierre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
147,0,38,226,0x40000040,0,11,0,1,0,15,,,"Le pavillon des Pérégrins",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
148,1,0,227,0x40,0,11,28,191,0,0,,,"Sombrivage",,,,,,,,,,,,,,0xFF01FE,0x2,0,,,0,-500.0,0.600000023842,,
149,0,38,228,0x40000040,0,11,0,1,0,12,,,"Mine du Ru d'argent",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
150,0,11,229,0x40200040,0,11,0,191,0,20,,,"Port de Menethil",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
151,451,0,560,0x4440,0,11,47,226,0,0,,,"Île des concepteurs",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
152,0,85,230,0x40200040,0,11,0,2,0,9,,,"La Barricade",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
153,0,85,607,0x40000040,0,11,0,2,0,10,,,"Ruines de Lordaeron",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
154,0,85,231,0x40300000,0,11,0,15,0,0,,,"Le Glas",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
155,0,85,232,0x40000000,0,11,0,2,0,0,,,"Grottes des Tisse-nuit",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
156,0,85,233,0x40000040,0,11,0,2,0,6,,,"Ferme des Solliden",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
157,0,85,234,0x40000040,0,11,0,15,0,8,,,"Moulins d'Agamand",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
158,0,85,235,0x40000040,0,11,0,15,0,0,,,"Crypte de la famille Agamand",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
159,0,85,236,0x40300040,0,11,0,15,0,5,,,"Brill",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
160,0,85,237,0x40000040,0,11,0,2,0,12,,,"Jardins des murmures",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
161,0,85,238,0x40000040,0,11,0,2,0,10,,,"Terrasse de la quiétude",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
162,0,85,239,0x40000040,0,11,0,2,0,7,,,"Lac Étincelant",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
163,0,85,240,0x40000040,0,11,0,2,0,0,,,"Retraite de Gunther",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
164,0,85,241,0x40000040,0,11,0,2,0,7,,,"Antre de Garren",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
165,0,85,242,0x40000040,0,11,0,15,0,5,,,"Ferme des Balnir",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
166,0,85,243,0x40000040,0,11,0,2,0,5,,,"Manoir du Foyer froid",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
167,0,85,244,0x40000040,0,11,0,2,0,8,,,"Avant-poste des Croisés",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
168,0,85,245,0x40000040,0,11,0,2,0,0,,,"La Côte nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
169,0,85,577,0x40000040,0,11,0,0,0,0,,,"Rivage des Murmures",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
170,0,0,246,0x40,0,11,31,2,0,0,,,"Lac Lordamere",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
172,0,130,247,0x40000040,0,11,0,2,0,18,,,"Île de Fenris",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
173,0,85,620,0x40000040,0,11,0,2,0,0,,,"Repos de Faol",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
186,1,141,622,0x40300040,0,11,0,11,0,5,,,"Dolanaar",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
187,1,141,248,0x40000040,0,11,48,76,63,7,,,"Darnassus",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
188,1,141,561,0x40300000,0,11,0,11,0,0,,,"Sombrevallon",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
189,0,1,249,0x40000040,0,11,0,8,0,5,,,"Dépôt de Grillacier",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
190,0,28,250,0x40000040,0,11,0,0,0,56,,,"Âtreval",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
192,0,28,251,0x40000040,0,11,0,0,0,55,,,"Camp de bûcherons de la Crête du nord",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
193,0,28,252,0x40000040,0,11,0,15,0,55,,,"Ruines d'Andorhal",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
195,0,28,253,0x40000040,0,11,0,0,0,0,,,"École de nécromancie",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
196,0,28,578,0x40000040,0,11,0,15,0,0,,,"Tombeau d'Uther",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
197,0,28,254,0x40000040,0,11,0,0,0,50,,,"Colline des chagrins",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
198,0,28,255,0x40000040,0,11,0,0,0,55,,,"La grotte des Pleurs",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
199,0,28,256,0x40000040,0,11,0,10,0,50,,,"Champ de Gangrepierre",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
200,0,28,257,0x40000040,0,11,0,10,0,54,,,"Larmes de Dalson",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
201,0,28,258,0x40000040,0,11,0,10,0,57,,,"La Flétrissure de Gahrron",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
202,0,28,259,0x40000040,0,11,0,10,0,46,,,"Le Repaire putride",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
203,0,28,260,0x40000040,0,11,37,193,0,0,,,"Donjon de Mardenholde",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
204,0,130,261,0x40000040,0,11,0,191,301,15,,,"Bois-du-Bûcher",,,,,,,,,,,,,,0xFF01FE,0x0,0,,,0,-500.0,0.0,,
