long,bool,long,long,long,long,float,flags,
10,1,5,0,6,0,0.0,0x2,
10,1,6,0,7,0,0.0,0x2,
10,1,7,0,8,0,0.0,0x2,
10,1,8,0,9,0,0.0,0x2,
10,1,9,0,10,0,0.0,0x2,
10,1,10,0,11,0,0.0,0x2,
10,0,1,2,0,0,0.0,0x2,
10,0,2,3,0,0,0.0,0x2,
10,0,3,4,0,0,0.0,0x2,
10,0,4,5,0,0,0.0,0x2,
10,0,5,6,0,0,0.0,0x2,
10,0,6,7,0,0,0.0,0x2,
10,0,7,8,0,0,0.0,0x2,
10,0,8,9,0,0,0.0,0x2,
10,0,9,10,0,0,0.0,0x2,
10,1,1,0,2,0,0.0,0x2,
16,0,0,0,0,0,0.0,0x0,
16,1,0,0,0,0,0.0,0x0,
17,0,6,8,0,0,0.0,0x0,
17,1,0,0,0,0,0.0,0x0,
16,0,1,2,0,0,0.0,0x0,
16,0,2,3,0,0,0.0,0x0,
16,0,3,4,0,0,0.0,0x0,
16,0,4,5,0,0,0.0,0x0,
16,0,5,6,0,0,0.0,0x0,
18,1,0,0,0,0,-107374176.0,0xCCCCCCCC,
18,0,0,0,2,0,0.0,0x0,
18,0,10,0,4,0,0.0,0x0,
18,0,1,0,3,0,0.0,0x0,
18,0,2,0,4,0,0.0,0x0,
8,0,3,0,5,0,0.0,0x0,
18,0,4,0,6,0,0.0,0x0,
18,0,5,0,2,0,0.0,0x0,
18,0,6,0,3,0,0.0,0x0,
18,0,7,0,4,0,0.0,0x0,
18,0,8,0,5,0,0.0,0x0,
18,0,9,0,6,0,0.0,0x0,
17,0,1,3,0,0,0.0,0x0,
17,0,2,4,0,0,0.0,0x0,
17,0,0,2,0,0,0.0,0x0,
17,0,4,6,0,0,0.0,0x0,
17,0,3,5,0,0,0.0,0x0,
17,0,5,7,0,0,0.0,0x0,
19,1,0,0,0,0,0.0,0x0,
19,0,0,2,0,0,0.0,0x0,
19,0,1,3,0,0,0.0,0x0,
19,0,2,4,0,0,0.0,0x0,
20,0,1,1,0,0,0.0,0x0,
20,1,0,0,0,0,0.0,0x0,
21,0,0,0,2,0,0.0,0x0,
21,1,0,0,0,0,0.0,0x0,
21,0,1,0,3,0,0.0,0x0,
21,0,2,0,4,0,0.0,0x0,
21,0,3,0,5,0,0.0,0x0,
21,0,4,0,6,0,0.0,0x0,
20,0,2,2,0,0,0.0,0x0,
20,0,3,3,0,0,0.0,0x0,
20,0,4,4,0,0,0.0,0x0,
20,0,0,0,0,0,0.0,0x0,
25,0,0,1,1,2,0.0,0x2,
25,0,1,2,1,3,0.0,0x2,
25,0,2,3,1,4,0.0,0x2,
25,0,3,4,1,5,0.0,0x2,
25,0,4,5,1,2,0.0,0x2,
25,0,5,6,1,3,0.0,0x2,
25,0,6,7,1,4,0.0,0x2,
25,0,7,8,1,5,0.0,0x2,
25,0,8,9,1,2,0.0,0x2,
25,0,9,10,1,3,0.0,0x2,
25,0,10,11,1,4,0.0,0x2,
25,0,11,12,1,5,0.0,0x2,
25,0,12,13,1,2,0.0,0x2,
25,0,13,14,1,3,0.0,0x2,
25,0,14,15,1,4,0.0,0x2,
25,0,15,16,1,5,0.0,0x2,
25,0,16,17,1,2,0.0,0x2,
25,0,17,18,1,3,0.0,0x2,
25,0,18,19,1,4,0.0,0x2,
25,0,19,20,1,5,0.0,0x2,
25,0,20,1,2,3,0.0,0x2,
25,0,21,2,2,4,0.0,0x2,
25,0,22,3,2,5,0.0,0x2,
25,0,23,4,2,2,0.0,0x2,
25,0,24,5,2,3,0.0,0x2,
25,0,25,6,2,4,0.0,0x2,
25,0,26,7,2,5,0.0,0x2,
25,0,27,8,2,2,0.0,0x2,
25,0,28,9,2,3,0.0,0x2,
25,0,29,10,2,4,0.0,0x2,
25,0,30,11,2,5,0.0,0x2,
25,0,31,12,2,2,0.0,0x2,
25,0,32,13,2,3,0.0,0x2,
25,0,33,14,2,4,0.0,0x2,
25,0,34,15,2,5,0.0,0x2,
25,0,35,16,2,2,0.0,0x2,
25,0,36,17,2,3,0.0,0x2,
25,0,37,18,2,4,0.0,0x2,
25,0,38,19,2,5,0.0,0x2,
25,0,39,20,2,2,0.0,0x2,
25,0,40,1,3,4,0.0,0x2,
25,0,41,2,3,5,0.0,0x2,
25,0,42,3,3,2,0.0,0x2,
25,0,43,4,3,3,0.0,0x2,
25,0,44,5,3,4,0.0,0x2,
25,0,45,6,3,5,0.0,0x2,
25,0,46,7,3,2,0.0,0x2,
25,0,47,8,3,3,0.0,0x2,
25,0,48,9,3,4,0.0,0x2,
25,0,49,10,3,5,0.0,0x2,
25,0,50,11,3,2,0.0,0x2,
25,0,51,12,3,3,0.0,0x2,
25,0,52,13,3,4,0.0,0x2,
25,0,53,14,3,5,0.0,0x2,
25,0,54,15,3,2,0.0,0x2,
25,0,55,16,3,3,0.0,0x2,
25,0,56,17,3,4,0.0,0x2,
25,0,57,18,3,5,0.0,0x2,
25,0,58,19,3,2,0.0,0x2,
25,0,59,20,3,3,0.0,0x2,
25,0,60,1,4,5,0.0,0x2,
25,0,61,2,4,2,0.0,0x2,
25,0,62,3,4,3,0.0,0x2,
25,0,63,4,4,4,0.0,0x2,
25,0,64,5,4,5,0.0,0x2,
25,0,65,6,4,2,0.0,0x2,
25,0,66,7,4,3,0.0,0x2,
25,0,67,8,4,4,0.0,0x2,
25,0,68,9,4,5,0.0,0x2,
25,0,69,10,4,2,0.0,0x2,
25,0,70,11,4,3,0.0,0x2,
25,0,71,12,4,4,0.0,0x2,
25,0,72,13,4,5,0.0,0x2,
25,0,73,14,4,2,0.0,0x2,
25,0,74,15,4,3,0.0,0x2,
25,0,75,16,4,4,0.0,0x2,
25,0,76,17,4,5,0.0,0x2,
25,0,77,18,4,2,0.0,0x2,
25,0,78,19,4,3,0.0,0x2,
25,0,79,20,4,4,0.0,0x2,
25,0,80,1,5,2,0.0,0x2,
25,0,81,2,5,3,0.0,0x2,
25,0,82,3,5,4,0.0,0x2,
25,0,83,4,5,5,0.0,0x2,
25,0,84,5,5,2,0.0,0x2,
25,0,85,6,5,3,0.0,0x2,
25,0,86,7,5,4,0.0,0x2,
25,0,87,8,5,5,0.0,0x2,
25,0,88,9,5,2,0.0,0x2,
25,0,89,10,5,3,0.0,0x2,
25,0,90,11,5,4,0.0,0x2,
25,0,91,12,5,5,0.0,0x2,
25,0,92,13,5,2,0.0,0x2,
25,0,93,14,5,3,0.0,0x2,
25,0,94,15,5,4,0.0,0x2,
25,0,95,16,5,5,0.0,0x2,
25,0,96,17,5,2,0.0,0x2,
25,0,97,18,5,3,0.0,0x2,
25,0,98,19,5,4,0.0,0x2,
25,0,99,20,5,5,0.0,0x2,
25,0,100,1,6,3,0.0,0x2,
25,0,101,2,6,4,0.0,0x2,
25,0,102,3,6,5,0.0,0x2,
25,0,103,4,6,2,0.0,0x2,
25,0,104,5,6,3,0.0,0x2,
25,0,105,6,6,4,0.0,0x2,
25,0,106,7,6,5,0.0,0x2,
25,0,107,8,6,2,0.0,0x2,
25,0,108,9,6,3,0.0,0x2,
25,0,109,10,6,4,0.0,0x2,
25,0,110,11,6,5,0.0,0x2,
25,0,111,12,6,2,0.0,0x2,
25,0,112,13,6,3,0.0,0x2,
25,0,113,14,6,4,0.0,0x2,
25,0,114,15,6,5,0.0,0x2,
25,0,115,16,6,2,0.0,0x2,
25,0,116,17,6,3,0.0,0x2,
25,0,117,18,6,4,0.0,0x2,
25,0,118,19,6,5,0.0,0x2,
25,0,119,20,6,2,0.0,0x2,
25,0,120,1,7,4,0.0,0x2,
25,0,121,2,7,5,0.0,0x2,
25,0,122,3,7,2,0.0,0x2,
25,0,123,4,7,3,0.0,0x2,
25,0,124,5,7,4,0.0,0x2,
25,0,125,6,7,5,0.0,0x2,
25,0,126,7,7,2,0.0,0x2,
25,0,127,8,7,3,0.0,0x2,
25,0,128,9,7,4,0.0,0x2,
25,0,129,10,7,5,0.0,0x2,
25,0,130,11,7,2,0.0,0x2,
25,0,131,12,7,3,0.0,0x2,
25,0,132,13,7,4,0.0,0x2,
25,0,133,14,7,5,0.0,0x2,
25,0,134,15,7,2,0.0,0x2,
25,0,135,16,7,3,0.0,0x2,
25,0,136,17,7,4,0.0,0x2,
25,0,137,18,7,5,0.0,0x2,
25,0,138,19,7,2,0.0,0x2,
25,0,139,20,7,3,0.0,0x2,
25,1,0,1,1,0,0.0,0x2,
25,1,1,1,2,0,0.0,0x2,
25,1,2,1,3,0,0.0,0x2,
25,1,3,1,4,0,0.0,0x2,
25,1,4,1,5,0,0.0,0x2,
25,1,5,1,6,0,0.0,0x2,
25,1,6,2,1,0,0.0,0x2,
25,1,7,2,2,0,0.0,0x2,
25,1,8,2,3,0,0.0,0x2,
25,1,9,2,4,0,0.0,0x2,
25,1,10,2,5,0,0.0,0x2,
25,1,11,2,6,0,0.0,0x2,
26,0,0,1,1,2,0.0,0x2,
26,0,1,2,1,3,0.0,0x2,
26,0,2,3,1,4,0.0,0x2,
26,0,3,4,1,5,0.0,0x2,
26,0,4,5,1,2,0.0,0x2,
26,0,5,6,1,3,0.0,0x2,
26,0,6,7,1,4,0.0,0x2,
26,0,7,8,1,5,0.0,0x2,
26,0,8,9,1,2,0.0,0x2,
26,0,9,10,1,3,0.0,0x2,
26,0,10,11,1,4,0.0,0x2,
26,0,11,12,1,5,0.0,0x2,
26,0,12,13,1,2,0.0,0x2,
26,0,13,14,1,3,0.0,0x2,
26,0,14,15,1,4,0.0,0x2,
26,0,15,16,1,5,0.0,0x2,
26,0,16,17,1,2,0.0,0x2,
26,0,17,18,1,3,0.0,0x2,
26,0,18,19,1,4,0.0,0x2,
26,0,19,20,1,5,0.0,0x2,
26,0,20,1,2,3,0.0,0x2,
26,0,21,2,2,4,0.0,0x2,
26,0,22,3,2,5,0.0,0x2,
26,0,23,4,2,2,0.0,0x2,
26,0,24,5,2,3,0.0,0x2,
26,0,25,6,2,4,0.0,0x2,
26,0,26,7,2,5,0.0,0x2,
26,0,27,8,2,2,0.0,0x2,
26,0,28,9,2,3,0.0,0x2,
26,0,29,10,2,4,0.0,0x2,
26,0,30,11,2,5,0.0,0x2,
26,0,31,12,2,2,0.0,0x2,
26,0,32,13,2,3,0.0,0x2,
26,0,33,14,2,4,0.0,0x2,
26,0,34,15,2,5,0.0,0x2,
26,0,35,16,2,2,0.0,0x2,
26,0,36,17,2,3,0.0,0x2,
26,0,37,18,2,4,0.0,0x2,
26,0,38,19,2,5,0.0,0x2,
26,0,39,20,2,2,0.0,0x2,
26,0,40,1,3,4,0.0,0x2,
26,0,41,2,3,5,0.0,0x2,
26,0,42,3,3,2,0.0,0x2,
26,0,43,4,3,3,0.0,0x2,
26,0,44,5,3,4,0.0,0x2,
26,0,45,6,3,5,0.0,0x2,
26,0,46,7,3,2,0.0,0x2,
26,0,47,8,3,3,0.0,0x2,
26,0,48,9,3,4,0.0,0x2,
26,0,49,10,3,5,0.0,0x2,
26,0,50,11,3,2,0.0,0x2,
26,0,51,12,3,3,0.0,0x2,
26,0,52,13,3,4,0.0,0x2,
26,0,53,14,3,5,0.0,0x2,
26,0,54,15,3,2,0.0,0x2,
26,0,55,16,3,3,0.0,0x2,
26,0,56,17,3,4,0.0,0x2,
26,0,57,18,3,5,0.0,0x2,
26,0,58,19,3,2,0.0,0x2,
26,0,59,20,3,3,0.0,0x2,
26,0,60,1,4,5,0.0,0x2,
26,0,61,2,4,2,0.0,0x2,
26,0,62,3,4,3,0.0,0x2,
26,0,63,4,4,4,0.0,0x2,
26,0,64,5,4,5,0.0,0x2,
26,0,65,6,4,2,0.0,0x2,
26,0,66,7,4,3,0.0,0x2,
26,0,67,8,4,4,0.0,0x2,
26,0,68,9,4,5,0.0,0x2,
26,0,69,10,4,2,0.0,0x2,
26,0,70,11,4,3,0.0,0x2,
26,0,71,12,4,4,0.0,0x2,
26,0,72,13,4,5,0.0,0x2,
26,0,73,14,4,2,0.0,0x2,
26,0,74,15,4,3,0.0,0x2,
26,0,75,16,4,4,0.0,0x2,
26,0,76,17,4,5,0.0,0x2,
26,0,77,18,4,2,0.0,0x2,
26,0,78,19,4,3,0.0,0x2,
26,0,79,20,4,4,0.0,0x2,
26,0,80,1,5,2,0.0,0x2,
26,0,81,2,5,3,0.0,0x2,
26,0,82,3,5,4,0.0,0x2,
26,0,83,4,5,5,0.0,0x2,
26,0,84,5,5,2,0.0,0x2,
26,0,85,6,5,3,0.0,0x2,
26,0,86,7,5,4,0.0,0x2,
26,0,87,8,5,5,0.0,0x2,
26,0,88,9,5,2,0.0,0x2,
26,0,89,10,5,3,0.0,0x2,
26,0,90,11,5,4,0.0,0x2,
26,0,91,12,5,5,0.0,0x2,
26,0,92,13,5,2,0.0,0x2,
26,0,93,14,5,3,0.0,0x2,
26,0,94,15,5,4,0.0,0x2,
26,0,95,16,5,5,0.0,0x2,
26,0,96,17,5,2,0.0,0x2,
26,0,97,18,5,3,0.0,0x2,
26,0,98,19,5,4,0.0,0x2,
26,0,99,20,5,5,0.0,0x2,
26,0,100,1,6,3,0.0,0x2,
26,0,101,2,6,4,0.0,0x2,
26,0,102,3,6,5,0.0,0x2,
26,0,103,4,6,2,0.0,0x2,
26,0,104,5,6,3,0.0,0x2,
26,0,105,6,6,4,0.0,0x2,
26,0,106,7,6,5,0.0,0x2,
26,0,107,8,6,2,0.0,0x2,
26,0,108,9,6,3,0.0,0x2,
26,0,109,10,6,4,0.0,0x2,
26,0,110,11,6,5,0.0,0x2,
26,0,111,12,6,2,0.0,0x2,
26,0,112,13,6,3,0.0,0x2,
26,0,113,14,6,4,0.0,0x2,
26,0,114,15,6,5,0.0,0x2,
26,0,115,16,6,2,0.0,0x2,
26,0,116,17,6,3,0.0,0x2,
26,0,117,18,6,4,0.0,0x2,
26,0,118,19,6,5,0.0,0x2,
26,0,119,20,6,2,0.0,0x2,
26,0,120,1,7,4,0.0,0x2,
26,0,121,2,7,5,0.0,0x2,
26,0,122,3,7,2,0.0,0x2,
26,0,123,4,7,3,0.0,0x2,
26,0,124,5,7,4,0.0,0x2,
26,0,125,6,7,5,0.0,0x2,
26,0,126,7,7,2,0.0,0x2,
26,0,127,8,7,3,0.0,0x2,
26,0,128,9,7,4,0.0,0x2,
26,0,129,10,7,5,0.0,0x2,
26,0,130,11,7,2,0.0,0x2,
26,0,131,12,7,3,0.0,0x2,
26,0,132,13,7,4,0.0,0x2,
26,0,133,14,7,5,0.0,0x2,
26,0,134,15,7,2,0.0,0x2,
26,0,135,16,7,3,0.0,0x2,
26,0,136,17,7,4,0.0,0x2,
26,0,137,18,7,5,0.0,0x2,
26,0,138,19,7,2,0.0,0x2,
26,0,139,20,7,3,0.0,0x2,
26,1,0,1,1,0,0.0,0x2,
26,1,1,1,2,0,0.0,0x2,
26,1,2,1,3,0,0.0,0x2,
26,1,3,1,4,0,0.0,0x2,
26,1,4,1,5,0,0.0,0x2,
26,1,5,1,6,0,0.0,0x2,
26,1,6,2,1,0,0.0,0x2,
26,1,7,2,2,0,0.0,0x2,
26,1,8,2,3,0,0.0,0x2,
26,1,9,2,4,0,0.0,0x2,
26,1,10,2,5,0,0.0,0x2,
26,1,11,2,6,0,0.0,0x2,
