long,long,long,flags,str,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,str,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,long,long,None,
265,0,0,0x100,"",,,"Explose-chars détruits = %5006w/6",,,,,,,,,,,,,,0xFF01FE,,,"Aidez les troupes de Gnomeregan dans le complexe technique.",,,,,,,,,,,,,,0xFF01FE,5018,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
217,0,0,0x40,"",,,"La bataille pour Fossoyeuse a commencé !",,,,,,,,,,,,,,0xFF01FE,,,"La bataille pour Fossoyeuse a commencé !",,,,,,,,,,,,,,0xFF01FE,3875,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
218,0,0,0x40,"",,,"%3877w minutes avant le début de la bataille pour Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,,,"Temps restant avant le début de la bataille pour Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,3876,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
221,0,0,0x40,"Interface\WorldStateFrame\CombatSwords",,,"La Horde se bat pour le contrôle de la cour !",,,,,,,,,,,,,,0xFF01FE,,,"Aidez les forces de la Horde dans la cour de Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,3885,1,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
222,0,0,0x40,"Interface\TargetingFrame\UI-PVP-Horde",,,"La Horde contrôle la cour !",,,,,,,,,,,,,,0xFF01FE,,,"La zone est maintenant sécurisée.",,,,,,,,,,,,,,0xFF01FE,3886,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
223,0,0,0x40,"Interface\WorldStateFrame\CombatSwords",,,"La Horde se bat pour le contrôle du sanctum intérieur !",,,,,,,,,,,,,,0xFF01FE,,,"Aidez les forces de la Horde dans le quartier des marchands et les canaux !",,,,,,,,,,,,,,0xFF01FE,3887,1,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
224,0,0,0x40,"Interface\TargetingFrame\UI-PVP-Horde",,,"La Horde contrôle le sanctum intérieur !",,,,,,,,,,,,,,0xFF01FE,,,"La zone est maintenant sécurisée.",,,,,,,,,,,,,,0xFF01FE,3888,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
225,0,0,0x40,"Interface\WorldStateFrame\CombatSwords",,,"La Horde se bat pour le contrôle de l'Apothicarium !",,,,,,,,,,,,,,0xFF01FE,,,"Aidez les forces de la Horde dans l'Apothicarium !",,,,,,,,,,,,,,0xFF01FE,3891,1,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
226,0,0,0x40,"Interface\TargetingFrame\UI-PVP-Horde",,,"La Horde contrôle l'Apothicarium !",,,,,,,,,,,,,,0xFF01FE,,,"La zone est maintenant sécurisée.",,,,,,,,,,,,,,0xFF01FE,3892,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
227,0,0,0x40,"Interface\WorldStateFrame\CombatSwords",,,"La Horde se bat pour le contrôle du quartier Royal !",,,,,,,,,,,,,,0xFF01FE,,,"Aidez les forces de la Horde dans le quartier Royal !",,,,,,,,,,,,,,0xFF01FE,3889,1,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
228,0,0,0x40,"Interface\TargetingFrame\UI-PVP-Horde",,,"La Horde contrôle le quartier Royal ! Varimathras est vaincu !",,,,,,,,,,,,,,0xFF01FE,,,"La Horde a repris le contrôle de Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,3890,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
229,0,0,0x40,"",,,"%3893w minute(s) avant la réinitialisation de l'évènement.",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,3894,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
234,0,0,0x80,"Interface\WorldStateFrame\CombatSwords",,,"L'Alliance se bat dans les égouts !",,,,,,,,,,,,,,0xFF01FE,,,"Aidez les forces de l'Alliance dans les égouts de Fossoyeuse !",,,,,,,,,,,,,,0xFF01FE,3962,1,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
235,0,0,0x80,"Interface\TargetingFrame\UI-PVP-Alliance",,,"L'Alliance s'est emparée des égouts !",,,,,,,,,,,,,,0xFF01FE,,,"La zone est maintenant sécurisée.",,,,,,,,,,,,,,0xFF01FE,3964,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
236,0,0,0x80,"",,,"%3957w minutes avant le début de la chasse à l'homme !",,,,,,,,,,,,,,0xFF01FE,,,"Temps restant avant le début de la traque du Grand apothicaire Putrescin.",,,,,,,,,,,,,,0xFF01FE,3958,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
237,0,0,0x80,"",,,"La chasse à l'homme a commencé !",,,,,,,,,,,,,,0xFF01FE,,,"La chasse à l'homme a commencé !",,,,,,,,,,,,,,0xFF01FE,3966,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
238,0,0,0x80,"Interface\WorldStateFrame\CombatSwords",,,"L'Alliance se bat dans l'Apothicarium !",,,,,,,,,,,,,,0xFF01FE,,,"Aidez les forces de l'Alliance dans l'Apothicarium !",,,,,,,,,,,,,,0xFF01FE,3972,1,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
239,0,0,0x80,"Interface\TargetingFrame\UI-PVP-Alliance",,,"L'Alliance a pris le contrôle de l'Apothicarium !",,,,,,,,,,,,,,0xFF01FE,,,"La zone est maintenant sécurisée. Putrescin est battu !",,,,,,,,,,,,,,0xFF01FE,3971,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
271,0,0,0x100,"Interface\TargetingFrame\UI-PVP-Alliance",,,"%5037w minutes avant le début de l'Opération Gnomeregan !",,,,,,,,,,,,,,0xFF01FE,,,"L'opération Gnomeregan commencera à ce moment",,,,,,,,,,,,,,0xFF01FE,5038,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
136,0,139,0x0,"Interface\WorldStateFrame\AllianceTower",,,"Contrôlées : %2327w",,,,,,,,,,,,,,0xFF01FE,,,"Tours contrôlées par l'Alliance",,,,,,,,,,,,,,0xFF01FE,0,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
137,0,139,0x0,"Interface\WorldStateFrame\HordeTower",,,"Contrôlées : %2328w",,,,,,,,,,,,,,0xFF01FE,,,"Tours contrôlées par la Horde",,,,,,,,,,,,,,0xFF01FE,0,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
138,0,139,0x0,"",,,"Progression : %2427w",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2426,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"CAPTUREPOINT",2427,2428,,
274,1,0,0x100,"Interface\TargetingFrame\UI-PVP-Horde",,,"Les Sombrelances sont prêts à reprendre les îles de l'Écho.",,,,,,,,,,,,,,0xFF01FE,,,"Les Sombrelances sont prêts à reprendre les îles de l'Écho.",,,,,,,,,,,,,,0xFF01FE,5052,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
277,1,0,0x100,"Interface\TargetingFrame\UI-PVP-Horde",,,"Les trolls ont Bwonsamdi à leurs côtés !",,,,,,,,,,,,,,0xFF01FE,,,"Les trolls ont Bwonsamdi à leurs côtés !",,,,,,,,,,,,,,0xFF01FE,5100,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
279,1,0,0x100,"Interface\TargetingFrame\UI-PVP-Horde",,,"Le village incendié a été repris !",,,,,,,,,,,,,,0xFF01FE,,,"Les trolls ont éliminé les troupes décérébrées du village incendié.",,,,,,,,,,,,,,0xFF01FE,5101,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
281,1,0,0x100,"Interface\TargetingFrame\UI-PVP-Horde",,,"Zalazane a fui vers une autre île !",,,,,,,,,,,,,,0xFF01FE,,,"Les troupes trolles ont forcé Zalazane à fuir vers une autre île.",,,,,,,,,,,,,,0xFF01FE,5102,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
283,1,0,0x100,"Interface\TargetingFrame\UI-PVP-Horde",,,"Zalazane a été vaincu !",,,,,,,,,,,,,,0xFF01FE,,,"Zalazane a été vaincu !",,,,,,,,,,,,,,0xFF01FE,5061,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
276,1,0,0x100,"Interface\WorldStateFrame\CombatSwords",,,"Demander l'aide de Bwonsamdi",,,,,,,,,,,,,,0xFF01FE,,,"Aider les trolls à convaincre Bwonsamdi de leur porter secours",,,,,,,,,,,,,,0xFF01FE,5099,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
278,1,0,0x100,"Interface\WorldStateFrame\CombatSwords",,,"Aider les trolls à reprendre le village incendié.",,,,,,,,,,,,,,0xFF01FE,,,"Aider les trolls à reprendre le village incendié.",,,,,,,,,,,,,,0xFF01FE,5056,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
280,1,0,0x100,"Interface\WorldStateFrame\CombatSwords",,,"Vol'jin et ses troupes combattent Zalazane.",,,,,,,,,,,,,,0xFF01FE,,,"Vol'jin et ses troupes combattent Zalazane et ses serviteurs trolls maléficiés.",,,,,,,,,,,,,,0xFF01FE,5090,0,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
282,1,0,0x100,"Interface\WorldStateFrame\CombatSwords",,,"Les troupes combattent Zalazane",,,,,,,,,,,,,,0xFF01FE,,,"Les troupes combattent Zalazane",,,,,,,,,,,,,,0xFF01FE,5060,0,"Interface\WorldStateFrame\CombatSwords",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
275,1,0,0x100,"Interface\TargetingFrame\UI-PVP-Horde",,,"%5071w minutes avant le début de la reprise des îles de l'Écho !",,,,,,,,,,,,,,0xFF01FE,,,"La reprise des îles de l'Écho commencera à ce moment",,,,,,,,,,,,,,0xFF01FE,5070,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
178,1,513,0x0,"",,,"%3082w / 12 Tireur(s) d'élite restant(s).",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de défenseurs de Theramore encore en vie.",,,,,,,,,,,,,,0xFF01FE,3083,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
126,1,1377,0x0,"Interface\TargetingFrame\UI-PVP-Alliance",,,"%2313w/%2317w",,,,,,,,,,,,,,0xFF01FE,,,"Silithyste collectée par l'Alliance",,,,,,,,,,,,,,0xFF01FE,0,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
127,1,1377,0x0,"Interface\TargetingFrame\UI-PVP-Horde",,,"%2314w/%2317w",,,,,,,,,,,,,,0xFF01FE,,,"Silithyste collectée par la Horde",,,,,,,,,,,,,,0xFF01FE,0,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
180,30,0,0x0,"Interface\TargetingFrame\UI-PVP-Alliance",,,"Renforts : %3127w",,,,,,,,,,,,,,0xFF01FE,,,"Renforts de l'Alliance",,,,,,,,,,,,,,0xFF01FE,3134,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
181,30,0,0x0,"Interface\TargetingFrame\UI-PVP-Horde",,,"Renforts : %3128w",,,,,,,,,,,,,,0xFF01FE,,,"Renforts de la Horde",,,,,,,,,,,,,,0xFF01FE,3133,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
63,30,0,0x0,"Interface\WorldStateFrame\ColumnIcon-GraveyardCapture",,,"Cimetières
attaqués",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de fois où les bannières des cimetières ennemis ont été saisies",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
65,30,0,0x0,"Interface\WorldStateFrame\ColumnIcon-GraveyardDefend",,,"Cimetières
défendus",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de fois où la prise d'un cimetière a été évitée",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
61,30,0,0x0,"Interface\WorldStateFrame\ColumnIcon-TowerCapture",,,"Tours attaquées",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de fois où les bannières des tours ennemies ont été saisies",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
64,30,0,0x0,"Interface\WorldStateFrame\ColumnIcon-TowerDefend",,,"Tours défendues",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de fois où la prise d'une tour a été évitée",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
82,30,0,0x0,"",,,"Objectifs secondaires",,,,,,,,,,,,,,0xFF01FE,,,"Nombre d'unités secondaires activées",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
150,269,2366,0x0,"",,,"Bouclier de Medivh restant : %2540w%",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2541,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
171,269,2366,0x0,"",,,"Failles temporelles ouvertes : %2784w/18",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2541,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
42,489,0,0x0,"Interface\WorldStateFrame\ColumnIcon-FlagCapture",,,"Drapeaux capturés",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de fois où vous avez capturé le drapeau ennemi",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
44,489,0,0x0,"Interface\WorldStateFrame\ColumnIcon-FlagReturn",,,"Drapeaux ramenés",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de fois où vous avez rapporté votre drapeau à la base",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
244,489,3277,0x0,"",,,"Temps restant : %4248w min.",,,,,,,,,,,,,,0xFF01FE,,,"Temps restant",,,,,,,,,,,,,,0xFF01FE,4247,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
2,489,3277,0x0,"Interface\TargetingFrame\UI-PVP-Alliance",,,"%1581w/%1601w",,,,,,,,,,,,,,0xFF01FE,,,"Drapeaux capturés par l'Alliance",,,,,,,,,,,,,,0xFF01FE,2339,0,"Interface\WorldStateFrame\HordeFlag",,,"Le drapeau de la Horde a été pris",,,,,,,,,,,,,,0xFF01FE,"",0,0,,
3,489,3277,0x0,"Interface\TargetingFrame\UI-PVP-Horde",,,"%1582w/%1601w",,,,,,,,,,,,,,0xFF01FE,,,"Drapeaux capturés par la Horde",,,,,,,,,,,,,,0xFF01FE,2338,0,"Interface\WorldStateFrame\AllianceFlag",,,"Le drapeau de l'Alliance a été pris",,,,,,,,,,,,,,0xFF01FE,"",0,0,,
101,529,0,0x0,"Interface\TargetingFrame\UI-PVP-Alliance",,,"Bases : %1779w  Ressources: %1776w/%1780w",,,,,,,,,,,,,,0xFF01FE,,,"Situation de l'Alliance",,,,,,,,,,,,,,0xFF01FE,0,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
102,529,0,0x0,"Interface\TargetingFrame\UI-PVP-Horde",,,"Bases : %1778w  Ressources: %1777w/%1780w",,,,,,,,,,,,,,0xFF01FE,,,"Situation de la Horde",,,,,,,,,,,,,,0xFF01FE,0,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
122,529,0,0x0,"Interface\WorldStateFrame\ColumnIcon-TowerCapture",,,"Bases attaquées",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de fois où les bannières de la base ennemie ont été retirées",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
123,529,0,0x0,"Interface\WorldStateFrame\ColumnIcon-TowerDefend",,,"Bases défendues",,,,,,,,,,,,,,0xFF01FE,,,"Nombre de fois où la prise d'une base a été évitée",,,,,,,,,,,,,,0xFF01FE,0,2,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
139,530,3483,0x0,"",,,"Progression : %2427w",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2473,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"CAPTUREPOINT",2474,2475,,
140,530,3483,0x0,"Interface\WorldStateFrame\AllianceTower",,,"Contrôlés : %2476w",,,,,,,,,,,,,,0xFF01FE,,,"Forts contrôlés par l'Alliance",,,,,,,,,,,,,,0xFF01FE,2490,1,"",,,"Dernier vainqueur : l'Alliance",,,,,,,,,,,,,,0xFF01FE,"",0,0,,
141,530,3483,0x0,"Interface\WorldStateFrame\HordeTower",,,"Contrôlés : %2478w",,,,,,,,,,,,,,0xFF01FE,,,"Forts contrôlés par la Horde",,,,,,,,,,,,,,0xFF01FE,2489,1,"",,,"Dernier vainqueur : la Horde",,,,,,,,,,,,,,0xFF01FE,"",0,0,,
144,530,3518,0x0,"Interface\TargetingFrame\UI-PVP-Horde",,,"Gardes restants : %2491w/%2493w",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2503,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
145,530,3518,0x0,"",,,"Progrès : %2494w",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2495,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"CAPTUREPOINT",2494,2497,,
146,530,3518,0x0,"Interface\TargetingFrame\UI-PVP-Alliance",,,"Gardes restants : %2491w/%2493w",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2502,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
163,530,3519,0x0,"",,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,2623,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"CAPTUREPOINT",2625,2624,,
147,530,3519,0x0,"Interface\WorldStateFrame\NeutralTower",,,"Temps restant : %2509w:%2512w%2510w",,,,,,,,,,,,,,0xFF01FE,,,"Temps restant avant que la tour des esprits puisse être capturée.",,,,,,,,,,,,,,0xFF01FE,2508,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
161,530,3519,0x0,"Interface\WorldStateFrame\AllianceTower",,,"Tours contrôlées : %2621w",,,,,,,,,,,,,,0xFF01FE,,,"Tours contrôlées par l'Alliance",,,,,,,,,,,,,,0xFF01FE,2620,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
162,530,3519,0x0,"Interface\WorldStateFrame\HordeTower",,,"Tours contrôlées : %2622w",,,,,,,,,,,,,,0xFF01FE,,,"Tours de la Horde contrôlées",,,,,,,,,,,,,,0xFF01FE,2620,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
168,530,3519,0x0,"Interface\WorldStateFrame\AllianceTower",,,"Temps restant - %2509w:%2512w%2510w",,,,,,,,,,,,,,0xFF01FE,,,"Temps restant avant que la tour des esprits puisse être capturée.",,,,,,,,,,,,,,0xFF01FE,2767,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
169,530,3519,0x0,"Interface\WorldStateFrame\HordeTower",,,"Temps restant - %2509w:%2512w%2510w",,,,,,,,,,,,,,0xFF01FE,,,"Temps restant avant que la tour des esprits puisse être capturée.",,,,,,,,,,,,,,0xFF01FE,2768,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
148,530,3521,0x0,"",,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,2527,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"CAPTUREPOINT",2528,2529,,
149,530,3521,0x0,"",,,"",,,,,,,,,,,,,,0xFF01FC,,,"",,,,,,,,,,,,,,0xFF01FC,2533,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"CAPTUREPOINT",2534,2535,,
153,530,3521,0x0,"Interface\WorldStateFrame\AllianceTower",,,"Balise ouest",,,,,,,,,,,,,,0xFF01FE,,,"Balise contrôlée par l'Alliance",,,,,,,,,,,,,,0xFF01FE,2555,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
154,530,3521,0x0,"Interface\WorldStateFrame\HordeTower",,,"Balise ouest",,,,,,,,,,,,,,0xFF01FE,,,"Balise contrôlée par la Horde",,,,,,,,,,,,,,0xFF01FE,2556,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
155,530,3521,0x0,"Interface\WorldStateFrame\NeutralTower",,,"Balise ouest",,,,,,,,,,,,,,0xFF01FE,,,"Balise neutre",,,,,,,,,,,,,,0xFF01FE,2557,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
156,530,3521,0x0,"Interface\WorldStateFrame\AllianceTower",,,"Balise est",,,,,,,,,,,,,,0xFF01FE,,,"Balise contrôlée par l'Alliance",,,,,,,,,,,,,,0xFF01FE,2558,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
157,530,3521,0x0,"Interface\WorldStateFrame\HordeTower",,,"Balise est",,,,,,,,,,,,,,0xFF01FE,,,"Balise contrôlée par la Horde",,,,,,,,,,,,,,0xFF01FE,2559,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
158,530,3521,0x0,"Interface\WorldStateFrame\NeutralTower",,,"Balise est",,,,,,,,,,,,,,0xFF01FE,,,"Balise neutre",,,,,,,,,,,,,,0xFF01FE,2560,1,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
173,530,3831,0x0,"",,,"Portail dimensionnel nord : %2880w%",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2889,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
174,530,3831,0x0,"",,,"Portail dimensionnel sud : %2881w%",,,,,,,,,,,,,,0xFF01FE,,,"",,,,,,,,,,,,,,0xFF01FC,2889,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
177,530,4008,0x0,"",,,"Bouclier restant : %3054w%",,,,,,,,,,,,,,0xFF01FE,,,"Pourcentage restant du bouclier",,,,,,,,,,,,,,0xFF01FE,3055,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
142,534,3606,0x0,"",,,"Envahisseurs = %2454w",,,,,,,,,,,,,,0xFF01FE,,,"Nombre d'envahisseurs dans la base de la Horde",,,,,,,,,,,,,,0xFF01FE,2453,0,"",,,"",,,,,,,,,,,,,,0xFF01FC,"",0,0,,
