long,long,long,long,long,long,long,bool,long,flags,long,long,long,flags,long,long,long,long,long,long,long,long,long,long,long,long,float,float,float,float,float,float,
70,114,118,0,288,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
71,217,218,304,0,0,0,0,0,0x0,1,3015,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
72,266,425,130,3450,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
73,131,132,0,136,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
74,137,138,0,0,0,729,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
75,140,141,142,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
76,99,270,146,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
77,99,96,147,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
78,99,270,148,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
79,99,96,149,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
80,99,270,150,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
81,99,96,151,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
82,99,270,152,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
83,99,96,153,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
84,0,0,0,1564,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
85,43,67,82,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
86,99,270,226,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
87,266,730,0,27,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
88,159,0,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
89,0,0,0,0,0,0,1,188,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
90,0,162,133,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
91,64,0,0,0,0,0,0,0,0x0,1,0,1142,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
92,163,0,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
93,166,0,0,0,0,0,0,0,0x0,1,3782,1143,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
94,106,47,18,0,0,0,1,32,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
95,169,47,18,0,0,0,1,32,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
96,170,47,18,0,0,0,1,32,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
97,124,316,317,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
98,171,172,0,0,0,0,0,0,0x0,1,3318,0,0x0,0,0,-1,0,0,0,0,0,0,0,11803,0,0.0,0.0,0.0,0.0,0.0,0.0,
99,217,218,7773,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
100,0,173,0,3949,0,3729,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
101,0,438,0,0,0,0,0,0,0x0,1,0,0,0x2,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
102,159,0,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
103,0,38,0,69,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
104,176,0,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
105,217,218,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,9176,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
106,0,178,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
107,0,179,362,0,0,0,0,0,0x0,1,1454,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
108,358,368,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
109,0,180,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
110,0,182,815,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
111,0,0,145,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
112,0,182,82,349,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
113,0,86,90,33,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
114,0,0,419,0,0,0,1,2042,0x0,1,-1,0,0x1,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
115,31,160,18,108,0,108,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
116,194,202,0,125,0,0,0,231,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
117,0,6332,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
118,0,0,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,9174,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
119,12,11,0,108,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
120,184,119,121,0,0,0,0,224,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
121,0,0,220,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
122,217,218,54,0,0,0,0,157,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
123,30,38,213,0,0,0,1,237,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
124,194,203,222,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
125,338,224,318,0,0,718,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,9181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
126,186,329,211,349,0,0,1,225,0x0,1,3012,0,0x101,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
127,302,302,0,303,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
128,184,119,291,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
129,187,188,210,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
130,217,218,227,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
131,266,730,230,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
132,184,119,228,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
133,67,0,82,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
134,99,270,231,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
135,99,270,232,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
136,196,204,214,0,0,0,1,232,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
137,217,4910,0,325,0,4911,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
138,398,275,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
139,114,118,0,288,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
140,217,493,310,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
141,60,61,273,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
142,345,181,319,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
143,0,38,728,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
144,196,204,214,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
145,0,356,283,360,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
146,0,0,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
147,0,237,232,0,0,0,0,0,0x0,1,0,0,0x2,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
148,238,239,213,349,0,0,1,258,0x0,2,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,9318,0,0.0,0.0,0.0,0.0,0.0,0.0,
149,0,0,0,242,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
150,114,3269,0,243,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
151,114,118,0,244,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
152,186,189,456,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
153,0,0,251,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
154,99,417,0,252,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
155,0,253,410,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
156,159,0,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
157,60,61,249,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
158,0,267,254,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
159,0,0,0,0,0,11029,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
160,0,750,831,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
161,403,260,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
162,171,172,1006,0,0,0,1,224,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
163,0,11754,0,262,0,342,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
164,0,265,0,814,0,284,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
165,0,265,264,0,0,473,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
166,0,268,290,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
167,0,269,0,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
168,217,218,271,0,0,0,0,0,0x0,1,0,0,0x0,0,0,-1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
