long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,
25,,,"La bataille pour le goulet des Chanteguerres s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent dans le goulet.",,,,,,,,,,,,,,0xFF01FE,
26,,,"La foire de Sombrelune est installée au pied des Pitons du Tonnerre.

Rendez visite à Silas Sombrelune et sa troupe, jouez à des jeux qui mettront à l'épreuve votre esprit et vos nerfs, et découvrez des visions exotiques venues des quatre coins d'Azeroth… et au-delà !",,,,,,,,,,,,,,0xFF01FE,
27,,,"La foire de Sombrelune est installée à l'extérieur de Shattrath.

Rendez visite à Silas Sombrelune et sa troupe, jouez à des jeux qui mettront à l'épreuve votre esprit et vos nerfs, et découvrez des visions exotiques venues des quatre coins d'Azeroth… et au-delà !",,,,,,,,,,,,,,0xFF01FE,
41,,,"La bataille pour le rivage des Anciens s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent sur le rivage des Anciens.",,,,,,,,,,,,,,0xFF01FE,
61,,,"Le départ pour le courroux du roi-liche se fera le 13 novembre.

Des vaisseaux de l'Alliance prendront la mer depuis les ports de Ménéthil et Hurlevent.

Des zeppelins de la Horde largueront leurs amarres à l'extérieur d'Orgrimmar et de Fossoyeuse.

À bientôt en Norfendre...",,,,,,,,,,,,,,0xFF01FE,
81,,,"À l'occasion du Jour des morts, les gens se rassemblent dans les cimetières pour célébrer et chérir la mémoire de leurs proches disparus.

Les festivités se déroulent dans les cimetières des grandes villes, où les participants se réunissent pour cuisiner, danser, ou encore pour se déguiser.",,,,,,,,,,,,,,0xFF01FE,
101,,,"Les Bienfaits du pèlerin est un moment où l'on se rappelle que la chance nous a souri, et où l'on partage son repas avec tous ceux qui nous entourent.",,,,,,,,,,,,,,0xFF01FE,
121,,,"La bataille pour l'île des Conquérants s'intensifie. Un plus grand honneur est donné à ceux qui prêtent allégeance à leur seigneur et qui se battent sur l'île.",,,,,,,,,,,,,,0xFF01FE,
141,,,"Test test",,,,,,,,,,,,,,0xFF01FE,
161,,,"Les Kalu'ak organisent un tournoi de pêche tous les quelques jours en Norfendre. Attrapez en premier un requin pointe-noire et gagnez le respect des Kalu'ak, ainsi qu'une incroyable récompense !",,,,,,,,,,,,,,0xFF01FE,
