long,long,long,long,float,
1184,571,23940,27,0.0,
1185,571,23941,27,0.0,
1186,571,23942,27,0.0,
1179,571,23974,27,0.0,
1180,571,24042,27,0.0,
1153,571,24064,27,0.0,
1181,571,24069,27,0.0,
1204,571,24527,27,0.0,
1205,571,24529,27,0.0,
1206,571,24530,27,0.0,
1207,571,24536,27,0.0,
1208,571,24537,27,0.0,
1137,571,24539,26,0.0,
1138,571,24540,26,0.0,
1170,571,24552,27,0.0,
1171,571,24553,27,0.0,
1172,571,24554,27,0.0,
1173,571,24555,27,0.0,
1174,571,24556,27,0.0,
1175,571,24558,27,0.0,
1203,571,24573,27,0.0,
1193,571,24579,27,0.0,
1194,571,24584,27,0.0,
1165,571,24591,27,0.0,
1178,571,24609,27,0.0,
1189,571,24610,27,0.0,
1187,571,24615,27,0.0,
1188,571,24616,27,0.0,
1190,571,24647,27,0.0,
1191,571,24676,27,0.0,
1192,571,24677,27,0.0,
1168,571,24685,27,0.0,
1166,571,24693,27,0.0,
1167,571,24694,27,0.0,
1169,571,24704,27,0.0,
1225,571,24710,27,0.0,
1154,571,24711,27,0.0,
1155,571,24713,27,0.0,
1196,571,24717,27,0.0,
1197,571,24718,27,0.0,
1198,571,24719,27,0.0,
1199,571,24720,27,0.0,
1200,571,24722,27,0.0,
1201,571,24724,27,0.0,
1202,571,24725,27,0.0,
1156,571,24726,27,634.0,
1157,571,24727,27,0.0,
1176,571,24734,27,0.0,
1177,571,24735,27,0.0,
1195,571,24769,27,0.0,
1140,571,24815,27,0.0,
1141,571,24816,27,0.0,
1142,571,24819,27,0.0,
1143,571,24820,27,0.0,
1144,571,24821,27,0.0,
1145,571,24822,27,0.0,
1146,571,24823,27,0.0,
1147,571,24824,27,0.0,
1148,571,24825,27,0.0,
1149,571,24826,27,0.0,
1150,571,24827,27,0.0,
1151,571,24828,27,0.0,
1152,571,24829,27,0.0,
1158,571,24850,27,0.0,
1159,571,24851,27,0.0,
1160,571,24939,27,0.0,
1161,571,24940,27,0.0,
1162,571,24941,27,0.0,
1163,571,24942,27,0.0,
1164,571,24943,27,0.0,
1267,571,25038,27,-10000.0,
1268,571,25039,27,-10000.0,
1269,571,25040,27,-10000.0,
1283,571,25041,27,-10000.0,
1249,571,25063,27,-10000.0,
1250,571,25064,27,-10000.0,
1251,571,25065,27,-10000.0,
1252,571,25066,27,-10000.0,
1253,571,25067,27,-10000.0,
1254,571,25068,27,-10000.0,
1259,571,25069,27,-10000.0,
1260,571,25070,27,-10000.0,
1261,571,25071,27,-10000.0,
1262,571,25072,27,-10000.0,
1263,571,25073,27,-10000.0,
1264,571,25074,27,-10000.0,
1265,571,25076,27,-10000.0,
1266,571,25077,27,-10000.0,
1255,571,25123,27,-10000.0,
1256,571,25131,27,-10000.0,
1275,571,25132,26,-10000.0,
1270,571,25133,27,-10000.0,
1276,571,25133,26,-10000.0,
1272,571,25134,26,-10000.0,
1271,571,25135,27,-10000.0,
1277,571,25135,26,-10000.0,
1274,571,25136,26,-10000.0,
1308,571,25136,27,-10000.0,
1273,571,25137,26,-10000.0,
1307,571,25137,27,-10000.0,
1258,571,25145,27,-10000.0,
1257,571,25177,27,-10000.0,
1300,571,25204,27,-10000.0,
1301,571,25205,27,-10000.0,
1296,571,25206,27,-10000.0,
1297,571,25207,27,-10000.0,
1298,571,25208,27,-10000.0,
1299,571,25209,27,-10000.0,
1295,571,25288,27,-10000.0,
1285,571,25320,27,-10000.0,
1289,571,25360,27,-10000.0,
1278,571,25367,27,-10000.0,
1281,571,25368,27,-10000.0,
1280,571,25369,27,-10000.0,
1282,571,25370,27,-10000.0,
1279,571,25371,27,-10000.0,
1287,571,25381,27,-10000.0,
1291,571,25383,27,-10000.0,
1288,571,25384,27,-10000.0,
1293,571,25406,27,-10000.0,
1294,571,25418,27,-10000.0,
1284,571,25419,27,-10000.0,
1302,571,25420,27,-10000.0,
1311,571,25430,26,-10000.0,
1312,571,25431,26,-10000.0,
1304,571,25436,27,-10000.0,
1305,571,25607,27,-10000.0,
1309,571,25607,26,-10000.0,
1306,571,25608,27,-10000.0,
1310,571,25608,26,-10000.0,
1292,571,25696,27,-10000.0,
1286,571,25768,27,-10000.0,
1303,571,25794,27,-10000.0,
1290,571,25808,27,-10000.0,
1317,571,25837,27,-10000.0,
1316,571,25838,27,-10000.0,
1318,571,25839,27,-10000.0,
1314,571,25840,27,-10000.0,
1319,571,25841,27,-10000.0,
1313,571,25868,27,-10000.0,
1320,571,25869,27,-10000.0,
1315,571,25870,27,-10000.0,
14,574,22841,1,-10000.0,
10,574,22842,1,-10000.0,
15,574,22843,1,-10000.0,
4,574,22848,1,-10000.0,
5,574,22849,1,-10000.0,
11,574,22850,1,-10000.0,
1456,574,22853,1,-10000.0,
16,574,22853,2,68.0,
8,574,22854,2,-10000.0,
1736,574,22854,41,155.0,
13,574,22855,41,-10000.0,
1459,574,22855,41,-10000.0,
12,574,22856,2,-10000.0,
9,574,22857,41,-10000.0,
1457,574,22857,41,-10000.0,
7,574,22881,1,-10000.0,
1710,574,22882,1,-10000.0,
3,574,22887,2,-10000.0,
1458,574,22887,41,136.0,
17,574,22887,41,156.0,
1584,574,23096,1,-10000.0,
1585,574,23097,41,-10000.0,
1443,575,22552,40,-10000.0,
1441,575,22619,40,-10000.0,
1434,575,22698,39,-10000.0,
1453,575,22698,40,80.0,
1432,575,22727,39,-10000.0,
1446,575,22799,40,-10000.0,
1587,575,23015,40,-10000.0,
1586,575,23016,40,-10000.0,
1435,575,23017,39,-10000.0,
1454,575,23017,40,76.0,
1447,575,23018,40,-10000.0,
1448,575,23019,40,-10000.0,
1449,575,23072,40,-10000.0,
1450,575,23083,40,-10000.0,
1445,575,23084,40,-10000.0,
1440,575,23094,40,-10000.0,
1442,575,23101,40,-10000.0,
1433,575,23102,39,-10000.0,
1430,575,23103,39,-10000.0,
1452,575,23103,40,77.0,
1431,575,23107,39,-10000.0,
1455,575,23107,40,92.0,
1428,575,23108,39,-10000.0,
1708,575,23108,40,102.0,
1451,575,23109,40,-10000.0,
1439,575,23128,40,-10000.0,
1429,575,23129,39,-10000.0,
1444,575,23202,40,-10000.0,
1437,575,25499,40,-10000.0,
1588,575,25500,40,-10000.0,
1116,576,22597,25,-10000.0,
1124,576,22598,25,-10000.0,
1117,576,23332,25,-10000.0,
1118,576,23333,25,-10000.0,
1128,576,23334,25,-10000.0,
1119,576,23335,25,-10000.0,
1129,576,23336,25,-10000.0,
1120,576,23337,25,-10000.0,
1130,576,23338,25,-10000.0,
1121,576,23339,25,-10000.0,
1122,576,23340,25,-10000.0,
1131,576,23441,25,-10000.0,
1123,576,23442,25,-10000.0,
1132,576,23443,25,-10000.0,
1127,576,23444,25,-10000.0,
1114,576,23473,25,-10000.0,
1115,576,23474,25,-10000.0,
1125,576,23545,25,-10000.0,
1126,576,23546,25,-10000.0,
1133,576,24024,25,-10000.0,
1134,576,24025,25,-10000.0,
1135,576,24026,25,-10000.0,
1136,576,24027,25,-10000.0,
1468,578,22730,45,-10000.0,
1697,578,23874,42,-10000.0,
1696,578,23875,42,-10000.0,
1472,578,24568,46,-10000.0,
1461,578,24598,42,-10000.0,
1465,578,24599,43,-10000.0,
1464,578,24600,43,-10000.0,
1463,578,24601,43,-10000.0,
1470,578,24602,45,-10000.0,
1471,578,24603,45,-10000.0,
1469,578,24604,45,-10000.0,
1467,578,24633,43,-10000.0,
1466,578,24635,42,-10000.0,
1462,578,24639,43,-10000.0,
1704,578,25366,46,-10000.0,
1355,595,23384,34,-10000.0,
1356,595,23385,34,-10000.0,
1357,595,23386,34,-10000.0,
1358,595,23387,34,-10000.0,
1359,595,23388,34,-10000.0,
1336,595,23389,34,-10000.0,
1360,595,23390,34,-10000.0,
1361,595,23391,34,-10000.0,
1337,595,23392,34,-10000.0,
1362,595,23393,34,-10000.0,
1338,595,23394,34,-10000.0,
1363,595,23395,34,-10000.0,
1339,595,23396,34,-10000.0,
1364,595,23397,34,-10000.0,
1340,595,23398,34,-10000.0,
1365,595,23399,34,-10000.0,
1341,595,23400,34,-10000.0,
1366,595,23401,34,-10000.0,
1367,595,23402,34,-10000.0,
1342,595,23403,34,-10000.0,
1368,595,23404,34,-10000.0,
1349,595,23424,34,-10000.0,
1333,595,23425,34,-10000.0,
1369,595,23428,34,-10000.0,
1350,595,23435,34,-10000.0,
1352,595,23436,34,-10000.0,
1332,595,23447,34,-10000.0,
1353,595,23448,34,-10000.0,
1343,595,23463,34,-10000.0,
1354,595,23464,34,-10000.0,
1371,595,23490,34,-10000.0,
1334,595,23499,34,-10000.0,
1370,595,23500,34,-10000.0,
1335,595,23501,34,-10000.0,
1345,595,23511,34,-10000.0,
1346,595,23512,34,-10000.0,
1344,595,23513,34,-10000.0,
1348,595,23538,34,-10000.0,
1347,595,23609,34,-10000.0,
1351,595,23610,34,-10000.0,
1492,599,23694,53,-10000.0,
1493,599,23697,53,-10000.0,
1494,599,23699,53,-10000.0,
1495,599,23818,53,-10000.0,
1496,599,23819,53,-10000.0,
1497,599,23953,53,-10000.0,
1499,599,23954,53,-10000.0,
1500,599,23957,53,-10000.0,
1501,599,23958,53,-10000.0,
1487,599,24073,53,-10000.0,
1488,599,24401,53,-10000.0,
1489,599,24402,53,-10000.0,
1490,599,24403,53,-10000.0,
1491,599,24404,53,-10000.0,
1498,599,25283,53,-10000.0,
1400,600,23718,37,-10000.0,
1407,600,23719,37,-10000.0,
1401,600,23720,37,-10000.0,
1397,600,23721,37,-10000.0,
1410,600,23810,37,-10000.0,
1418,600,23811,38,-10000.0,
1409,600,23812,37,-10000.0,
1408,600,23813,37,-10000.0,
1419,600,23839,38,-10000.0,
1398,600,23840,37,-10000.0,
1399,600,23841,37,-10000.0,
1414,600,23842,38,-10000.0,
1426,600,23842,37,-10000.0,
1405,600,23891,37,-10000.0,
1402,600,23893,37,-10000.0,
1404,600,23894,37,-10000.0,
1705,600,24101,38,-10000.0,
1706,600,24102,38,-10000.0,
1406,600,24103,37,-10000.0,
1707,600,24103,38,65.0,
1403,600,24104,37,-10000.0,
1424,600,24448,38,-10000.0,
1589,600,24455,37,-10000.0,
1411,600,24905,37,-10000.0,
1413,600,24992,38,-10000.0,
1425,600,24993,37,-10000.0,
1420,600,24993,38,31.0,
1698,600,25025,37,-10000.0,
1415,600,25030,38,-10000.0,
1427,600,25030,37,-10000.0,
1417,600,25031,38,-10000.0,
1412,600,25849,38,-10000.0,
1475,601,24549,49,-10000.0,
1734,601,24550,47,-10000.0,
1473,601,24879,47,-10000.0,
1474,601,25050,48,-10000.0,
1476,601,25050,49,727.0,
1711,601,25886,47,-10000.0,
1508,602,23999,55,-10000.0,
1504,602,24000,54,-10000.0,
1709,602,24000,55,56.0,
1502,602,24001,54,-10000.0,
1506,602,24001,55,37.0,
1509,602,24002,55,-10000.0,
1507,602,24003,55,-10000.0,
1510,602,24004,55,-10000.0,
1503,602,24479,54,-10000.0,
1505,602,24678,55,-10000.0,
1648,603,24075,69,-10000.0,
1647,603,24076,69,-10000.0,
1649,603,24077,69,-10000.0,
1645,603,24080,69,-10000.0,
1641,603,24082,69,-10000.0,
1644,603,24083,69,-10000.0,
1673,603,24084,71,250.0,
1664,603,24084,70,400.0,
1656,603,24086,70,-10000.0,
1661,603,24405,70,-10000.0,
1657,603,24436,70,-10000.0,
1658,603,24437,70,-10000.0,
1659,603,24438,70,-10000.0,
1660,603,24439,70,-10000.0,
1688,603,24441,70,-10000.0,
1653,603,24442,70,-10000.0,
1654,603,24443,70,-10000.0,
1667,603,24457,70,-10000.0,
1662,603,24458,70,-10000.0,
1665,603,24459,70,-10000.0,
1646,603,24460,69,-10000.0,
1670,603,24669,70,-10000.0,
1663,603,24771,70,-10000.0,
1650,603,25884,70,-10000.0,
1687,603,25884,71,250.0,
1668,603,25891,70,-10000.0,
1655,603,25903,70,-10000.0,
1674,603,25905,71,250.0,
1643,603,25906,69,-10000.0,
1672,603,25928,71,250.0,
1642,603,25929,69,-10000.0,
1689,603,25931,70,-10000.0,
1691,603,25932,70,-10000.0,
1690,603,25933,70,-10000.0,
1719,603,25934,70,-10000.0,
1677,603,25944,72,-10000.0,
1720,603,25945,70,-10000.0,
1681,603,25960,72,-10000.0,
1685,603,25961,72,-10000.0,
1679,603,25962,72,-10000.0,
1683,603,25963,72,-10000.0,
1676,603,25973,72,-10000.0,
1669,603,25998,70,-10000.0,
1749,603,26003,98,0.0,
1750,603,26004,98,0.0,
1752,603,26005,98,0.0,
1751,603,26006,98,0.0,
1671,603,26048,71,250.0,
1737,603,26083,71,250.0,
1746,603,26204,70,-10000.0,
1745,603,26205,70,-10000.0,
1375,604,24860,36,-10000.0,
1376,604,24889,36,-10000.0,
1385,604,24946,36,-10000.0,
1386,604,24947,36,-10000.0,
1387,604,25049,36,-10000.0,
1388,604,25058,36,-10000.0,
1373,604,25060,36,-10000.0,
1374,604,25061,36,-10000.0,
1394,604,25103,36,-10000.0,
1377,604,25146,36,-10000.0,
1378,604,25147,36,-10000.0,
1379,604,25148,36,-10000.0,
1380,604,25149,36,-10000.0,
1381,604,25150,36,-10000.0,
1382,604,25151,36,-10000.0,
1383,604,25263,36,-10000.0,
1384,604,25264,36,-10000.0,
1389,604,25349,36,-10000.0,
1390,604,25434,36,-10000.0,
1391,604,25435,36,-10000.0,
1392,604,25805,36,-10000.0,
1393,604,25806,36,-10000.0,
1395,604,25842,36,-10000.0,
1396,604,25843,36,-10000.0,
1486,608,25154,52,-10000.0,
1575,616,24890,61,-10000.0,
1479,619,25245,50,-10000.0,
1699,619,25246,50,-10000.0,
1480,619,25247,50,-10000.0,
1700,619,25248,50,-10000.0,
1477,619,25259,50,-10000.0,
1478,619,25261,50,-10000.0,
1481,619,25318,50,-10000.0,
1701,619,25372,50,-10000.0,
1702,619,25486,50,-10000.0,
1703,619,26079,50,-10000.0,
1822,624,25740,63,-10000.0,
1576,624,25741,63,-10000.0,
1577,624,25742,63,-10000.0,
1821,624,25745,63,-10000.0,
1812,624,25746,63,-10000.0,
1582,624,25747,63,-10000.0,
1819,624,26038,63,-10000.0,
1820,624,26039,63,-10000.0,
1739,624,26432,63,0.0,
1738,624,26433,63,0.0,
1813,624,28162,63,-10000.0,
1818,624,28163,63,-10000.0,
1816,624,28164,63,-10000.0,
1814,624,28165,63,-10000.0,
1817,624,28166,63,-10000.0,
1815,624,28167,63,-10000.0,
1767,631,26227,103,0.0,
1769,631,26277,103,0.0,
1768,631,26295,103,0.0,
1774,631,26434,105,535.0,
1811,631,26438,109,0.0,
1786,631,26452,107,351.0,
1783,631,26454,107,364.0,
1775,631,26457,106,202.0,
1794,631,26470,107,351.0,
1797,631,26471,107,360.0,
1787,631,26472,107,344.0,
1799,631,26479,107,389.0,
1798,631,26480,107,360.0,
1796,631,26481,107,360.0,
1795,631,26484,107,360.0,
1801,631,26527,107,361.0,
1810,631,26527,108,400.0,
1808,631,26529,108,384.0,
1800,631,26530,107,350.0,
1802,631,26532,107,361.0,
1805,631,26532,108,375.0,
1809,631,26533,108,384.0,
1807,631,26534,108,384.0,
1806,631,26535,108,384.0,
1803,631,26536,107,361.0,
1804,631,26536,108,375.0,
1776,631,26589,106,203.0,
1772,631,26626,104,190.0,
1770,631,26627,103,0.0,
1771,631,26628,104,103.0,
1773,631,26629,105,535.0,
1785,631,26669,107,358.0,
1784,631,26740,107,358.0,
1778,631,26741,106,203.0,
1781,631,26741,107,325.0,
1793,631,26742,107,350.0,
1792,631,26743,107,353.0,
1791,631,26744,107,353.0,
1790,631,26746,107,350.0,
1788,631,27050,107,358.0,
1782,631,27051,107,365.0,
1777,631,27052,106,203.0,
1780,631,27052,107,325.0,
1779,631,27333,106,203.0,
1789,631,27684,107,355.0,
1823,631,28228,110,0.0,
1825,631,28360,109,0.0,
1824,631,28388,110,190.0,
1826,631,28402,103,0.0,
1827,631,28411,108,384.0,
1828,631,28150,109,0.0,
1829,631,28151,109,0.0,
1758,632,26199,101,0.0,
1759,632,26217,101,0.0,
1760,632,26314,101,0.0,
1761,632,26315,101,0.0,
1757,632,27053,101,0.0,
1741,649,26333,94,200.0,
1748,649,26336,95,0.0,
1742,649,26337,95,0.0,
1755,649,26661,100,200.0,
1756,649,26662,100,200.0,
1743,650,26333,96,200.0,
1753,650,26661,99,200.0,
1754,650,26662,99,200.0,
1763,668,27662,102,0.0,
1762,668,27663,102,0.0,
1764,668,27664,102,0.0,
1765,668,27665,102,0.0,
1766,668,27666,102,0.0,
2130,33,1338,148,-10000.0,
2049,33,1339,142,-10000.0,
3881,33,1340,142,-10000.0,
2059,33,1341,142,-10000.0,
2057,33,1343,142,-10000.0,
2058,33,1344,142,-10000.0,
2056,33,1345,142,-10000.0,
2055,33,1346,142,-10000.0,
2129,33,1347,148,-10000.0,
2131,33,1348,148,-10000.0,
2132,33,1349,148,-10000.0,
2051,33,1350,142,-10000.0,
2048,33,1351,142,-10000.0,
2050,33,1352,142,-10000.0,
2052,33,1353,142,-10000.0,
2046,33,1354,142,-10000.0,
2047,33,1355,142,-10000.0,
2128,33,1357,148,-10000.0,
2096,33,1359,143,-10000.0,
2061,33,1360,142,-10000.0,
2065,33,1361,142,-10000.0,
2066,33,1362,142,-10000.0,
2070,33,1363,142,-10000.0,
2068,33,1364,142,-10000.0,
2069,33,1365,142,-10000.0,
2067,33,1366,142,-10000.0,
2062,33,1367,142,-10000.0,
2063,33,1368,142,-10000.0,
2064,33,1369,142,-10000.0,
2071,33,1370,142,-10000.0,
2072,33,1371,142,-10000.0,
4162,33,1372,142,-10000.0,
2076,33,1373,142,-10000.0,
2077,33,1374,142,-10000.0,
4163,33,1375,148,-10000.0,
2135,33,1376,148,-10000.0,
2045,33,1377,142,-10000.0,
2113,33,1379,146,-10000.0,
2098,33,1380,144,-10000.0,
2105,33,1380,145,127.0,
2099,33,1381,144,-10000.0,
2100,33,1382,144,-10000.0,
2102,33,1383,144,-10000.0,
2103,33,1384,144,-10000.0,
2101,33,1385,144,-10000.0,
2106,33,1386,145,-10000.0,
2107,33,1387,145,-10000.0,
2108,33,1388,145,-10000.0,
2109,33,1389,145,-10000.0,
2110,33,1390,145,-10000.0,
2112,33,1390,146,137.0,
2114,33,1391,146,-10000.0,
2115,33,1392,146,-10000.0,
2116,33,1393,146,-10000.0,
2117,33,1394,146,-10000.0,
2134,33,1394,147,-10000.0,
2104,33,1395,145,-10000.0,
2111,33,1395,146,136.0,
2120,33,1396,147,-10000.0,
2119,33,1397,147,150.0,
2094,33,1398,143,-10000.0,
2093,33,1399,143,-10000.0,
2054,33,1400,142,-10000.0,
2095,33,1401,143,-10000.0,
2060,33,1402,142,-10000.0,
2073,33,1403,142,-10000.0,
2074,33,1404,142,-10000.0,
2075,33,1405,142,-10000.0,
2124,33,1406,148,-10000.0,
2125,33,1407,148,-10000.0,
2126,33,1408,148,-10000.0,
2127,33,1409,148,-10000.0,
2133,33,1410,148,-10000.0,
2097,33,1410,144,100.0,
2053,33,1411,142,-10000.0,
2121,33,5542,148,-10000.0,
2122,33,5543,148,-10000.0,
2080,33,5544,142,-10000.0,
2123,33,5544,148,-10000.0,
4065,34,2810,165,-10000.0,
4076,34,2811,165,-10000.0,
4074,34,2812,165,-10000.0,
4075,34,2813,165,-10000.0,
4077,34,2814,165,-10000.0,
4072,34,2815,165,-10000.0,
4071,34,2817,165,-10000.0,
4070,34,2818,165,-10000.0,
4067,34,2819,165,-10000.0,
4068,34,2820,165,-10000.0,
4078,34,2821,165,-10000.0,
4080,34,2822,165,-10000.0,
4079,34,2823,165,-10000.0,
4081,34,2824,165,-10000.0,
4066,34,2825,165,-10000.0,
4069,34,2826,165,-10000.0,
4073,34,2827,165,-10000.0,
2503,34,2828,165,-10000.0,
2484,34,2829,165,-10000.0,
2488,34,2830,165,-10000.0,
2489,34,2831,165,-10000.0,
2504,34,2832,165,-10000.0,
2490,34,2833,165,-10000.0,
2505,34,2834,165,-10000.0,
2491,34,2835,165,-10000.0,
2506,34,2836,165,-10000.0,
2492,34,2837,165,-10000.0,
2487,34,2838,165,-10000.0,
2507,34,2839,165,-10000.0,
2493,34,2840,165,-10000.0,
2508,34,2841,165,-10000.0,
2494,34,2842,165,-10000.0,
2509,34,2843,165,-10000.0,
2495,34,2844,165,-10000.0,
2510,34,2845,165,-10000.0,
2485,34,2846,165,-10000.0,
2496,34,2847,165,-10000.0,
2511,34,2848,165,-10000.0,
2497,34,2849,165,-10000.0,
2512,34,2850,165,-10000.0,
2498,34,2851,165,-10000.0,
2513,34,2852,165,-10000.0,
2499,34,2853,165,-10000.0,
2514,34,2854,165,-10000.0,
2486,34,2855,165,-10000.0,
2500,34,2856,165,-10000.0,
2502,34,2857,165,-10000.0,
2501,34,2858,165,-10000.0,
4082,34,7262,165,-10000.0,
4083,34,7263,165,-10000.0,
4084,34,7264,165,-10000.0,
4085,34,7265,165,-10000.0,
4086,34,7266,165,-10000.0,
4087,34,7267,165,-10000.0,
4088,34,7268,165,-10000.0,
4089,34,7269,165,-10000.0,
4090,34,7270,165,-10000.0,
2521,36,193,166,-10000.0,
2524,36,194,166,-10000.0,
2528,36,195,166,-10000.0,
2527,36,196,166,-10000.0,
2518,36,197,166,-10000.0,
2520,36,198,166,-10000.0,
2522,36,199,166,-10000.0,
2525,36,200,166,-10000.0,
2517,36,201,166,-10000.0,
2519,36,202,166,-10000.0,
2523,36,203,166,-10000.0,
2526,36,205,166,-10000.0,
2535,36,206,167,-10000.0,
2536,36,207,167,-10000.0,
2537,36,209,167,-10000.0,
2543,36,210,167,-10000.0,
2531,36,211,166,-10000.0,
2532,36,212,166,-10000.0,
2530,36,213,166,-10000.0,
2534,36,214,167,-10000.0,
2533,36,214,166,27.0,
2541,36,227,167,-10000.0,
2540,36,233,167,-10000.0,
2538,36,239,167,-10000.0,
2516,36,240,166,-10000.0,
2544,36,245,167,-10000.0,
2529,36,246,166,-10000.0,
2539,36,12510,167,-10000.0,
2542,36,12511,167,-10000.0,
1209,43,3314,28,-10000.0,
1218,43,3315,28,-10000.0,
1210,43,3316,28,-10000.0,
1219,43,3317,28,-10000.0,
1211,43,3318,28,-10000.0,
1220,43,3319,28,-10000.0,
1212,43,3320,28,-10000.0,
1213,43,3321,28,-10000.0,
1221,43,3322,28,-10000.0,
1217,43,3323,28,-10000.0,
1222,43,3324,28,-10000.0,
1214,43,3325,28,-10000.0,
1223,43,3326,28,-10000.0,
1215,43,3327,28,-10000.0,
1216,43,3328,28,-10000.0,
1224,43,3330,28,-10000.0,
1244,43,3332,28,-10000.0,
1234,43,3333,28,-10000.0,
1235,43,3334,28,-10000.0,
1236,43,3335,28,-10000.0,
1245,43,3336,28,-10000.0,
1246,43,3337,28,-10000.0,
1247,43,3342,28,-10000.0,
1248,43,3343,28,-10000.0,
1229,43,5692,28,-10000.0,
1243,43,5693,28,-10000.0,
1226,43,6384,28,-10000.0,
1239,43,6416,28,-10000.0,
1227,43,6417,28,-10000.0,
1230,43,6418,28,-10000.0,
1240,43,6419,28,-10000.0,
1231,43,6420,28,-10000.0,
1241,43,6421,28,-10000.0,
1232,43,6422,28,-10000.0,
1242,43,6423,28,-10000.0,
1233,43,6424,28,-10000.0,
1228,43,6680,28,-10000.0,
2140,47,2235,149,-10000.0,
2137,47,2236,149,-10000.0,
2139,47,2237,149,-10000.0,
2154,47,2238,149,-10000.0,
2146,47,2239,149,-10000.0,
2141,47,2240,149,-10000.0,
2142,47,2241,149,-10000.0,
2147,47,2242,149,-10000.0,
2155,47,2243,149,-10000.0,
2148,47,2244,149,-10000.0,
2156,47,2245,149,-10000.0,
2149,47,2246,149,-10000.0,
2138,47,2247,149,-10000.0,
2157,47,2248,149,-10000.0,
2150,47,2249,149,-10000.0,
2158,47,2250,149,-10000.0,
2151,47,2251,149,-10000.0,
2136,47,2252,149,-10000.0,
2152,47,2253,149,-10000.0,
2143,47,2255,149,-10000.0,
2153,47,2256,149,-10000.0,
2145,47,2257,149,-10000.0,
2144,47,2258,149,-10000.0,
2160,47,2259,149,-10000.0,
2159,47,2260,149,-10000.0,
2482,48,334,162,-10000.0,
2454,48,335,162,-10000.0,
2456,48,336,162,-10000.0,
2455,48,337,162,-10000.0,
2460,48,338,162,-10000.0,
2459,48,339,162,-10000.0,
2458,48,340,162,-10000.0,
2457,48,341,162,-10000.0,
2462,48,342,162,-10000.0,
2463,48,343,162,-10000.0,
2464,48,344,162,-10000.0,
2465,48,345,162,-10000.0,
2466,48,346,162,-10000.0,
2467,48,347,162,-10000.0,
2470,48,348,163,-10000.0,
2471,48,349,163,-10000.0,
2472,48,350,163,-10000.0,
2473,48,351,163,-10000.0,
2477,48,352,163,-10000.0,
2478,48,353,163,-10000.0,
2475,48,354,163,-10000.0,
2476,48,355,163,-10000.0,
2479,48,355,164,-10000.0,
2474,48,356,163,-10000.0,
2483,48,357,162,-10000.0,
2461,48,358,162,-10000.0,
2631,70,1259,171,-10000.0,
2607,70,1260,171,-10000.0,
2632,70,1261,171,-10000.0,
2608,70,1262,171,-10000.0,
2588,70,1263,171,-10000.0,
2609,70,1264,171,-10000.0,
2610,70,1265,171,-10000.0,
2589,70,1266,171,-10000.0,
