long,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,long,long,long,long,long,long,long,long,flags,flags,
86,,,"du soldat",,,,,,,,,,,,,,0xFF01FE,"Soldier (<60)",2805,2803,2822,0,0,5259,5259,5259,0x0,0x0,
87,,,"de l'Ombre",,,,,,,,,,,,,,0xFF01FE,"Shadow (<60)",2825,2802,2803,0,0,14532,4106,3193,0x0,0x0,
88,,,"du prévoyant",,,,,,,,,,,,,,0xFF01FE,"Foreseer",2804,3726,2824,0,0,5259,5259,6153,0x0,0x0,
89,,,"du voleur",,,,,,,,,,,,,,0xFF01FE,"Thief",2803,2825,3726,0,0,7889,10518,5259,0x0,0x0,
90,,,"du nécromancien",,,,,,,,,,,,,,0xFF01FE,"Necromancer",2803,3727,2824,0,0,7889,5259,6153,0x0,0x0,
91,,,"du tireur d'élite",,,,,,,,,,,,,,0xFF01FE,"Marksman",2803,2802,3727,0,0,7889,5259,5259,0x0,0x0,
92,,,"de l'écuyer",,,,,,,,,,,,,,0xFF01FE,"Squire",2803,3727,2805,0,0,7889,5259,5259,0x0,0x0,
93,,,"de restauration",,,,,,,,,,,,,,0xFF01FE,"Restoration",2803,2824,2816,0,0,7889,6153,2103,0x0,0x0,
94,,,"",,,,,,,,,,,,,,0xFF01EE,"Agility (Darkmoon Card)",2802,0,0,0,0,9000,0,0,0x0,0x0,
95,,,"",,,,,,,,,,,,,,0xFF01EE,"Strength (Darkmoon Card)",2805,0,0,0,0,9000,0,0,0x0,0x0,
96,,,"",,,,,,,,,,,,,,0xFF01EE,"Stamina (Darkmoon Card)",2803,0,0,0,0,13500,0,0,0x0,0x0,
97,,,"",,,,,,,,,,,,,,0xFF01EE,"Intellect (Darkmoon Card)",2804,0,0,0,0,9000,0,0,0x0,0x0,
98,,,"",,,,,,,,,,,,,,0xFF01EE,"Spirit (Darkmoon Card)",2806,0,0,0,0,9000,0,0,0x0,0x0,
99,,,"de vitesse",,,,,,,,,,,,,,0xFF01FE,"Haste",3726,0,0,0,0,10000,0,0,0x0,0x0,
