long,long,bool,long,str,str,str,flags,long,long,
5235,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_02_HD.blp","",0x1,5,2,
5236,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_03_HD.blp","",0x1,5,3,
5237,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_04_HD.blp","",0x1,5,4,
5238,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_05_HD.blp","",0x1,5,5,
5239,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_06_HD.blp","",0x1,5,6,
5240,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_07_HD.blp","",0x1,5,7,
5241,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_08_HD.blp","",0x1,5,8,
5242,1,0,1,"Character\Human\Male\HumanMaleFaceLower05_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper05_09_HD.blp","",0x1,5,9,
5243,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_00_HD.blp","",0x1,6,0,
5244,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_01_HD.blp","",0x1,6,1,
5245,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_02_HD.blp","",0x1,6,2,
5246,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_03_HD.blp","",0x1,6,3,
5247,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_04_HD.blp","",0x1,6,4,
5248,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_05_HD.blp","",0x1,6,5,
5249,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_06_HD.blp","",0x1,6,6,
5250,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_07_HD.blp","",0x1,6,7,
5251,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_08_HD.blp","",0x1,6,8,
5252,1,0,1,"Character\Human\Male\HumanMaleFaceLower06_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper06_09_HD.blp","",0x1,6,9,
5253,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_00_HD.blp","",0x1,7,0,
5254,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_01_HD.blp","",0x1,7,1,
5255,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_02_HD.blp","",0x1,7,2,
5256,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_03_HD.blp","",0x1,7,3,
5257,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_04_HD.blp","",0x1,7,4,
5258,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_05_HD.blp","",0x1,7,5,
5259,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_06_HD.blp","",0x1,7,6,
5260,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_07_HD.blp","",0x1,7,7,
5261,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_08_HD.blp","",0x1,7,8,
5262,1,0,1,"Character\Human\Male\HumanMaleFaceLower07_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper07_09_HD.blp","",0x1,7,9,
5263,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_00_HD.blp","",0x1,8,0,
5264,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_01_HD.blp","",0x1,8,1,
5265,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_02_HD.blp","",0x1,8,2,
5266,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_03_HD.blp","",0x1,8,3,
5267,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_04_HD.blp","",0x1,8,4,
5268,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_05_HD.blp","",0x1,8,5,
5269,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_06_HD.blp","",0x1,8,6,
5270,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_07_HD.blp","",0x1,8,7,
5271,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_08_HD.blp","",0x1,8,8,
5272,1,0,1,"Character\Human\Male\HumanMaleFaceLower08_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper08_09_HD.blp","",0x1,8,9,
5273,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_00_HD.blp","",0x1,9,0,
5274,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_01_HD.blp","",0x1,9,1,
5275,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_02_HD.blp","",0x1,9,2,
5276,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_03_HD.blp","",0x1,9,3,
5277,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_04_HD.blp","",0x1,9,4,
5278,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_05_HD.blp","",0x1,9,5,
5279,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_06_HD.blp","",0x1,9,6,
5280,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_07_HD.blp","",0x1,9,7,
5281,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_08_HD.blp","",0x1,9,8,
5282,1,0,1,"Character\Human\Male\HumanMaleFaceLower09_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper09_09_HD.blp","",0x1,9,9,
5283,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_00_HD.blp","",0x1,10,0,
5284,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_01_HD.blp","",0x1,10,1,
5285,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_02_HD.blp","",0x1,10,2,
5286,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_03_HD.blp","",0x1,10,3,
5287,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_04_HD.blp","",0x1,10,4,
5288,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_05_HD.blp","",0x1,10,5,
5289,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_06_HD.blp","",0x1,10,6,
5290,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_07_HD.blp","",0x1,10,7,
5291,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_08_HD.blp","",0x1,10,8,
5292,1,0,1,"Character\Human\Male\HumanMaleFaceLower10_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper10_09_HD.blp","",0x1,10,9,
5293,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_00_HD.blp","",0x1,11,0,
5294,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_01_HD.blp","",0x1,11,1,
5295,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_02_HD.blp","",0x1,11,2,
5296,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_03_HD.blp","",0x1,11,3,
5297,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_04_HD.blp","",0x1,11,4,
5298,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_05_HD.blp","",0x1,11,5,
5299,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_06_HD.blp","",0x1,11,6,
5300,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_07_HD.blp","",0x1,11,7,
5301,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_08_HD.blp","",0x1,11,8,
5302,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_09_HD.blp","",0x1,11,9,
10789,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_10_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_10_HD.blp","",0x5,11,12,
10790,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_11_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_11_HD.blp","",0x5,11,13,
10791,1,0,1,"Character\Human\Male\HumanMaleFaceLower11_12_HD.blp","Character\Human\Male\HumanMaleFaceUpper11_12_HD.blp","",0x5,11,14,
12884,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_00_HD.blp","",0x5,12,0,
12885,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_01_HD.blp","",0x5,12,1,
12886,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_02_HD.blp","",0x5,12,2,
12887,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_03_HD.blp","",0x5,12,3,
12888,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_04_HD.blp","",0x5,12,4,
12889,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_05_HD.blp","",0x5,12,5,
12890,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_06_HD.blp","",0x5,12,6,
12891,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_07_HD.blp","",0x5,12,7,
12892,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_08_HD.blp","",0x5,12,8,
12893,1,0,1,"Character\Human\Male\HumanMaleFaceLower12_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper12_09_HD.blp","",0x5,12,9,
12894,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_00_HD.blp","",0x5,13,0,
12895,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_01_HD.blp","",0x5,13,1,
12896,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_02_HD.blp","",0x5,13,2,
12897,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_03_HD.blp","",0x5,13,3,
12898,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_04_HD.blp","",0x5,13,4,
12899,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_05_HD.blp","",0x5,13,5,
12900,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_06_HD.blp","",0x5,13,6,
12901,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_07_HD.blp","",0x5,13,7,
12902,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_08_HD.blp","",0x5,13,8,
12903,1,0,1,"Character\Human\Male\HumanMaleFaceLower13_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper13_09_HD.blp","",0x5,13,9,
12904,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_00_HD.blp","",0x5,14,0,
12905,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_01_HD.blp","",0x5,14,1,
12906,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_02_HD.blp","",0x5,14,2,
12907,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_03_HD.blp","",0x5,14,3,
12908,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_04_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_04_HD.blp","",0x5,14,4,
12909,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_05_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_05_HD.blp","",0x5,14,5,
12910,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_06_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_06_HD.blp","",0x5,14,6,
12911,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_07_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_07_HD.blp","",0x5,14,7,
12912,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_08_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_08_HD.blp","",0x5,14,8,
12913,1,0,1,"Character\Human\Male\HumanMaleFaceLower14_09_HD.blp","Character\Human\Male\HumanMaleFaceUpper14_09_HD.blp","",0x5,14,9,
12914,1,0,1,"Character\Human\Male\HumanMaleFaceLower15_00_HD.blp","Character\Human\Male\HumanMaleFaceUpper15_00_HD.blp","",0x5,15,0,
12915,1,0,1,"Character\Human\Male\HumanMaleFaceLower15_01_HD.blp","Character\Human\Male\HumanMaleFaceUpper15_01_HD.blp","",0x5,15,1,
12916,1,0,1,"Character\Human\Male\HumanMaleFaceLower15_02_HD.blp","Character\Human\Male\HumanMaleFaceUpper15_02_HD.blp","",0x5,15,2,
12917,1,0,1,"Character\Human\Male\HumanMaleFaceLower15_03_HD.blp","Character\Human\Male\HumanMaleFaceUpper15_03_HD.blp","",0x5,15,3,
