long,long,float,float,float,None,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,
126,530,2446.37011719,6020.93017578,154.339996338,,,"Bastion des Sire-tonnerre, les Tranchantes",,,,,,,,,,,,,,0xFF01FE,2224,0,
127,530,-2567.33007813,4423.83007813,39.3300018311,,,"Fort des Brise-pierres, forêt de Terokkar",,,,,,,,,,,,,,0xFF01FE,2224,0,
128,530,-1837.22998047,5301.89990234,-12.4300003052,,,"Shattrath, forêt de Terokkar",,,,,,,,,,,,,,0xFF01FE,2224,541,
129,530,-327.350006104,1020.48999023,54.25,,,"Péninsule des Flammes infernales, Porte des ténèbres, Alliance",,,,,,,,,,,,,,0xFF01FE,0,541,
130,530,-178.089996338,1026.7199707,54.1899986267,,,"Péninsule des Flammes infernales, Porte des ténèbres, Horde",,,,,,,,,,,,,,0xFF01FE,2224,0,
131,530,-25.5100002289,2133.44995117,112.599998474,,,"Quête - Péninsule des Fl. infernales (Horde), début",,,,,,,,,,,,,,0xFF01FE,19275,18376,
132,530,-25.6000003815,2133.39990234,112.580001831,,,"Quête - Péninsule des Fl. infernales (Horde), fin",,,,,,,,,,,,,,0xFF01FE,19275,0,
133,530,-673.729980469,1855.29003906,68.9700012207,,,"Quête - Péninsule des Fl. infernales (route de l'Alliance), début",,,,,,,,,,,,,,0xFF01FE,19324,19324,
134,530,-673.75,1855.31994629,68.9599990845,,,"Quête - Péninsule des Fl. infernales (Alliance), fin",,,,,,,,,,,,,,0xFF01FE,19324,19324,
135,530,-27.6499996185,2126.57006836,111.849998474,,,"Quête - Fl. infernales, mission aérienne (Horde) début",,,,,,,,,,,,,,0xFF01FE,19275,19324,
136,530,-27.5200004578,2126.5,111.879997253,,,"Quête - Fl. infernales, mission aérienne (Alliance) fin",,,,,,,,,,,,,,0xFF01FE,19275,19324,
137,530,298.5,1501.26000977,-14.279999733,,,"Quête - Fl. infernales, mission aérienne (Alliance) début",,,,,,,,,,,,,,0xFF01FE,19275,19324,
138,530,298.589996338,1501.13000488,-14.25,,,"Quête - Fl. infernales, mission aérienne (Alliance) fin",,,,,,,,,,,,,,0xFF01FE,19275,19324,
139,530,4157.58007813,2959.68994141,352.079986572,,,"La Foudreflèche, Raz-de-Néant",,,,,,,,,,,,,,0xFF01FE,2224,541,
140,530,-3065.60009766,749.41998291,-10.1000003815,,,"Autel de Sha'tar, vallée d'Ombrelune",,,,,,,,,,,,,,0xFF01FE,2224,541,
141,530,-1316.83996582,2358.62011719,88.9599990845,,,"Crête Brise-échine, péninsule des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,2224,0,
142,530,-29.1599998474,2125.7199707,111.470001221,,,"Péninsule des Flammes infernales - Trépas du saccageur",,,,,,,,,,,,,,0xFF01FE,2224,0,
143,1,-8360.73046875,-4327.72998047,-208.330001831,,,"Quête - Grottes du temps (Trajet aérien d'introduction) (fin)",,,,,,,,,,,,,,0xFF01FE,16081,16081,
144,1,-8162.00976562,-4796.22998047,35.7799987793,,,"Quête - Grottes du temps (Trajet aérien d'introduction) (début)",,,,,,,,,,,,,,0xFF01FE,18768,18768,
145,530,3079.01000977,3599.08007813,144.070007324,,,"Quête - Raz-de-Néant - Vol camouflé - Début",,,,,,,,,,,,,,0xFF01FE,2224,0,
146,530,2235.34008789,2793.77001953,128.029998779,,,"Quête - Raz-de-Néant - Vol camouflé - Fin",,,,,,,,,,,,,,0xFF01FE,0,0,
147,530,509.170013428,1988.68994141,109.620002747,,,"Péninsule des Flammes infernales, Tête de pont du Camp Force",,,,,,,,,,,,,,0xFF01FE,0,19324,
148,530,298.459991455,1501.18005371,-14.279999733,,,"Halte du Fracas, péninsule des Flammes infernales (Débarquement)",,,,,,,,,,,,,,0xFF01FE,0,19324,
149,530,276.200012207,1486.91003418,-15.1000003815,,,"Halte du Fracas, péninsule des Flammes infernales",,,,,,,,,,,,,,0xFF01FE,0,541,
150,530,2974.94995117,1848.23999023,141.279998779,,,"Cosmovrille, Raz-de-Néant",,,,,,,,,,,,,,0xFF01FE,2224,541,
151,530,91.6699981689,5214.91992188,23.1000003815,,,"Poste du Rat des marais, marécage de Zangar",,,,,,,,,,,,,,0xFF01FE,2224,0,
152,530,4262.39013672,2136.91992188,139.440002441,,,"Quête - Raz-de-Néant - Manaforge Ultris (départ)",,,,,,,,,,,,,,0xFF01FE,20903,20903,
153,530,4266.70019531,2133.37988281,138.820007324,,,"Quête - Raz-de-Néant - Manaforge Ultris (arrivée)",,,,,,,,,,,,,,0xFF01FE,20903,20903,
154,0,20047.8808594,5200.68994141,19742.7792969,,,"Quête - Raz-de-Néant - Manaforge Ultris (seconde passe) départ",,,,,,,,,,,,,,0xFF01FE,20903,20903,
155,530,4267.14013672,2133.0300293,138.770004272,,,"Quête - Raz-de-Néant - Manaforge Ultris (seconde passe) arrivée",,,,,,,,,,,,,,0xFF01FE,0,0,
156,530,1857.34997559,5531.87011719,277.010009766,,,"Poste de Toshley, les Tranchantes",,,,,,,,,,,,,,0xFF01FE,0,541,
157,530,2277.73999023,5983.35009766,142.600006104,,,"Quête - Tranchantes - Guide de vision - début",,,,,,,,,,,,,,0xFF01FE,21396,0,
158,530,2278.56005859,5983.70996094,142.570007324,,,"Quête - Tranchantes - Guide de vision - fin",,,,,,,,,,,,,,0xFF01FE,0,0,
159,530,-4073.16992188,1123.60998535,42.4700012207,,,"Sanctum des étoiles, vallée d'Ombrelune",,,,,,,,,,,,,,0xFF01FE,2224,541,
160,530,2976.01000977,5501.12988281,143.669998169,,,"Bosquet éternel, les Tranchantes",,,,,,,,,,,,,,0xFF01FE,2224,541,
161,654135852,0.0,0.0,0.0,,,"Quête - Allié dragon du Néant - début",,,,,,,,,,,,,,0xFF01FE,22360,22360,
162,530,-4100.27001953,950.380004883,22.1100006104,,,"Quête - Allié dragon du Néant - fin",,,,,,,,,,,,,,0xFF01FE,0,0,
163,530,2028.79003906,4705.27001953,150.509994507,,,"Mok'Nathal, les Tranchantes",,,,,,,,,,,,,,0xFF01FE,2224,0,
164,530,966.66998291,7399.16015625,29.1399993896,,,"Havre d'Orebor, marécage de Zangar",,,,,,,,,,,,,,0xFF01FE,3837,3837,
165,3,0.0,0.0,0.0,,,"Transport, Norfendre 2",,,,,,,,,,,,,,0xFF01FE,0,0,
166,1,3978.73999023,-1316.42004395,250.11000061,,,"Sanctuaire d'émeraude, Gangrebois",,,,,,,,,,,,,,0xFF01FE,2224,3837,
167,1,3000.25,-3202.40991211,189.770004272,,,"Chant des forêts, Orneval",,,,,,,,,,,,,,0xFF01FE,0,3837,
168,0,-9441.1796875,65.0500030518,56.1800003052,,,"On filme",,,,,,,,,,,,,,0xFF01FE,0,3837,
169,530,-5224.52978516,631.849975586,48.3600006104,,,"Quête - Escarpement de l'Aile-du-Néant - Trajet en chariot de mine - Sud - Départ",,,,,,,,,,,,,,0xFF01FE,23372,23372,
170,530,-5185.70996094,172.949996948,-11.5699996948,,,"Quête - Escarpement de l'Aile-du-Néant - Trajet en chariot de mine - Sud - Fin",,,,,,,,,,,,,,0xFF01FE,23289,23289,
171,530,-3364.67993164,3650.17993164,284.779998779,,,"Skettis",,,,,,,,,,,,,,0xFF01FE,23422,23422,
172,530,2531.10009766,7322.08984375,373.640014648,,,"Ogri'La",,,,,,,,,,,,,,0xFF01FE,23422,23422,
173,530,-5141.35986328,620.109985352,82.6999969482,,,"Quête - Vol de Yarzill départ",,,,,,,,,,,,,,0xFF01FE,23468,23468,
174,530,-1636.08996582,5275.87011719,-41.0999984741,,,"Quête - Vol de Yarzill arrivée",,,,,,,,,,,,,,0xFF01FE,0,0,
175,571,784.890014648,-5066.18017578,-7.88000011444,,,"Transport, fjord Hurlant",,,,,,,,,,,,,,0xFF01FE,0,0,
176,571,245.36000061,-3309.19995117,0.910000026226,,,"Quête - Canoë tauren fjord Hurlant (départ)",,,,,,,,,,,,,,0xFF01FE,23518,23518,
177,571,-147.470001221,-3587.36010742,0.340000003576,,,"Quête - Canoë tauren fjord Hurlant (fin)",,,,,,,,,,,,,,0xFF01FE,23518,23518,
178,3,0.0,0.0,0.0,,,"Transport, toundra Boréenne",,,,,,,,,,,,,,0xFF01FE,0,0,
179,1,-4566.22998047,-3226.05004883,34.7000007629,,,"Bourbe-à-brac, marécage d'Âprefange",,,,,,,,,,,,,,0xFF01FE,2224,541,
180,1,-3822.65991211,-4511.33007813,10.8400001526,,,"Quête - Âprefange - Obs. d'Alcaz (début)",,,,,,,,,,,,,,0xFF01FE,0,541,
181,1,-3822.70996094,-4509.64990234,10.9799995422,,,"Quête - Âprefange - Obs. d'Alcaz (fin)",,,,,,,,,,,,,,0xFF01FE,0,541,
182,571,1415.89001465,-3082.48999023,121.910003662,,,"Quête - fjord Hurlant - Briser le blocus, zeppelin",,,,,,,,,,,,,,0xFF01FE,0,0,
183,571,567.409973145,-5010.97021484,11.5,,,"Port-Valgarde",,,,,,,,,,,,,,0xFF01FE,0,541,
184,571,2468.77001953,-5029.81982422,283.489990234,,,"Fort Hardivar, fjord Hurlant",,,,,,,,,,,,,,0xFF01FE,0,541,
185,571,1342.83996582,-3287.89990234,174.449996948,,,"Donjon de la Garde de l'ouest, fjord Hurlant",,,,,,,,,,,,,,0xFF01FE,0,541,
186,571,1911.81994629,-6179.06982422,24.6100006104,,,"Quête - fjord Hurlant - Voler au Coursevent - début",,,,,,,,,,,,,,0xFF01FE,3574,0,
187,571,1652.82995605,-6512.10986328,18.4799995422,,,"Quête - fjord Hurlant - Voler au Coursevent - fin",,,,,,,,,,,,,,0xFF01FE,3574,0,
188,571,1912.7800293,-6178.81005859,24.6399993896,,,"Quête - fjord Hurlant - Essai en mer - début",,,,,,,,,,,,,,0xFF01FE,3574,0,
189,571,1913.90002441,-6177.87011719,24.6200008392,,,"Quête - fjord Hurlant - Essai en mer - fin",,,,,,,,,,,,,,0xFF01FE,0,0,
